DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Jianchuan	ia	i a	m n	diphtong	
Jianchuan	iã	i ã	m n	diphtong	
Jianchuan	iɛ	i ɛ	m n	diphtong	
Jianchuan	iɛ̃	i ɛ̃ ∼	m n c	diphtong	
Jianchuan	iɯ	i ɯ	m n	diphtong	
Jianchuan	iɯ̃	i ɯ̃ ∼	m n c	diphtong	
Jianchuan	ou	o u	n c	diphtong	
Jianchuan	ua	u a	m n	diphtong	
Jianchuan	ue	u e	m n	diphtong	
Jianchuan	uã	u ã ∼	m n c	diphtong	
Jianchuan	uɛ	u ɛ	m n	diphtong	
Jianchuan	uɛ̃	u ɛ̃ ∼	m n c	diphtong	
Jianchuan	uẽ	u ẽ ∼	m n c	diphtong	
Jianchuan	õu	õ u	n c	diphtong	
Jianchuan	f	f	i	initial	
Jianchuan	j	j	i	initial	
Jianchuan	k	k	i	initial	
Jianchuan	kʰ	kʰ	i	initial	
Jianchuan	l	l	i	initial	
Jianchuan	m	m	i	initial	
Jianchuan	n	n	i	initial	
Jianchuan	p	p	i	initial	
Jianchuan	pʰ	pʰ	i	initial	
Jianchuan	s	s	i	initial	
Jianchuan	t	t	i	initial	
Jianchuan	ts	ts	i	initial	
Jianchuan	tsʰ	tsʰ	i	initial	
Jianchuan	tɕ	tɕ	i	initial	
Jianchuan	tʰ	tʰ	i	initial	
Jianchuan	v	v	i	initial	
Jianchuan	w	w	i	initial	
Jianchuan	ŋ	ŋ	i	initial	
Jianchuan	ɕ	ɕ	i	initial	
Jianchuan	ɣ	ɣ	i	initial	
Jianchuan	21	²¹	t	tone	
Jianchuan	31	³¹	t	tone	
Jianchuan	33	³³	t	tone	
Jianchuan	35	³⁵	t	tone	
Jianchuan	42	⁴²	t	tone	
Jianchuan	44	⁴⁴	t	tone	
Jianchuan	55	⁵⁵	t	tone	
Jianchuan	66	⁶⁶	t	tone	
Jianchuan	a	a	n	vowel	
Jianchuan	e	e	n	vowel	
Jianchuan	i	i	n	vowel	
Jianchuan	o	o	n	vowel	
Jianchuan	u	u	n	vowel	
Jianchuan	v̩	v̩	n	vowel	
Jianchuan	y	y	n	vowel	
Jianchuan	ã	ã ∼	n c	vowel	
Jianchuan	õ	õ ∼	n c	vowel	
Jianchuan	ĩ	ĩ ∼	n c	vowel	
Jianchuan	ũ	ũ ∼	n c	vowel	
Jianchuan	ɛ	ɛ	n	vowel	
Jianchuan	ɛ̃	ɛ̃ ∼	n c	vowel	
Jianchuan	ɯ	ɯ	n	vowel	
Jianchuan	ɯ̃	ɯ̃ ∼	n c	vowel	
Jianchuan	ɿ	ɿ	n	vowel	
Jianchuan	ṽ̩	ṽ̩ ∼	n c	vowel	
Jianchuan	ẽ	ẽ ∼	n c	vowel	
Jianchuan	ỹ	ỹ ∼	n c	vowel	
