ID	LID	DOCULECT	CONCEPT	CONCEPT_ID	CHINESE	CONCEPTICON_ID	VALUE	CROSSREF	PARTIAL_IDS	TOKENS
1477	Allen2007-1477	Jianchuan	Buddha	247	佛	2061	ve⁴²	6731	1109	v e ⁴²
1478	Allen2007-1478	Eryuan	Buddha	247	佛	2061	we⁴²	6732	1109	w e ⁴²
1479	Allen2007-1479	Heqing	Buddha	247	佛	2061	we⁴²	6733	1109	w e ⁴²
1480	Allen2007-1480	Lanping	Buddha	247	佛	2061	ve⁴²	6734	1109	v e ⁴²
1481	Allen2007-1481	Qiliqiao	Buddha	247	佛	2061	we⁴²	6735	1109	w e ⁴²
1482	Allen2007-1482	Yunlong	Buddha	247	佛	2061	wɛ⁴²tsʰɛ⁵⁵	6736	1109 1110	w ɛ ⁴² tsʰ ɛ ⁵⁵
1483	Allen2007-1483	Xiangyun	Buddha	247	佛	2061	wẽ⁴²	6737	1109	w ẽ ⁴²
1484	Allen2007-1484	Luobenzhuo	Buddha	247	佛	2061	we⁴²	6738	1109	w e ⁴²
1485	Allen2007-1485	Zhoucheng	Buddha	247	佛	2061	ve⁴²	0	1109	v e ⁴²
3673	Allen2007-3673	Jianchuan	CLS for axe	467	把（斧头）	2083	tsʰɤ³¹	7651	1431	tsʰ ɤ ³¹
3674	Allen2007-3674	Eryuan	CLS for axe	467	把（斧头）	2083	tʂʰɤ³¹	7652	1431	tʂʰ ɤ ³¹
3675	Allen2007-3675	Heqing	CLS for axe	467	把（斧头）	2083	tɕʰuɔ³¹	7653	1431	tɕʰ u ɔ ³¹
3676	Allen2007-3676	Lanping	CLS for axe	467	把（斧头）	2083	tsʰɛ⁴²	7654	1431	tsʰ ɛ ⁴²
3677	Allen2007-3677	Qiliqiao	CLS for axe	467	把（斧头）	2083	tsʰɤ³¹	7655	1431	tsʰ ɤ ³¹
3678	Allen2007-3678	Yunlong	CLS for axe	467	把（斧头）	2083	pa⁴²	7656	400	p a ⁴²
3679	Allen2007-3679	Xiangyun	CLS for axe	467	把（斧头）	2083	we³¹	7657	1558	w e ³¹
3680	Allen2007-3680	Luobenzhuo	CLS for axe	467	把（斧头）	2083	ʂɛ³³	7658	1559	ʂ ɛ ³³
3681	Allen2007-3681	Zhoucheng	CLS for axe	467	把（斧头）	2083	tsʰɤ³¹	0	1431	tsʰ ɤ ³¹
3646	Allen2007-3646	Jianchuan	CLS for bowl	464	个（碗）	2080	pe²¹	7635	1428	p e ²¹
3647	Allen2007-3647	Eryuan	CLS for bowl	464	个（碗）	2080	pe²¹	7636	1428	p e ²¹
3648	Allen2007-3648	Heqing	CLS for bowl	464	个（碗）	2080	pe²¹	7637	1428	p e ²¹
3649	Allen2007-3649	Lanping	CLS for bowl	464	个（碗）	2080	pe²¹	7638	1428	p e ²¹
3650	Allen2007-3650	Qiliqiao	CLS for bowl	464	个（碗）	2080	pe²¹	7639	1428	p e ²¹
3651	Allen2007-3651	Yunlong	CLS for bowl	464	个（碗）	2080	pe²¹	7640	1428	p e ²¹
3652	Allen2007-3652	Xiangyun	CLS for bowl	464	个（碗）	2080	kɯ⁴²pe²¹	7641	1429 1428	k ɯ ⁴² p e ²¹
3653	Allen2007-3653	Luobenzhuo	CLS for bowl	464	个（碗）	2080	pʰɔ⁵⁵	7642	1428	pʰ ɔ ⁵⁵
3654	Allen2007-3654	Zhoucheng	CLS for bowl	464	个（碗）	2080	pe²¹	0	1428	p e ²¹
3655	Allen2007-3655	Jianchuan	CLS for chicken	465	只（鸡）	2081	tɛ²¹	503	76	t ɛ ²¹
3656	Allen2007-3656	Eryuan	CLS for chicken	465	只（鸡）	2081	tɯ²¹	504	76	t ɯ ²¹
3657	Allen2007-3657	Heqing	CLS for chicken	465	只（鸡）	2081	tɯ²¹	505	76	t ɯ ²¹
3658	Allen2007-3658	Lanping	CLS for chicken	465	只（鸡）	2081	tiɯ²¹	506	76	t i ɯ ²¹
3659	Allen2007-3659	Qiliqiao	CLS for chicken	465	只（鸡）	2081	tɯ²¹	507	76	t ɯ ²¹
3660	Allen2007-3660	Yunlong	CLS for chicken	465	只（鸡）	2081	tɯ²¹	508	76	t ɯ ²¹
3661	Allen2007-3661	Xiangyun	CLS for chicken	465	只（鸡）	2081	we³¹	509	77	w e ³¹
3662	Allen2007-3662	Luobenzhuo	CLS for chicken	465	只（鸡）	2081	ʈɯ³¹	510	76	ʈ ɯ ³¹
3663	Allen2007-3663	Zhoucheng	CLS for chicken	465	只（鸡）	2081	tɯ²¹	0	76	t ɯ ²¹
3727	Allen2007-3727	Jianchuan	CLS for clothing	472	件（衣）	2088	kʰõ⁵⁵	536	81	kʰ õ ⁵⁵
3728	Allen2007-3728	Eryuan	CLS for clothing	472	件（衣）	2088	kʰɔ⁵⁵	537	81	kʰ ɔ ⁵⁵
3729	Allen2007-3729	Heqing	CLS for clothing	472	件（衣）	2088	kʰɔu⁵⁵	538	81	kʰ ɔ u ⁵⁵
3730	Allen2007-3730	Lanping	CLS for clothing	472	件（衣）	2088	kʰɔ̃⁵⁵	539	81	kʰ ɔ̃ ⁵⁵
3731	Allen2007-3731	Qiliqiao	CLS for clothing	472	件（衣）	2088	kʰo⁵⁵	540	81	kʰ o ⁵⁵
3732	Allen2007-3732	Yunlong	CLS for clothing	472	件（衣）	2088	kʰɔ⁵⁵	541	81	kʰ ɔ ⁵⁵
3733	Allen2007-3733	Xiangyun	CLS for clothing	472	件（衣）	2088	kʰã⁵⁵	542	81	kʰ ã ⁵⁵
3734	Allen2007-3734	Luobenzhuo	CLS for clothing	472	件（衣）	2088	kʰɤ̃⁵⁵	543	81	kʰ ɤ̃ ⁵⁵
3735	Allen2007-3735	Zhoucheng	CLS for clothing	472	件（衣）	2088	kʰo⁵⁵	0	81	kʰ o ⁵⁵
3718	Allen2007-3718	Jianchuan	CLS for drop of water	471	滴（水）	2087	tĩ³³	7675	1435	t ĩ ³³
3719	Allen2007-3719	Eryuan	CLS for drop of water	471	滴（水）	2087	te³³/tɔ⁴⁴	7676	1560 1560	t ɔ ⁴⁴
3720	Allen2007-3720	Heqing	CLS for drop of water	471	滴（水）	2087	tiɛ³³	7677	1435	t i ɛ ³³
3721	Allen2007-3721	Lanping	CLS for drop of water	471	滴（水）	2087	tĩɛ̃³³	7678	1435	t ĩ ɛ̃ ³³
3722	Allen2007-3722	Qiliqiao	CLS for drop of water	471	滴（水）	2087	to⁴⁴	7679	1560	t o ⁴⁴
3723	Allen2007-3723	Yunlong	CLS for drop of water	471	滴（水）	2087	ti³³	7680	1435	t i ³³
3724	Allen2007-3724	Xiangyun	CLS for drop of water	471	滴（水）	2087	tĩ³³	7681	1435	t ĩ ³³
3725	Allen2007-3725	Luobenzhuo	CLS for drop of water	471	滴（水）	2087	to⁵⁵	7682	1560	t o ⁵⁵
3726	Allen2007-3726	Zhoucheng	CLS for drop of water	471	滴（水）	2087	to³³	0	1560	t o ³³
3709	Allen2007-3709	Jianchuan	CLS for grain of rice	470	粒（米）	2086	kʰou³³	520	78	kʰ o u ³³
3710	Allen2007-3710	Eryuan	CLS for grain of rice	470	粒（米）	2086	kʰɔ³³	521	78	kʰ ɔ ³³
