VARIETY	TYPE	VALUE	ALLOPHONES	CONTEXT
Eryuan	tone	55		
Eryuan	tone	44		
Eryuan	tone	33		
Eryuan	tone	35		
Eryuan	tone	42		
Eryuan	tone	31		
Eryuan	tone	21		
Eryuan	initial	p		
Eryuan	initial	t		
Eryuan	initial	k	kʲ/[i e ɛ]_	
Eryuan	initial	pʰ		
Eryuan	initial	tʰ		
Eryuan	initial	kʰ	kʲʰ/[i e ɛ]	
Eryuan	initial	m		
Eryuan	initial	n		
Eryuan	initial	ȵ		
Eryuan	initial	ŋ		
Eryuan	initial	l		
Eryuan	initial	f		
Eryuan	initial	s		
Eryuan	initial	ɕ		
Eryuan	initial	ʂ		
Eryuan	initial	x		
Eryuan	initial	v		
Eryuan	initial	z		
Eryuan	initial	ʐ		
Eryuan	initial	ɣ		
Eryuan	initial	ts		
Eryuan	initial	tɕ		
Eryuan	initial	tʂ		
Eryuan	initial	tsʰ		
Eryuan	initial	tɕʰ		
Eryuan	initial	tʂʰ		
Eryuan	initial	j		
Eryuan	initial	w		
Eryuan	vowel	i	ɿ/[s,z,ts,tsʰ]_	
Eryuan	vowel	y		
Eryuan	vowel	v̩		
Eryuan	vowel	ɯ		
Eryuan	vowel	u		
Eryuan	vowel	e		
Eryuan	vowel	o		
Eryuan	vowel	ɛ		
Eryuan	vowel	ɔ		
Eryuan	vowel	a		
Eryuan	diphtong	ue		
Eryuan	diphtong	iɛ		
Eryuan	diphtong	uɛ		
Eryuan	diphtong	ia		
Eryuan	diphtong	ua		
Eryuan	diphtong	ue		
Heqing	tone	55		
Heqing	tone	44		
Heqing	tone	33		
Heqing	tone	35		
Heqing	tone	42		
Heqing	tone	31		
Heqing	tone	21		
Heqing	initial	p		
Heqing	initial	t		
Heqing	initial	k		
Heqing	initial	pʰ		
Heqing	initial	tʰ		
Heqing	initial	kʰ		
Heqing	initial	m		
Heqing	initial	n		
Heqing	initial	ŋ		
Heqing	initial	l		
Heqing	initial	f		
Heqing	initial	s		
Heqing	initial	sʰ		
Heqing	initial	ɕ		
Heqing	initial	ɕʰ		
Heqing	initial	x		
Heqing	initial	xʰ		
Heqing	initial	v		
Heqing	initial	z		
Heqing	initial	ts		
Heqing	initial	tɕ		
Heqing	initial	tsʰ		
Heqing	initial	tɕʰ		
Heqing	initial	j		
Heqing	initial	w		
Heqing	vowel	i	ɿ/[s sʰ z ts tsʰ]_	
Heqing	vowel	y		
Heqing	vowel	ɯ		
Heqing	vowel	u	v̩/[f v]_	
Heqing	vowel	e		
Heqing	vowel	o		
Heqing	vowel	ɛ		
Heqing	vowel	ɔ		
Heqing	vowel	a		
Heqing	vowel	ĩ		
Heqing	vowel	ỹ		
Heqing	vowel	ũ		
Heqing	vowel	ẽ		
Heqing	vowel	õ		
Heqing	vowel	ɛ̃		
Heqing	vowel	ɔ̃		
Heqing	vowel	ã		
Heqing	diphtong	ue		
Heqing	diphtong	uẽ		
Heqing	diphtong	iɛ		
Heqing	diphtong	iɛ̃		
Heqing	diphtong	ou		
Heqing	diphtong	õu		
Heqing	diphtong	uɛ		
Heqing	diphtong	uɔ		
Heqing	diphtong	uɔ̃		
Heqing	diphtong	ia		
Heqing	diphtong	iã		
Heqing	diphtong	ɔu		
Heqing	diphtong	ɔ̃u		
Heqing	diphtong	ua		
Heqing	diphtong	uã		
Jianchuan	tone	55		
Jianchuan	tone	44		
Jianchuan	tone	33		
Jianchuan	tone	35		
Jianchuan	tone	42		
Jianchuan	tone	31		
Jianchuan	tone	21		
Jianchuan	tone	66		(only in modern loans)
Jianchuan	initial	p		
Jianchuan	initial	t		
Jianchuan	initial	k		
Jianchuan	initial	pʰ		
Jianchuan	initial	tʰ		
Jianchuan	initial	kʰ		
Jianchuan	initial	m		
Jianchuan	initial	n		
Jianchuan	initial	ŋ		
Jianchuan	initial	l		
Jianchuan	initial	f		
Jianchuan	initial	s		
Jianchuan	initial	ɕ		
Jianchuan	initial	v		
Jianchuan	initial	ɣ		
Jianchuan	initial	ts		
Jianchuan	initial	tɕ		
Jianchuan	initial	tsʰ		
Jianchuan	initial	tsʰ		
Jianchuan	initial	j		
Jianchuan	initial	w		
Jianchuan	vowel	i	ɿ/[s ts tsʰ]	
Jianchuan	vowel	y		
Jianchuan	vowel	v̩		
Jianchuan	vowel	ɯ		
Jianchuan	vowel	u		
Jianchuan	vowel	o		
Jianchuan	vowel	e		
Jianchuan	vowel	ɛ		
Jianchuan	vowel	a		
Jianchuan	vowel	ĩ		
Jianchuan	vowel	ỹ		
Jianchuan	vowel	ṽ̩		
Jianchuan	vowel	ɯ̃		
Jianchuan	vowel	ũ		
Jianchuan	vowel	õ		
Jianchuan	vowel	ẽ		
Jianchuan	vowel	ɛ̃		
Jianchuan	vowel	ã		
Jianchuan	diphtong	iɯ		
Jianchuan	diphtong	ue		
Jianchuan	diphtong	ou		
Jianchuan	diphtong	iɛ		
Jianchuan	diphtong	uɛ		
Jianchuan	diphtong	ia		
Jianchuan	diphtong	ua		
Jianchuan	diphtong	iɯ̃		
Jianchuan	diphtong	uẽ		
Jianchuan	diphtong	õu		
