ID	DOCULECT	CONCEPT	CONCEPTICON_ID	VALUE	SEGMENTS	STRUCTURE	COGIDS
1477	Jianchuan	Buddha	2061	ve⁴²	v e ⁴²	i n t	1109
1478	Eryuan	Buddha	2061	we⁴²	w e ⁴²	i n t	1109
1479	Heqing	Buddha	2061	we⁴²	w e ⁴²	i n t	1109
1480	Lanping	Buddha	2061	ve⁴²	v e ⁴²	i n t	1109
1481	Qiliqiao	Buddha	2061	we⁴²	w e ⁴²	i n t	1109
1482	Yunlong	Buddha	2061	wɛ⁴²tsʰɛ⁵⁵	w ɛ ⁴² + tsʰ ɛ ⁵⁵	i n t + i n t	1109 1110
1483	Xiangyun	Buddha	2061	wẽ⁴²	w ẽ ∼ ⁴²	i n c t	1109
1484	Luobenzhuo	Buddha	2061	we⁴²	w e ⁴²	i n t	1109
1485	Zhoucheng	Buddha	2061	ve⁴²	v e ⁴²	i n t	1109
3673	Jianchuan	CLS for axe	2083	tsʰɤ³¹	tsʰ ɤ ³¹	i n t	1431
3674	Eryuan	CLS for axe	2083	tʂʰɤ³¹	tʂʰ ɤ ³¹	i n t	1431
3675	Heqing	CLS for axe	2083	tɕʰuɔ³¹	tɕʰ u ɔ ³¹	i m n t	1431
3676	Lanping	CLS for axe	2083	tsʰɛ⁴²	tsʰ ɛ ⁴²	i n t	1431
3677	Qiliqiao	CLS for axe	2083	tsʰɤ³¹	tsʰ ɤ ³¹	i n t	1431
3678	Yunlong	CLS for axe	2083	pa⁴²	p a ⁴²	i n t	400
3679	Xiangyun	CLS for axe	2083	we³¹	w e ³¹	i n t	1558
3680	Luobenzhuo	CLS for axe	2083	ʂɛ³³	ʂ ɛ ³³	i n t	1559
3681	Zhoucheng	CLS for axe	2083	tsʰɤ³¹	tsʰ ɤ ³¹	i n t	1431
3646	Jianchuan	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428
3647	Eryuan	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428
3648	Heqing	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428
3649	Lanping	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428
3650	Qiliqiao	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428
3651	Yunlong	CLS for bowl	2080	pe²¹	p e ²¹	i n t	1428
