ID	CHARACTER	SIMPLIFIED_CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEGMENTS	CONTEXT	CONCEPT	COGNATE_CLASS
4540	球	球	qiú	Middle_Chinese	MC	gjuw	g j u w /¹	i m n c t	'ball'?	2271
4541	球	球	qiú	Old_Chinese	OC	*Cə.ɡu {*Cə.[ɡ](r)[u]}	/C ə g u	P N i n	'ball'?	2271
6750	窈	窈	yǎo	Middle_Chinese	MC	ʔewX	ʔ e w /²	i n c t	'ewX-dewX hidden; deep	3377
6751	窈	窈	yǎo	Old_Chinese	OC	*ʔˁewʔ {*ʔˁ[e]wʔ}	ʔˤ e w ʔ	i n c C	'ewX-dewX hidden; deep	3377
6706	洋	洋	yáng	Middle_Chinese	MC	yang	j a ŋ /¹	i n c t	'great expanse of water'	3355
6707	洋	洋	yáng	Old_Chinese	OC	*ɢaŋ {*ɢ(r)aŋ}	ɢ a ŋ	i n c	'great expanse of water'	3355
1331	范	范	fàn	Middle_Chinese	MC	bjomX	b j o m /²	i m n c t	( surname)	666
1332	范	范	fàn	Old_Chinese	OC	*bomʔ {*(Cə.)[b](r)omʔ}	b o m ʔ	i n c C	( surname)	666
6584	焉	焉	yān	Middle_Chinese	MC	hjen	ɣ j e n /¹	i m n c t	(3p locative pronoun)	3294
6585	焉	焉	yān	Old_Chinese	OC	*ʔan {*([ʔ])a[n]} (atonic)	ʔ a n	i n c	(3p locative pronoun)	3294
7754	之	之	zhī	Middle_Chinese	MC	tsyi	tɕ i /¹	i n t	(3p object pronoun; attributive particle)	3879
7755	之	之	zhī	Old_Chinese	OC	*tə	t ə	i n	(3p object pronoun; attributive particle)	3879
3050	厥	厥	jué	Middle_Chinese	MC	kjwot	k ɥ o t /⁴	i m n c t	(3p possessive pronoun)	1526
3051	厥	厥	jué	Old_Chinese	OC	*kot	k o t	i n c	(3p possessive pronoun)	1526
4322	其	其	qí	Middle_Chinese	MC	gi	g i /¹	i n t	(3p possessive)	2162
4323	其	其	qí	Old_Chinese	OC	*ɡə	g ə	i n	(3p possessive)	2162
4324	丌	丌	qí	Middle_Chinese	MC	gi	g i /¹	i n t	(3p possessive)	2163
4325	丌	丌	qí	Old_Chinese	OC	*ɡə {*[ɡ]ə}	g ə	i n	(3p possessive)	2163
2145	乎	乎	hū	Middle_Chinese	MC	hu	ɣ u /¹	i n t	(Q particle)	1073
2146	乎	乎	hū	Old_Chinese	OC	*ɢˁa	ɢˤ a	i n	(Q particle)	1073
2659	江	江	jiāng	Middle_Chinese	MC	kæwng	k æ ŋʷ /¹	i n c t	(Yangzi) river	1330
2660	江	江	jiāng	Old_Chinese	OC	*kˁroŋ	kˤ r o ŋ	i m n c	(Yangzi) river	1330
