TC 	SC 	PY 	MC 	MCI 	MCF 	MCT 	OC 	Gloss
埃 	埃 	āi 	ʔoj 	ʔ- 	-oj 	even 	*qˁə 	dust
哀 	哀 	āi 	ʔoj 	ʔ- 	-oj 	even 	*ʔˁəj 	to pity; sad
隘 	隘 	ài 	ʔɛH 	ʔ- 	-ɛ 	departing 	*qˁ‹r›ik-s {*qˁ‹r›[i]k-s} 	a narrow pass
愛 	爱 	ài 	ʔojH 	ʔ- 	-oj 	departing 	*qˁəp-s {*[q]ˁəp-s} 	to love; to grudge (‹ ‘draw close to oneself’?)
僾 	僾 	ài 	ʔojH 	ʔ- 	-oj 	departing 	*qˁəp-s 	to pant, lose the breath
艾 	艾 	ài 	ngajH 	ng- 	-aj 	departing 	*C.ŋˁat-s {*C.ŋˁa[t]-s} 	Artemisia; moxa
安 	安 	ān 	ʔan 	ʔ- 	-an 	even 	*ʔˁan {*[ʔ]ˁa[n]} 	peace(ful)
安 	安 	ān 	ʔan 	ʔ- 	-an 	even 	*ʔˁan {*[ʔ]ˁa[n]} 	how
鞌 	鞌 	ān 	ʔan 	ʔ- 	-an 	even 	*ʔˁan {*[ʔ]ˁa[n]} 	[place name]
鞍 	鞍 	ān 	ʔan 	ʔ- 	-an 	even 	*ʔˁan {*[ʔ]ˁa[n]} 	[place name]
按 	按 	àn 	ʔanH 	ʔ- 	-an 	departing 	*ʔˁan-s {*ʔˁa[n]-s} 	repress
案 	案 	àn 	ʔanH 	ʔ- 	-an 	departing 	*ʔˁan-s {*ʔˁa[n]-s} 	stool; tray
黬 	黬 	àn 	kɛm 	k- 	-ɛm 	even 	*kˁrəm {*[k]ˁr[ə]m} 	black blot
豻 	豻 	àn 	nganH 	ng- 	-an 	departing 	*m-ɢˁar-s {*m-[ɢ]ˁa[r]-s} 	wild dog
岸 	岸 	àn 	nganH 	ng- 	-an 	departing 	*ŋˁar-s {*[ŋ]ˁa[r]-s} (‹ uvular?) 	bank of a river
卬 	卬 	áng 	ngang 	ng- 	-ang 	even 	*ŋˁaŋ 	high; lift high
熬 	熬 	áo 	ngaw 	ng- 	-aw 	even 	*ŋˁaw 	fry, roast (v.)
媼 	媪 	ǎo 	ʔawX 	ʔ- 	-aw 	rising 	*ʔˁuʔ 	old woman
澳 	澳 	ào 	ʔawH 	ʔ- 	-aw 	departing 	*ʔˁuk-s 	bay, cove
奧 	奥 	ào 	ʔawH 	ʔ- 	-aw 	departing 	*ʔˁuk-s 	southwest corner of a house
豝 	豝 	bā 	pæ 	p- 	-æ 	even 	*pˁra 	sow, pig
巴 	巴 	bā 	pæ 	p- 	-æ 	even 	*pˁra 	snake
巴 	巴 	bā 	pæ 	p- 	-æ 	even 	*pˁra 	[place name]
八 	八 	bā 	pɛt 	p- 	-ɛt 	entering 	*pˁret 	eight
茇 	茇 	bá 	bat 	b- 	-at 	entering 	*m-pˁat 	halt in the open
拔 	拔 	bá 	bɛt 	b- 	-ɛt 	entering 	*bˁrot {*(Cə.)[b]ˁrot} 	uproot
茇 	茇 	bá 	pat 	p- 	-at 	entering 	*pˁat 	halt in the open
把 	把 	bǎ 	pæX 	p- 	-æ 	rising 	*pˁraʔ 	grasp (v.)
罷 	罢 	bà 	bɛX 	b- 	-ɛ 	rising 	*bˁrajʔ {*[b]ˁrajʔ} 	stop, cease
霸 	霸 	bà 	pæH 	p- 	-æ 	departing 	*pˁrak-s 	have hegemony
白 	白 	bái 	bæk 	b- 	-æk 	entering 	*bˁrak 	white
百 	百 	bǎi 	pæk 	p- 	-æk 	entering 	*pˁrak 	hundred
敗 	败 	bài 	bæjH 	b- 	-æj 	departing 	*N-pˁrat-s {*N-pˁra[t]-s} 	suffer defeat
稗 	稗 	bài 	bɛH 	b- 	-ɛ 	departing 	*C.bˁre-s {*C.[b]ˁre-s} 	weed resembling grain
敗 	败 	bài 	pæjH 	p- 	-æj 	departing 	*pˁrat-s {*pˁra[t]-s} 	defeat (v.t.)
拜 	拜 	bài 	pɛjH 	p- 	-ɛj 	departing 	*C.pˁrot-s {*C.pˁro[t]-s} 	bow, bend (v.)
頒 	颁 	bān 	pæn 	p- 	-æn 	even 	*pˁ‹r›ən {*pˁ‹r›ə[n]} (F!) 	distribute
朌 	朌 	bān 	pæn 	p- 	-æn 	even 	*pˁ‹r›ən {*pˁ‹r›ə[n]} V! 	distribute
板 	板 	bǎn 	pænX 	p- 	-æn 	rising 	*C.pˁranʔ 	plank, board
阪 	坂 	bǎn 	pjonX 	p- 	-jon 	rising 	*panʔ {*pa[n]ʔ} 	slope, bank
伴 	伴 	bàn 	banX 	b- 	-an 	rising 	*C.bˁanʔ {*C.[b]ˁanʔ} 	comrade
辦 	办 	bàn 	bɛnH 	b- 	-ɛn 	departing 	*bˁren-s {*[b]ˁren-s} 	manage, deal with
半 	半 	bàn 	panH 	p- 	-an 	departing 	*pˁan-s 	half
邦 	邦 	bāng 	pæwng 	p- 	-æwng 	even 	*pˁroŋ 	country
蚌 	蚌 	bàng 	bæwngX 	b- 	-æwng 	rising 	*bˁroŋʔ {*[b]ˁroŋʔ} 	oyster, mussel
蜯 	蜯 	bàng 	bæwngX 	b- 	-æwng 	rising 	*bˁroŋʔ {*[b]ˁroŋʔ} 	oyster, mussel
傍 	傍 	bàng 	bangH 	b- 	-ang 	departing 	*bˁaŋ-s {*[b]ˁaŋ-s} 	beside; assist
榜 	榜 	bàng 	pængH 	p- 	-æng 	departing 	*pˁraŋ-s 	oar
謗 	谤 	bàng 	pangH 	p- 	-ang 	departing 	*pˁaŋ-s 	slander
包 	包 	bāo 	pæw 	p- 	-æw 	even 	*pˁ‹r›u 	wrap, bundle
胞 	胞 	bāo 	pæw 	p- 	-æw 	even 	*pˁ‹r›u 	womb
苞 	苞 	bāo 	pæw 	p- 	-æw 	even 	*pˁ‹r›u 	reed mat for wrapping
褒 	褒 	bāo 	paw 	p- 	-aw 	even 	*pˁu 	praise (v.)
雹 	雹 	báo 	bæwk 	b- 	-æwk 	entering 	*C.bˁruk {*C.[b]ˁruk} 	hail
寶 	宝 	bǎo 	pawX 	p- 	-aw 	rising 	*pˁuʔ 	precious thing
保 	保 	bǎo 	pawX 	p- 	-aw 	rising 	*pˁuʔ 	protect
暴 	暴 	bào 	bawH 	b- 	-aw 	departing 	*bˁawk-s {*[b]ˁawk-s} 	violent
抱 	抱 	bào 	bawX 	b- 	-aw 	rising 	*m-pˁuʔ 	carry in the arms
瀑 	瀑 	bào 	buwk 	b- 	-uwk 	entering 	*bˁawk {*[b]ˁawk} 	waterfall?
報 	报 	bào 	pawH 	p- 	-aw 	departing 	*pˁuk-s 	repay
悲 	悲 	bēi 	pij 	p- 	-ij 	even 	*prəj 	sad
陂 	陂 	bēi 	pje 	p- 	-je 	even 	*paj {*p(r)a[j]} 	river bank; dike
碑 	碑 	bēi 	pje 	p- 	-je 	even 	*pre 	pillar
卑 	卑 	bēi 	pjie 	p- 	-jie 	even 	*pe 	low, humble
杯 	杯 	bēi 	pwoj 	p- 	-woj 	even 	*pˁə 	cup
北 	北 	běi 	pok 	p- 	-ok 	entering 	*pˁək 	north
備 	备 	bèi 	bijH 	b- 	-ij 	departing 	*brək-s {*[b]rək-s} 	complete (adj.)
被 	被 	bèi 	bjeX 	b- 	-je 	rising 	*m-pajʔ {*m-p(r)ajʔ} 	cover self with
孛 	孛 	bèi 	bwojH 	b- 	-woj 	departing 	*bˁut-s {*[b]ˁ[u]t-s} 	comet
悖 	悖 	bèi 	bwojH 	b- 	-woj 	departing 	*bˁut-s {*[b]ˁut-s} 	confused
背 	背 	bèi 	bwojH 	b- 	-woj 	departing 	*m-pˁək-s 	turn the back on
偝 	偝 	bèi 	bwojH 	b- 	-woj 	departing 	*m-pˁək-s 	turn the back on
倍 	倍 	bèi 	bwojX 	b- 	-woj 	rising 	*bˁəʔ {*(Cə.)[b]ˁəʔ} 	double
背 	背 	bèi 	pwojH 	p- 	-woj 	departing 	*pˁək-s 	the back
奔 	奔 	bēn 	pwon 	p- 	-won 	even 	*pˁur 	run (v.)
本 	本 	běn 	pwonX 	p- 	-won 	rising 	*C.pˁənʔ {*C.pˁə[n]ʔ} 	tree trunk
祊 	祊 	bēng 	pæng 	p- 	-æng 	even 	*pˁraŋ 	temple gate
崩 	崩 	bēng 	pong 	p- 	-ong 	even 	*Cə.pˁəŋ 	collapse (v., of a mountain)
堋 	堋 	bèng 	pongH 	p- 	-ong 	departing 	*pˁəŋ-s 	put coffin in grave
偪 	偪 	bī 	pik 	p- 	-ik 	entering 	*prək 	to press, urge
逼 	逼 	bī 	pik 	p- 	-ik 	entering 	*prək 	urge, press
鼻 	鼻 	bí 	bjijH 	b- 	-jij 	departing 	*Cə.bit-s {*Cə.bi[t]-s} 	smell (v.t.)
鼻 	鼻 	bí 	bjijH 	b- 	-jij 	departing 	*m-bit-s {*m-[b]i[t]-s} 	nose
鄙 	鄙 	bǐ 	pijX 	p- 	-ij 	rising 	*prəʔ 	border town
筆 	笔 	bǐ 	pit 	p- 	-it 	entering 	*p.rut {*p.[r]ut} (borrowed as *prut from Qin dial.) 	writing brush
彼 	彼 	bǐ 	pjeX 	p- 	-je 	rising 	*pajʔ 	that
比 	比 	bǐ 	pjijX 	p- 	-jij 	rising 	*C.pijʔ 	compare
匕 	匕 	bǐ 	pjijX 	p- 	-jij 	rising 	*pijʔ 	ladle, spoon
匕 	匕 	bǐ 	pjijX 	p- 	-jij 	rising 	*pijʔ 	spoon
秕 	秕 	bǐ 	pjijX 	p- 	-jij 	rising 	*pijʔ 	chaff; petty
妣 	妣 	bǐ 	pjijX 	p- 	-jij 	rising 	*pijʔ 	deceased mother
辟 	辟 	bì 	bek 	b- 	-ek 	entering 	*bˁek {*[b]ˁek} 	inner coffin
邲 	邲 	bì 	bit 	b- 	-it 	entering 	*brit {*[b]ri[t]} 	[place name]
避 	避 	bì 	bjieH 	b- 	-jie 	departing 	*bek-s {*[b]ek-s} 	avoid
庳 	庳 	bì 	bjieX 	b- 	-jie 	rising 	*N-peʔ 	low, short
婢 	婢 	bì 	bjieX 	b- 	-jie 	rising 	*beʔ {*[b]eʔ} 	female slave or servant
敝 	敝 	bì 	bjiejH 	b- 	-jiej 	departing 	*bet-s {*[b]e[t]-s} 	destroy; worn out
幣 	币 	bì 	bjiejH 	b- 	-jiej 	departing 	*bet-s {*[b]et-s} 	offering of silk
斃 	毙 	bì 	bjiejH 	b- 	-jiej 	departing 	*bet-s {*[b]e[t]-s} 	fall down (from wound or illness)
邲 	邲 	bì 	bjit 	b- 	-jit 	entering 	*bit {*[b]i[t]} 	[place name]
嬖 	嬖 	bì 	pejH 	p- 	-ej 	departing 	*pˁek-s 	favorite (n.)
閉 	闭 	bì 	pejH 	p- 	-ej 	departing 	*pˁit-s {*pˁi[t]-s} 	close (v.); obstruct
壁 	壁 	bì 	pek 	p- 	-ek 	entering 	*C.pˁek 	house wall
毖 	毖 	bì 	pijH 	p- 	-ij 	departing 	*prit-s {*pri[t]-s} 	cautious
柲 	柲 	bì 	pit 	p- 	-it 	entering 	*prit {*pri[t]} 	shaft, handle (of a weapon)
