ID	CHARACTER	PINYIN	DOCULECT	VALUE	SEGMENTS	CONTEXT	GLOSS	KARLGREN_ID	RHYME_CLASS	PHONETIC_CLASS	COGNATE_CLASS
1	矜	qin2	Middle_Chinese	gin	g i n /¹	i n c t	kind of lance	0369a			1
2	矜	qin2	Old_Chinese	*griŋ	g r i ŋ	i m n c	kind of lance	0369a	-iŋ	0369	1
2	刷	shua1	Middle_Chinese	srjwet	ʂ ɥ e t /⁴	i m n c t	brush (v.)	0298a			2
3	刷	shua1	Old_Chinese	*[s]r[o]t	s r o t	i m n c	brush (v.)	0298a	-ot	0298	2
3	吶	ne4	Middle_Chinese	nywet	ɲ w e t /⁴	i m n c t	slow of speech	0695k			3
4	吶	ne4	Old_Chinese	*not	n o t	i n c	slow of speech	0695k	-ot	0695	3
4	藹	ai3	Middle_Chinese	'ajH	ʔ a j /³	i n c t	ample, numerous	0313a'			4
5	藹	ai3	Old_Chinese	*qˤa[t]-s	qˤ a t s	i n c S	ample, numerous	0313a'	-at	0313	4
5	愛	ai4	Middle_Chinese	'ojH	ʔ o j /³	i n c t	to love; to grudge (< ‘draw close to oneself’?)	0508a			5
6	愛	ai4	Old_Chinese	*[q]ˤə[p]-s	qˤ ə p s	i n c S	to love; to grudge (< ‘draw close to oneself’?)	0508a	-əp	0508	5
6	艾	ai4	Middle_Chinese	ngajH	ŋ a j /³	i n c t	Artemisia; moxa	0347c			6
7	艾	ai4	Old_Chinese	*C.ŋˤa[t]-s	/C ŋˤ a t s	P i n c S	Artemisia; moxa	0347c	-at	0347	6
7	僾	ai4	Middle_Chinese	'ojH	ʔ o j /³	i n c t	to pant, lose the breath	0508d			7
8	僾	ai4	Old_Chinese	*qˤəp-s	qˤ ə p s	i n c S	to pant, lose the breath	0508d	-əp	0508	7
8	安	an1	Middle_Chinese	'an	ʔ a n /¹	i n c t	peace(ful)	0146a			8
9	安	an1	Old_Chinese	*[ʔ]ˤa[n]	ʔˤ a n	i n c	peace(ful)	0146a	-an	0146	8
9	埃	ai1	Middle_Chinese	'oj	ʔ o j /¹	i n c t	dust	0938b			9
10	埃	ai1	Old_Chinese	*qˤə	qˤ ə	i n	dust	0938b	-ə	0938	9
10	安	an1	Middle_Chinese	'an	ʔ a n /¹	i n c t	how	0146a			10
11	安	an1	Old_Chinese	*[ʔ]ˤa[n]	ʔˤ a n	i n c	how	0146a	-an	0146	10
11	豻	an4	Middle_Chinese	nganH	ŋ a n /³	i n c t	wild dog	0139d'			11
12	豻	an4	Old_Chinese	*m-[ɢ]ˤa[r]-s	m ɢˤ a r s	p i n c S	wild dog	0139d'	-ar	0139	11
12	按	an4	Middle_Chinese	'anH	ʔ a n /³	i n c t	repress	0146d			12
13	按	an4	Old_Chinese	*ʔˤa[n]-s	ʔˤ a n s	i n c S	repress	0146d	-an	0146	12
13	岸	an4	Middle_Chinese	nganH	ŋ a n /³	i n c t	bank of a river	0139e'			13
14	岸	an4	Old_Chinese	*[ŋ]ˤa[r]-s	ŋˤ a r s	i n c S	bank of a river	0139e'	-ar	0139	13
14	卬	ang2	Middle_Chinese	ngang	ŋ a ŋ /¹	i n c t	high; lift high	0699a			14
15	卬	ang2	Old_Chinese	*[k.ŋ]ˤaŋ	k ŋˤ a ŋ	P i n c	high; lift high	0699a	-aŋ	0699	14
15	案	an4	Middle_Chinese	'anH	ʔ a n /³	i n c t	stool; tray	0146e			15
16	案	an4	Old_Chinese	*ʔˤa[n]-s	ʔˤ a n s	i n c S	stool; tray	0146e	-an	0146	15
16	晻	an3	Middle_Chinese	'omX	ʔ o m /²	i n c t	dark	0614e			16
17	晻	an3	Old_Chinese	*qˤ[o]mʔ	qˤ o m ʔ	i n c C	dark	0614e	-omʔ	0614	16
17	卬	ang2	Middle_Chinese	ngang	ŋ a ŋ /¹	i n c t	I, me	0699a			17
18	卬	ang2	Old_Chinese	*ŋˤaŋ	ŋˤ a ŋ	i n c	I, me	0699a	-aŋ	0699	17
18	敖	ao2	Middle_Chinese	ngaw	ŋ a w /¹	i n c t	saunter about	1130a			18
19	敖	ao2	Old_Chinese	*ŋˤaw	ŋˤ a w	i n c	saunter about	1130a	-aw	1130	18
19	敖	ao2	Middle_Chinese	ngaw	ŋ a w /¹	i n c t	tall	1130a			19
20	敖	ao2	Old_Chinese	*[ŋ]ˤaw	ŋˤ a w	i n c	tall	1130a	-aw	1130	19
20	澳	ao4	Middle_Chinese	'awH	ʔ a w /³	i n c t	bay, cove	1045b			20
21	澳	ao4	Old_Chinese	*ʔˤuk-s	ʔˤ u k s	i n c S	bay, cove	1045b	-uk	1045	20
21	奧	ao4	Middle_Chinese	'awH	ʔ a w /³	i n c t	southwest corner of a house	1045a			21
22	奧	ao4	Old_Chinese	*ʔˤuk-s	ʔˤ u k s	i n c S	southwest corner of a house	1045a	-uk	1045	21
22	豝	ba1	Middle_Chinese	pae	p æ /¹	i n t	sow, pig	0039d			22
23	豝	ba1	Old_Chinese	*pˤra	pˤ r a	i m n	sow, pig	0039d	-a	0039	22
23	熬	ao2	Middle_Chinese	ngaw	ŋ a w /¹	i n c t	fry, roast (v.)	1130h			23
24	熬	ao2	Old_Chinese	*ŋˤaw	ŋˤ a w	i n c	fry, roast (v.)	1130h	-aw	1130	23
24	獺	ta3	Middle_Chinese	trhaet	ʈʰ æ t /¹	i n c t	otter	0272i			24
25	獺	ta3	Old_Chinese	*[m-r̥]ˤat	m r̥ˤ a t	p i n c	otter	0272i	-at	0272	24
25	察	cha2	Middle_Chinese	tsrheat	ʈʂʰ ɛ t /⁴	i n c t	examine	0337j			25
26	察	cha2	Old_Chinese	*[tsʰ]ˤret	tsʰˤ r e t	i i n c	examine	0337j	-et	0337	25
26	臿	cha1	Middle_Chinese	tsrheap	ʈʂʰ ɛ p /⁴	i n c t	pestle	0631a			26
27	臿	cha1	Old_Chinese	*[tsʰ]<r>op	tsʰ r/‹r› o p	i m n c	pestle	0631a	-op	0631	26
27	秅	cha2	Middle_Chinese	drae	ɖ æ /¹	i n t	a certain number of sheaves of grain	0780f			27
28	秅	cha2	Old_Chinese	*[d]ˤra	dˤ r a	i i n	a certain number of sheaves of grain	0780f	-a	0780	27
28	詫	cha4	Middle_Chinese	trhaeH	ʈʰ æ /³	i n t	tell	0780h			28
29	詫	cha4	Old_Chinese	*tʰˤrak-s	tʰˤ r a k s	i m n c S	tell	0780h	-ak	0780	28
29	荼	cha2	Middle_Chinese	drae	ɖ æ /¹	i n t	(name of a plant)	0082x			29
30	荼	cha2	Old_Chinese	*lˤra	lˤ r a	i m n	(name of a plant)	0082x	-a	0082	29
