OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
矜	gin	qin2	*griŋ		g	r	iŋ		0369a	U+77DC	kind of lance
刷	srjwet	shua1	*[s]r[o]t		[s]	r	[o]t		0298a	U+5237	brush (v.)
吶	nywet	ne4	*not		n		ot		0695k	U+5436	slow of speech
藹	'ajH	ai3	*qˤa[t]-s		qˤ		a[t]	-s	0313a'	U+85F9	ample, numerous
愛	'ojH	ai4	*[q]ˤə[p]-s		[q]ˤ		ə[p]	-s	0508a	U+611B	to love; to grudge (< ‘draw close to oneself’?)
艾	ngajH	ai4	*C.ŋˤa[t]-s	C.	ŋˤ		a[t]	-s	0347c	U+827E	Artemisia; moxa
僾	'ojH	ai4	*qˤəp-s		qˤ		əp	-s	0508d	U+50FE	to pant, lose the breath
安	'an	an1	*[ʔ]ˤa[n]		[ʔ]ˤ		a[n]		0146a	U+5B89	peace(ful)
埃	'oj	ai1	*qˤə		qˤ		ə		0938b	U+57C3	dust
安	'an	an1	*[ʔ]ˤa[n]		[ʔ]ˤ		a[n]		0146a	U+5B89	how
豻	nganH	an4	*m-[ɢ]ˤa[r]-s	m-	[ɢ]ˤ		a[r]	-s	0139d'	U+8C7B	wild dog
按	'anH	an4	*ʔˤa[n]-s		ʔˤ		a[n]	-s	0146d	U+6309	repress
岸	nganH	an4	*[ŋ]ˤa[r]-s		[ŋ]ˤ		a[r]	-s	0139e'	U+5CB8	bank of a river
卬	ngang	ang2	*[k.ŋ]ˤaŋ	[k.	ŋ]ˤ		aŋ		0699a	U+536C	high; lift high
案	'anH	an4	*ʔˤa[n]-s		ʔˤ		a[n]	-s	0146e	U+6848	stool; tray
晻	'omX	an3	*qˤ[o]mʔ		qˤ		[o]mʔ		0614e	U+667B	dark
卬	ngang	ang2	*ŋˤaŋ		ŋˤ		aŋ		0699a	U+536C	I, me
敖	ngaw	ao2	*ŋˤaw		ŋˤ		aw		1130a	U+6556	saunter about
敖	ngaw	ao2	*[ŋ]ˤaw		[ŋ]ˤ		aw		1130a	U+6556	tall
澳	'awH	ao4	*ʔˤuk-s		ʔˤ		uk	-s	1045b	U+6FB3	bay, cove
奧	'awH	ao4	*ʔˤuk-s		ʔˤ		uk	-s	1045a	U+5967	southwest corner of a house
豝	pae	ba1	*pˤra		pˤ	r	a		0039d	U+8C5D	sow, pig
熬	ngaw	ao2	*ŋˤaw		ŋˤ		aw		1130h	U+71AC	fry, roast (v.)
獺	trhaet	ta3	*[m-r̥]ˤat	[m-	r̥]ˤ		at		0272i	U+737A	otter
