DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Beijing	p	p	i	
Beijing	p’	pʰ	i	
Beijing	m	m	i	
Beijing	f	f	i	
Beijing	t	t	i	
Beijing	t’	tʰ	i	
Beijing	n	n	i	
Beijing	l	l	i	
Beijing	ts	ts	i	
Beijing	ts’	tsʰ	i	
Beijing	s	s	i	
Beijing	tʂ	ʈʂ	i	
Beijing	tʂ’	ʈʂʰ	i	
Beijing	ʂ	ʂ	i	
Beijing	ʐ	ʐ	i	
Beijing	tɕ	tɕ	i	
Beijing	tɕ’	tɕʰ	i	
Beijing	ɕ	ɕ	i	
Beijing	k	k	i	
Beijing	k’	kʰ	i	
Beijing	x	x	i	
Beijing	Ø	NULL	i	
Beijing	ɿ	ɿ	n	
Beijing	ʅ	ʅ	n	
Beijing	ɚ	ɚ/ə	n/r	
Beijing	a	a	n	
Beijing	ə	ə	n	
Beijing	o	o	n	
Beijing	ai	a i	n N	
Beijing	ei	e i	n N	
Beijing	au	a u	n N	
Beijing	ou	o u	n N	
Beijing	an	a n	n c	
Beijing	en	e n	n c	
Beijing	aŋ	a ŋ	n c	
Beijing	əŋ	ə ŋ	n c	
Beijing	i	i	n	
Beijing	ia	i a	m n	
Beijing	ie	i e	m n	
Beijing	iau	i a u	m n N	
Beijing	iou	i o u	m n N	
Beijing	ian	i a n	m n N	
Beijing	in	i n	n c	
Beijing	iaŋ	i a ŋ	m n c	
Beijing	iŋ	i ŋ	n c	
Beijing	u	u	n	
Beijing	ua	u a	m n	
Beijing	uo	u o	m n	
Beijing	uai	u a i	m n N	
Beijing	uei	u e i	m n N	
Beijing	uan	u a n	m n c	
Beijing	uən	u e n	m n c	
Beijing	uaŋ	u a ŋ	m n c	
Beijing	uŋ	u ŋ	n c	
Beijing	uəŋ	u ə ŋ	m n c	
Beijing	y	y	n	
Beijing	ye	y e	m n	
Beijing	yan	y a n	m n c	
Beijing	yun	y u n	m n c	
Beijing	yŋ	y ŋ	n c	
Beijing	⁵⁵	⁵⁵	t/ip	
Beijing	³⁵	³⁵	t/ap	
Beijing	²¹⁴	²¹⁴	t/s	
Beijing	⁵¹	⁵¹	t/q	
Beijing	²¹/²¹⁴	²¹/²¹⁴	t/s	
Beijing	³⁵/²¹⁴	³⁵/²¹⁴	t/s	
Hefei	p	p	i	
Hefei	p’	pʰ	i	
Hefei	m	m	i	
Hefei	f	f	i	
Hefei	t	t	i	
Hefei	t’	tʰ	i	
Hefei	l	n	i	
Hefei	ts	ts	i	
Hefei	ts’	tsʰ	i	
Hefei	s	s	i	
Hefei	z	z	i	
