ID	DOCULECT	GLOTTOLOG	ISO	CONCEPT	CONCEPTICON_ID	CHINESE	PINYIN	BENZI	BENZI_IN_SOURCE	VALUE	FORM	SEGMENTS	COGID	COGIDS	NOTE	SOURCE	BEIDA_ID	PAGE	ORDER	ALIGNMENTS
16629	Beijing	beij1234	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	大 年 三 十	大年三十兒	ta⁵¹nian³⁵san⁵⁵ʂʅr³⁵	ta⁵¹nian³⁵san⁵⁵ʂʅr³⁵	t a ⁵¹ n i a n ³⁵ s a n ⁵⁵ ʂ */ʅ ³⁵	1	47 391 392 393		BeijingDaxue1964	48	24	1	t a - - ⁵¹ + n i - a n - ³⁵ + s a n ⁵⁵ + ʂ */ʅ - - ³⁵
16630	Beijing	beij1234	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	三 十 晚 上	三十兒晚上	san⁵⁵ʂʅr³⁵uan²¹⁴₂₁ʂaŋ⁰	san⁵⁵ʂʅr³⁵uan²¹⁴₂₁ʂaŋ⁰	s a n ⁵⁵ ʂ */ʅ ³⁵ u a n ²¹/²¹⁴ ʂ a ŋ ⁰	2	392 393 394 96	[2]	BeijingDaxue1964	48	24	2	s a n ⁵⁵ + ʂ */ʅ - - ³⁵ + - u a n - ²¹/²¹⁴ + ʂ a - ŋ ⁰
16631	Jinan	jina1245	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	三 十	三十兒	sæ̃²¹³ʂʅr⁴²	sæ̃²¹³ʂʅr⁴²	s æ̃ ∼ ²¹³ ʂ */ʅ ⁴²	3	392 393		BeijingDaxue1964	48	24	1	s æ̃ ∼ ²¹³ + ʂ */ʅ - - ⁴²
16632	Shenyang	shen1252	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	三 十	三十兒	san³³sɿr³⁵	san³³sɿr³⁵	s a n ³³ s */ɿ ³⁵	3	392 393		BeijingDaxue1964	48	24	1	s a n ³³ + s */ɿ - - ³⁵
16633	Xi_an	xian1253	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	三 十	三十兒〔晚上〕	sæ̃²¹ʂʅr²⁴	sæ̃²¹ʂʅr²⁴	s æ̃ ∼ ²¹ ʂ */ʅ ²⁴	3	392 393		BeijingDaxue1964	48	24	1	s æ̃ ∼ ²¹ + ʂ */ʅ - - ²⁴
16634	Xi_an	xian1253	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	大 年 三 十	大年三十	tɑ⁴⁵ȵiæ̃⁰sæ̃²¹ʂʅ⁰	tɑ⁴⁵ȵiæ̃⁰sæ̃²¹ʂʅ⁰	t ɑ ⁴⁵ ȵ i æ̃ ∼ ⁰ s æ̃ ∼ ²¹ ʂ ʅ ⁰	1	47 391 392 393	[2]	BeijingDaxue1964	48	24	2	t ɑ - - ⁴⁵ + ȵ i - æ̃ ∼ - ⁰ + s æ̃ ∼ ²¹ + ʂ ʅ - - ⁰
16635	Chengdu	chen1267	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	三 晚 黑	三十晚黑	san⁴⁴uan⁵³xe³¹	san⁴⁴uan⁵³xe³¹	s a n ⁴⁴ u a n ⁵³ x e ³¹	4	392 394 395		BeijingDaxue1964	48	24	1	s a n ⁴⁴ + - u a n - ⁵³ + x - e - ³¹
16636	Kunming	kunm1234	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	三 十 晚 上	三十晚上	sã⁴⁴ʂʅ³¹uã⁵³ʂã¹³	sã⁴⁴ʂʅ³¹uã⁵³ʂã¹³	s ã ∼ ⁴⁴ ʂ ʅ ³¹ u ã ∼ ⁵³ ʂ ã ∼ ¹³	2	392 393 394 96		BeijingDaxue1964	48	24	1	s ã ∼ ⁴⁴ + ʂ ʅ - - ³¹ + - u ã ∼ - ⁵³ + ʂ ã - ∼ ¹³
16637	Hefei	hefe1234	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	年 三 十	年三十	niĩ⁵⁵sæ̃²¹²ʂəʔ⁴	niĩ⁵⁵sæ̃²¹²ʂəʔ⁴	n i ĩ ∼ ⁵⁵ s æ̃ ∼ ²¹² ʂ ə ʔ ⁴	5	391 392 393		BeijingDaxue1964	48	24	1	n i - ĩ ∼ - ⁵⁵ + s æ̃ ∼ ²¹² + ʂ ə - ʔ ⁴
16638	Yangzhou	yang1306	cmn	Chinese New Year's Eve (chú xī 除夕)	2188	除夕	chú xī	三 十 子	三十子	sɛ̃³¹səʔ⁴tsɛ⁰	sɛ̃³¹səʔ⁴tsɛ⁰	s ɛ̃ ∼ ³¹ s ə ʔ ⁴ ts ɛ ⁰	6	392 393 67		BeijingDaxue1964	48	24	1	s ɛ̃ ∼ ³¹ + s ə - ʔ ⁴ + ts ɛ - - ⁰
