ID	CHARACTER	PINYIN	DOCULECT	READING	PAGE
1	愛	ài	Middle_Chinese	ʔậi-	361
2	愛	ài	Common_Chinese	*oi5	361
3	安	ān	Middle_Chinese	ʔân	362
4	安	ān	Common_Chinese	*on1	362
5	岸	àn	Middle_Chinese	ngân-	362
6	岸	àn	Common_Chinese	*ngon6	362
7	傲	aò	Middle_Chinese	ngâu-	362
8	傲	aò	Common_Chinese	*ngou6	362
9	巴	bā	Middle_Chinese	pa	363
10	巴	bā	Common_Chinese	*pa1	363
11	把	bǎ	Middle_Chinese	pa:	363
12	把	bǎ	Common_Chinese	*pa3	363
13	罷	bà	Middle_Chinese	baï-	363
14	罷	bà	Common_Chinese	*ba6	363
15	百	bǎi	Middle_Chinese	pɒk	363
16	百	bǎi	Common_Chinese	*pak7	363
17	班	bān	Middle_Chinese	pwan	364
18	班	bān	Common_Chinese	*pan1	364
19	搬	bān	Middle_Chinese	puân	364
20	搬	bān	Common_Chinese	*pon1	364
21	辦	bàn	Middle_Chinese	bǎn-	364
22	辦	bàn	Common_Chinese	*ban6	364
23	半	bàn	Middle_Chinese	puân-	365
24	半	bàn	Common_Chinese	*pon5	365
25	邦	bāng	Middle_Chinese	pång	365
26	邦	bāng	Common_Chinese	*pong1	365
27	幫	bāng	Middle_Chinese	pâng	365
28	幫	bāng	Common_Chinese	*pong1	365
29	蚌	bàng	Middle_Chinese	bång:	365
30	蚌	bàng	Common_Chinese	*bong4	365
31	包	bāo	Middle_Chinese	pau	365
32	包	bāo	Common_Chinese	*pau1	365
33	保	bǎo	Middle_Chinese	pâu:	366
34	保	bǎo	Common_Chinese	*pou3	366
35	寶	bǎo	Middle_Chinese	pâu:	366
36	寶	bǎo	Common_Chinese	*pou3	366
37	飽	bǎo	Middle_Chinese	pau:	366
38	飽	bǎo	Common_Chinese	*pau3	366
39	抱	bào	Middle_Chinese	bâu:	366
40	抱	bào	Common_Chinese	*bou4	366
41	悲	bēi	Middle_Chinese	pji3	366
42	悲	bēi	Common_Chinese	*pi1	366
43	北	běi	Middle_Chinese	pək	367
44	北	běi	Common_Chinese	*pek7	367
45	貝	bèi	Middle_Chinese	pwâi-	367
46	貝	bèi	Common_Chinese	*puoi5	367
47	背	bèi	Middle_Chinese	puậi-	367
48	背	bèi	Common_Chinese	*puoi5	367
49	備	bèi	Middle_Chinese	bi-3	367
50	備	bèi	Common_Chinese	*bi6	367
51	筆	bǐ	Middle_Chinese	pjet3	368
52	筆	bǐ	Common_Chinese	*pit7	368
53	比	bǐ	Middle_Chinese	pi:4	369
54	比	bǐ	Common_Chinese	*pi3	369
55	彼	bǐ	Middle_Chinese	pje:3	369
56	彼	bǐ	Common_Chinese	*pi3	369
57	敝	bì	Middle_Chinese	bjiäi-4	369
58	敝	bì	Common_Chinese	*bi6	369
59	避	bì	Middle_Chinese	bjie-4	369
60	避	bì	Common_Chinese	*bi6	369
61	幣	bì	Middle_Chinese	bjiäi-4	369
62	幣	bì	Common_Chinese	*bi6	369
63	畢	bì	Middle_Chinese	pjet3	370
64	畢	bì	Common_Chinese	*pit7	370
65	必	bì	Middle_Chinese	pjiet4	370
66	必	bì	Common_Chinese	*pit7	370
67	邊	biān	Middle_Chinese	pien	370
68	邊	biān	Common_Chinese	*pian1	370
69	辯	biàn	Middle_Chinese	bjän:3	370
70	辯	biàn	Common_Chinese	*bian4	370
71	便	biàn	Middle_Chinese	bjiän-4	371
72	便	biàn	Common_Chinese	*bian6	371
73	變	biàn	Middle_Chinese	pjän-3	371
74	變	biàn	Common_Chinese	*pian5	371
75	賓	bīn	Middle_Chinese	pjien4	371
76	賓	bīn	Common_Chinese	*pin1	371
77	兵	bīng	Middle_Chinese	pjwɒng	371
78	兵	bīng	Common_Chinese	*piang1	371
79	冰	bīng	Middle_Chinese	pjəng	372
80	冰	bīng	Common_Chinese	*ping1	372
81	稟	bǐng	Middle_Chinese	pjəm:	372
82	稟	bǐng	Common_Chinese	*pim3	372
83	餅	bǐng	Middle_Chinese	pjäng:	372
84	餅	bǐng	Common_Chinese	*piang3	372
85	並/并	bìng	Middle_Chinese	bieng:/pjäng-	372
86	並/并	bìng	Common_Chinese	*biang4/*piang5	372
87	波	bō	Middle_Chinese	puâ	373
88	波	bō	Common_Chinese	*po1	373
89	博	bó	Middle_Chinese	pâk	373
90	博	bó	Common_Chinese	*pok7	373
91	薄	bó	Middle_Chinese	bâk	373
92	薄	bó	Common_Chinese	*bok8	373
93	伯	bó	Middle_Chinese	pɒk	373
94	伯	bó	Common_Chinese	*pak7	373
95	布	bù	Middle_Chinese	puo-	374
96	布	bù	Common_Chinese	*pu5	374
97	步	bù	Middle_Chinese	buo-	374
98	步	bù	Common_Chinese	*bu6	374
99	簿	bù	Middle_Chinese	buo:	374
100	簿	bù	Common_Chinese	*bu4	374
101	餐	cān	Middle_Chinese	tshân	375
102	餐	cān	Common_Chinese	*tshan1	375
103	參	cān	Middle_Chinese	tshậm	376
104	參	cān	Common_Chinese	*tshom1	376
105	蠶	cán	Middle_Chinese	dzậm	376
106	蠶	cán	Common_Chinese	*dzom2	376
107	慘	cǎn	Middle_Chinese	tshậm:	376
108	慘	cǎn	Common_Chinese	*tshom3	376
109	倉	cāng	Middle_Chinese	tshâng	376
110	倉	cāng	Common_Chinese	*tshong1	376
111	藏	cáng	Middle_Chinese	dzâng	376
112	藏	cáng	Common_Chinese	*dzong2	376
113	曹	cáo	Middle_Chinese	dzâu	377
114	曹	cáo	Common_Chinese	*dzou2	377
115	草	cǎo	Middle_Chinese	tshâu:	377
116	草	cǎo	Common_Chinese	*tshou3	377
117	曾	céng	Middle_Chinese	dzəng	378
118	曾	céng	Common_Chinese	*dzeng2	378
119	層	céng	Middle_Chinese	dzəng	378
120	層	céng	Common_Chinese	*dzeng2	378
121	差	chā	Middle_Chinese	tṣha	378
122	差	chā	Common_Chinese	*cha1	378
123	叉	chā	Middle_Chinese	tṣha	378
124	叉	chā	Common_Chinese	*cha1	378
125	插	chā	Middle_Chinese	tṣhǎp	378
126	插	chā	Common_Chinese	*chap7	378
127	茶	chá	Middle_Chinese	ḍa	379
128	茶	chá	Common_Chinese	*ja2	379
129	查	chá	Middle_Chinese	dẓa	379
130	查	chá	Common_Chinese	*ja2	379
131	察	chá	Middle_Chinese	tṣhǎt	379
132	察	chá	Common_Chinese	*chat7	379
133	拆	chāi	Middle_Chinese	ṭhɒk	379
134	拆	chāi	Common_Chinese	*chak7	379
135	柴	chái	Middle_Chinese	dẓaï	379
136	柴	chái	Common_Chinese	*jai2	379
137	嘗	cháng	Middle_Chinese	źjang	380
138	嘗	cháng	Common_Chinese	*zhiong2	380
139	抄	chāo	Middle_Chinese	tṣhau	381
140	抄	chāo	Common_Chinese	*chau1	381
141	巢	cháo	Middle_Chinese	dẓau	381
142	巢	cháo	Common_Chinese	*jau2	381
143	車	chē	Middle_Chinese	tśhja	381
144	車	chē	Common_Chinese	*chia1	381
145	沈	chén	Middle_Chinese	ḍjəm	381
146	沈	chén	Common_Chinese	*jim2	381
147	辰	chén	Middle_Chinese	źjen	381
148	辰	chén	Common_Chinese	*zhin2	381
149	臣	chén	Middle_Chinese	źjen	382
150	臣	chén	Common_Chinese	*jin2	382
151	程	chéng	Middle_Chinese	ḍjäng	383
152	程	chéng	Common_Chinese	*jiang2	383
153	QYS	喫	Middle_Chinese	khiek	383
154	QYS	喫	Common_Chinese	*khiak7	383
155	遲	chí	Middle_Chinese	ḍi	383
156	遲	chí	Common_Chinese	*ji2	383
157	持	chí	Middle_Chinese	ḍï	384
158	持	chí	Common_Chinese	*ji2	384
159	齒	chǐ	Middle_Chinese	tśhï:	384
160	齒	chǐ	Common_Chinese	*chi3	384
161	尺	chǐ	Middle_Chinese	tśhjäk	384
162	尺	chǐ	Common_Chinese	*chiak7	384
163	翅	chì	Middle_Chinese	śje-	384
164	翅	chì	Common_Chinese	*chi5	384
165	充	chōng	Middle_Chinese	tśhjung	384
166	充	chōng	Common_Chinese	*chiung1	384
167	重	chóng	Middle_Chinese	ḍjwong	385
168	重	chóng	Common_Chinese	*jiung2	385
169	蟲	chóng	Middle_Chinese	ḍjung	385
170	蟲	chóng	Common_Chinese	*jiung2	385
171	崇	chóng	Middle_Chinese	dẓjung	385
172	崇	chóng	Common_Chinese	*jung2	385
173	寵	chǒng	Middle_Chinese	ṭhjwong:	385
174	寵	chǒng	Common_Chinese	*chiung3	385
175	抽	chōu	Middle_Chinese	ṭhjəu	386
176	抽	chōu	Common_Chinese	*chieu1	386
177	綢	chóu	Middle_Chinese	ḍjəu	386
178	綢	chóu	Common_Chinese	*jieu2	386
179	愁	chóu	Middle_Chinese	dẓjəu	386
180	愁	chóu	Common_Chinese	*jeu2	386
181	臭	chòu	Middle_Chinese	tśhjəu-	386
182	臭	chòu	Common_Chinese	*chieu5	386
183	出	chū	Middle_Chinese	tśhjwet	387
184	出	chū	Common_Chinese	*chiut7	387
185	初	chū	Middle_Chinese	tṣhjwo	387
186	初	chū	Common_Chinese	*chu1	387
187	廚	chú	Middle_Chinese	ḍju	387
188	廚	chú	Common_Chinese	*jiu2	387
189	穿	chuān	Middle_Chinese	tśhjwän	388
190	穿	chuān	Common_Chinese	*chion1	388
191	傳	chuán	Middle_Chinese	ḍjwän	388
192	傳	chuán	Common_Chinese	*jion2	388
193	船	chuán	Middle_Chinese	dźjwän	389
194	船	chuán	Common_Chinese	*jion2	389
195	窗	chuāng	Middle_Chinese	tṣhång	389
196	窗	chuāng	Common_Chinese	*chong1	389
197	瘡	chuāng	Middle_Chinese	tṣhjang	389
198	瘡	chuāng	Common_Chinese	*chong1	389
199	吹	chuī	Middle_Chinese	tśhjwe	389
200	吹	chuī	Common_Chinese	*chui1	389
201	錘	chuí	Middle_Chinese	ḍjwi	389
202	錘	chuí	Common_Chinese	*jui2	389
203	春	chūn	Middle_Chinese	tśhjuen	390
204	春	chūn	Common_Chinese	*chiun1	390
205	辭	cí	Middle_Chinese	zï	390
206	辭	cí	Common_Chinese	*zi2	390
207	詞	cí	Middle_Chinese	zï	391
208	詞	cí	Common_Chinese	*zi2	391
209	磁	cí	Middle_Chinese	dzï	391
