ID	CHARACTER	PINYIN	DOCULECT	READING	CONTEXT
1	巴	bā	Middle_Chinese	p æ /¹	i n t t
2	巴	bā	Beijing	p a ⁵⁵	i n t
3	笆	bā	Middle_Chinese	p æ /¹	i n t t
4	笆	bā	Beijing	p a ⁵⁵	i n t
5	豝	bā	Middle_Chinese	p æ /¹	i n t t
6	豝	bā	Beijing	p a ⁵⁵	i n t
7	芭	bā	Middle_Chinese	p æ /¹	i n t t
8	芭	bā	Beijing	p a ⁵⁵	i n t
9	八	bā	Middle_Chinese	p ɛ t /⁴	i n c t t
10	八	bā	Beijing	p a ⁵⁵	i n t
11	拔	bá	Middle_Chinese	b ɛ t /⁴	i n c t t
12	拔	bá	Beijing	p a ³⁵	i n t
13	跋	bá	Middle_Chinese	b a t /⁴	i n c t t
14	跋	bá	Beijing	p a ³⁵	i n t
15	钹	bó	Middle_Chinese	b a t /⁴	i n c t t
16	钹	bó	Beijing	p a ³⁵	i n t
17	魃	bá	Middle_Chinese	b a t /⁴	i n c t t
18	魃	bá	Beijing	p a ³⁵	i n t
19	茇	bá	Middle_Chinese	b a t /⁴	i n c t t
20	茇	bá	Beijing	p a ³⁵	i n t
21	把	bǎ	Middle_Chinese	p æ /²	i n t
22	把	bǎ	Beijing	p a ²¹⁴	i n t
23	霸	bà	Middle_Chinese	p æ /³	i n t
24	霸	bà	Beijing	p a ⁵¹	i n t
25	欛	bà	Middle_Chinese	p æ /³	i n t
26	欛	bà	Beijing	p a ⁵¹	i n t
27	灞	bà	Middle_Chinese	p æ /³	i n t
28	灞	bà	Beijing	p a ⁵¹	i n t
29	坝	bà	Middle_Chinese	p æ /³	i n t
30	坝	bà	Beijing	p a ⁵¹	i n t
31	壩	bà	Middle_Chinese	p æ /³	i n t
32	壩	bà	Beijing	p a ⁵¹	i n t
33	爸	bà	Middle_Chinese	p æ /³	i n t
34	爸	bà	Beijing	p a ⁵¹	i n t
35	耙	bà	Middle_Chinese	b æ /³	i n t
36	耙	bà	Beijing	p a ⁵¹	i n t
37	杷	pá	Middle_Chinese	b æ /³	i n t
38	杷	pá	Beijing	p a ⁵¹	i n t
39	罢	bà	Middle_Chinese	b ɛ /²	i n t
40	罢	bà	Beijing	p a ⁵¹	i n t
41	葩	pā	Middle_Chinese	pʰ æ /¹	i n t t
42	葩	pā	Beijing	pʰ a ⁵⁵	i n t
43	爬	pá	Middle_Chinese	b æ /¹	i n t t
44	爬	pá	Beijing	pʰ a ³⁵	i n t
45	钯	bǎ	Middle_Chinese	b æ /¹	i n t t
46	钯	bǎ	Beijing	pʰ a ³⁵	i n t
47	杷	pá	Middle_Chinese	b æ /¹	i n t t
48	杷	pá	Beijing	pʰ a ³⁵	i n t
49	琶	pá	Middle_Chinese	b æ /¹	i n t t
50	琶	pá	Beijing	pʰ a ³⁵	i n t
51	怕	pà	Middle_Chinese	pʰ æ /³	i n t
52	怕	pà	Beijing	pʰ a ⁵¹	i n t
53	帕	pà	Middle_Chinese	pʰ æ /³	i n t
54	帕	pà	Beijing	pʰ a ⁵¹	i n t
55	帊	pà	Middle_Chinese	pʰ æ /³	i n t
56	帊	pà	Beijing	pʰ a ⁵¹	i n t
57	麻	má	Middle_Chinese	m æ /¹	i n t t
58	麻	má	Beijing	m a ³⁵	i n t
59	痲	má	Middle_Chinese	m æ /¹	i n t t
60	痲	má	Beijing	m a ³⁵	i n t
61	蟆	má	Middle_Chinese	m æ /¹	i n t t
62	蟆	má	Beijing	m a ³⁵	i n t
63	马	mǎ	Middle_Chinese	m æ /²	i n t
64	马	mǎ	Beijing	m a ²¹⁴	i n t
65	码	mǎ	Middle_Chinese	m æ /²	i n t
66	码	mǎ	Beijing	m a ²¹⁴	i n t
67	玛	mǎ	Middle_Chinese	m æ /²	i n t
68	玛	mǎ	Beijing	m a ²¹⁴	i n t
69	骂	mà	Middle_Chinese	m æ /³	i n t
70	骂	mà	Beijing	m a ⁵¹	i n t
71	禡	mà	Middle_Chinese	m æ /³	i n t
72	禡	mà	Beijing	m a ⁵¹	i n t
73	发	fā	Middle_Chinese	p j o t /⁴	i m n c t t
74	发	fā	Beijing	f a ⁵⁵	i n t
75	乏	fá	Middle_Chinese	b j o p /⁴	i m n c t t
76	乏	fá	Beijing	f a ³⁵	i n t
77	伐	fá	Middle_Chinese	b j o t /⁴	i m n c t t
78	伐	fá	Beijing	f a ³⁵	i n t
79	筏	fá	Middle_Chinese	b j o t /⁴	i m n c t t
80	筏	fá	Beijing	f a ³⁵	i n t
81	阀	fá	Middle_Chinese	b j o t /⁴	i m n c t t
82	阀	fá	Beijing	f a ³⁵	i n t
83	垡	fá	Middle_Chinese	b j o t /⁴	i m n c t t
84	垡	fá	Beijing	f a ³⁵	i n t
85	罚	fá	Middle_Chinese	b j o t /⁴	i m n c t t
86	罚	fá	Beijing	f a ³⁵	i n t
87	法	fǎ	Middle_Chinese	p j o p /⁴	i m n c t t
88	法	fǎ	Beijing	f a ²¹⁴	i n t
89	髮	fà	Middle_Chinese	p j o t /⁴	i m n c t t
90	髮	fà	Beijing	f a ⁵¹	i n t
91	搭	dā	Middle_Chinese	t o p /⁴	i n c t t
92	搭	dā	Beijing	t a ⁵⁵	i n t
93	答	dá	Middle_Chinese	t o p /⁴	i n c t t
94	答	dá	Beijing	t a ⁵⁵	i n t
95	褡	dā	Middle_Chinese	t o p /⁴	i n c t t
96	褡	dā	Beijing	t a ⁵⁵	i n t
97	耷	dā	Middle_Chinese	t o p /⁴	i n c t t
98	耷	dā	Beijing	t a ⁵⁵	i n t
99	答	dá	Middle_Chinese	t o p /⁴	i n c t t
100	答	dá	Beijing	t a ³⁵	i n t
101	沓	dá	Middle_Chinese	d o p /⁴	i n c t t
102	沓	dá	Beijing	t a ³⁵	i n t
103	笪	dá	Middle_Chinese	t a t /⁴	i n c t t
104	笪	dá	Beijing	t a ³⁵	i n t
105	妲	dá	Middle_Chinese	t a t /⁴	i n c t t
106	妲	dá	Beijing	t a ³⁵	i n t
