编号1	字目	京声	京韵	京调	上字	下字	韵摄	开合	等列	古调	古韵	古声
C0001	巴	p	a	1	伯	加	假	开	二	平	麻	帮
C0002	笆	p	a	1	伯	加	假	开	二	平	麻	帮
C0003	豝	p	a	1	伯	加	假	开	二	平	麻	帮
C0004	芭	p	a	1	伯	加	假	开	二	平	麻	帮
C0005	八	p	a	1	博	拔	山	开	二	入	黠	帮
C0006	拔	p	a	2	蒲	八	山	开	二	入	黠	並
C0007	跋	p	a	2	蒲	拨	山	合	一	入	末	並
C0008	钹	p	a	2	蒲	拨	山	合	一	入	末	並
C0009	魃	p	a	2	蒲	拨	山	合	一	入	末	並
C0010	茇	p	a	2	蒲	拨	山	合	一	入	末	並
C0011	把	p	a	3	博	下	假	开	二	上	马	帮
C0012	霸	p	a	4	必	驾	假	开	二	去	禡	帮
C0013	欛	p	a	4	必	驾	假	开	二	去	禡	帮
C0014	灞	p	a	4	必	驾	假	开	二	去	禡	帮
C0015	坝	p	a	4	必	驾	假	开	二	去	禡	帮
C0016	壩	p	a	4	必	驾	假	开	二	去	禡	帮
C0017	爸	p	a	4	必	驾	假	开	二	去	禡	帮
C0018	耙	p	a	4	白	驾	假	开	二	去	禡	並
C0019	杷	p	a	4	白	驾	假	开	二	去	禡	並
C0020	罢	p	a	4	薄	蟹	蟹	开	二	上	蟹	並
C0021	葩	ph	a	1	普	巴	假	开	二	平	麻	滂
C0022	爬	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0023	钯	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0024	杷	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0025	琶	ph	a	2	蒲	巴	假	开	二	平	麻	並
C0026	怕	ph	a	4	普	驾	假	开	二	去	禡	滂
C0027	帕	ph	a	4	普	驾	假	开	二	去	禡	滂
C0028	帊	ph	a	4	普	驾	假	开	二	去	禡	滂
C0029	麻	m	a	2	莫	霞	假	开	二	平	麻	明
C0030	痲	m	a	2	莫	霞	假	开	二	平	麻	明
C0031	蟆	m	a	2	莫	霞	假	开	二	平	麻	明
C0032	马	m	a	3	莫	下	假	开	二	上	马	明
C0033	码	m	a	3	莫	下	假	开	二	上	马	明
C0034	玛	m	a	3	莫	下	假	开	二	上	马	明
C0035	骂	m	a	4	莫	驾	假	开	二	去	禡	明
C0036	禡	m	a	4	莫	驾	假	开	二	去	禡	明
C0037	发	f	a	1	方	伐	山	合	三	入	月	非
C0038	乏	f	a	2	房	法	咸	合	三	入	乏	奉
C0039	伐	f	a	2	房	越	山	合	三	入	月	奉
C0040	筏	f	a	2	房	越	山	合	三	入	月	奉
C0041	阀	f	a	2	房	越	山	合	三	入	月	奉
C0042	垡	f	a	2	房	越	山	合	三	入	月	奉
C0043		f	a	2	房	越	山	合	三	入	月	奉
C0044	罚	f	a	2	房	越	山	合	三	入	月	奉
C0045	法	f	a	3	方	乏	咸	合	三	入	乏	非
C0046	髮	f	a	4	方	伐	山	合	三	入	月	非
C0047	搭	t	a	1	都	合	咸	开	一	入	合	端
C0048	答	t	a	1	都	合	咸	开	一	入	合	端
C0049	褡	t	a	1	都	榼	咸	开	一	入	盍	端
C0050	耷	t	a	1	都	榼	咸	开	一	入	盍	端
C0051		t	a	1	都	榼	咸	开	一	入	盍	端
C0052	答	t	a	2	都	合	咸	开	一	入	合	端
C0053	沓	t	a	2	徒	合	咸	开	一	入	合	定
C0054	笪	t	a	2	当	割	山	开	一	入	曷	端
C0055	妲	t	a	2	当	割	山	开	一	入	曷	端
C0056	怛	t	a	2	当	割	山	开	一	入	曷	端
C0057	靼	t	a	2	当	割	山	开	一	入	曷	端
C0058	达	t	a	2	唐	割	山	开	一	入	曷	定
C0059	打	t	a	3	德	冷	梗	开	二	上	梗	端
C0060	大	t	a	4	唐	佐	果	开	一	去	箇	定
C0061	大	t	a	4	徒	盖	蟹	开	一	去	泰	定
C0062	他	th	a	1	託	何	果	开	一	平	歌	透
C0063	它	th	a	1	託	何	果	开	一	平	歌	透
