ID	CHARACTER_ID	CHARACTER	DOCULECT	PINYIN	READING	FANQIE	RHYME_ID	RHYME_NUMBER	VOLUME	NOTE	SOURCE
1	w107b0601	東	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	春方也〾說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲<added_text>人</added_text>賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏<fanqie>德紅切</fanqie>十七	Zhou1938
2	w107b1001	菄	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	東風菜義見上注俗加艹	Zhou1938
3	w107b1002	鶇	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	鶇鵍鳥名美形出廣雅亦作<original_text>？<rewrite_text>？</rewrite_text> </original_text>	Zhou1938
4	w107b1003	䍶	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟	Zhou1938
5	w108a0101	𠍀	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	儱？儜劣皃出字諟	Zhou1938
6	w108a0102	倲	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	上同	Zhou1938
7	w108a0103	𩜍	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	地理志云東郡館名	Zhou1938
8	w108a0201	𢘐	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	古文見道經	Zhou1938
9	w108a0202	涷	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	瀧涷沾漬〾說文曰水出發鳩山入於河又都貢切	Zhou1938
10	w108a0203	蝀	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	螮蝀虹也又音董	Zhou1938
11	w108a0204	凍	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	凍凌又都貢切	Zhou1938
12	w108a0301	鯟	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	魚名似鯉	Zhou1938
13	w108a0302	𢔅	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	行皃	Zhou1938
14	w108a0303	崠	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	崠如山名	Zhou1938
15	w108a0304	埬	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	上埬地名	Zhou1938
16	w108a0305	𧓕	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	蛞？科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵	Zhou1938
17	w108a0401	䰤	Middle_Chinese	dōng	tuŋ˥˩	德紅切	sp01	一	v1	醜皃	Zhou1938
18	w108a0402	同	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海<fanqie>徒紅切</fanqie>四十五	Zhou1938
19	w108a0501	仝	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	古文出道書	Zhou1938
20	w108a0502	童	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉	Zhou1938
21	w108a0601	僮	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通	Zhou1938
22	w108a0602	銅	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	金之一品	Zhou1938
23	w108a0701	桐	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷	Zhou1938
24	w108a0702	峒	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	崆峒山名	Zhou1938
25	w108a0703	硐	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	磨也	Zhou1938
26	w108a0704	𦨴	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	𦨴舩	Zhou1938
27	w108a0705	𧱁	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	獸似豕出泰山	Zhou1938
28	w108a0801	筒	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	竹筒又竹名射筒吳都賦曰其竹則桂箭射筒	Zhou1938
29	w108a0802	瞳	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	目瞳	Zhou1938
30	w108a0803	㼧	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	㼧瓦	Zhou1938
31	w108a0804	𤭁	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	上同	Zhou1938
32	w108a0805	罿	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	車上網又音衝	Zhou1938
33	w108a0806	犝	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	犝牛無角	Zhou1938
34	w108a0901	筩	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	竹筩	Zhou1938
35	w108a0902	潼	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	水名出廣漢郡亦關名又通衝二音	Zhou1938
36	w108a0903	曈	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	曈曨日欲明也又他孔切	Zhou1938
37	w108a0904	洞	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	洪洞縣名在晉州北又徒弄切	Zhou1938
38	w108a1001	侗	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	楊子法言云倥侗顓蒙	Zhou1938
39	w108a1002	橦	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	木名花可爲布出字書又鍾幢二音	Zhou1938
40	w108a1003	烔	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	熱氣烔烔出字林	Zhou1938
41	w108a1004	䴀	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記	Zhou1938
42	w108b0101	挏	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	引也漢官名有挏馬又音動	Zhou1938
43	w108b0102	酮	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	馬酪又音動	Zhou1938
44	w108b0103	鮦	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	爾雅云鰹大鮦又直冢直栁二切	Zhou1938
45	w108b0201	㼿	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	井甓一云甃也	Zhou1938
46	w108b0202	𦏆	Middle_Chinese	tóng	dʰuŋ˩	徒紅切	sp01	一	v1	無角羊	Zhou1938
