ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
1	Shanghai	Shànghǎi	上海	巴	bā	1	po⁵³pa⁵³	po⁵³	p o ⁵³	p - o - ⁵³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
2	Wulumuqi	Wūlǔmùqí	乌鲁木齐	巴	bā	1	pa⁴⁴	pa⁴⁴	p a ⁴⁴	p - a - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
3	Lanzhou	Lánzhōu	兰州	巴	bā	1	pa³¹	pa³¹	p a ³¹	p - a - ³¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
4	Beijing	Běijīng	北京	巴	bā	1	pa⁵⁵	pa⁵⁵	p a ⁵⁵	p - a - ⁵⁵	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
5	Nanjing	Nánjīng	南京	巴	bā	1	pɑ³¹	pɑ³¹	p ɑ ³¹	p - ɑ - ³¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
6	Nanning	Nánníng	南宁	巴	bā	1	pa⁵⁵	pa⁵⁵	p a ⁵⁵	p - a - ⁵⁵	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
7	Nanchang	Nánchāng	南昌	巴	bā	1	pɑ⁴²	pɑ⁴²	p ɑ ⁴²	p - ɑ - ⁴²	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
8	Xiamen	Xiàmén	厦门	巴	bā	1	pa⁵⁵	pa⁵⁵	p a ⁵⁵	p - a - ⁵⁵	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
9	Taibei	Táiběi	台北	巴	bā	1	pa⁴⁴	pa⁴⁴	p a ⁴⁴	p - a - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
10	Hefei	Héféi	合肥	巴	bā	1	pa²¹	pa²¹	p a ²¹	p - a - ²¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
11	Huhehaote	Hūhèhàotè	呼和浩特	巴	bā	1	pa³¹	pa³¹	p a ³¹	p - a - ³¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
12	Haerbin	Hāěrbīn	哈尔滨	巴	bā	1	pa⁴⁴pa²⁴~彦	pa⁴⁴	p a ⁴⁴	p - a - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
13	Tianjin	Tiānjīn	天津	巴	bā	1	pɑ²¹	pɑ²¹	p ɑ ²¹	p - ɑ - ²¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
14	Taiyuan	Tàiyuán	太原	巴	bā	1	pa¹¹	pa¹¹	p a ¹¹	p - a - ¹¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
15	Tunxi	Tūnxī	屯溪	巴	bā	1	pu:ə¹¹	puːə¹¹	p uː ə ¹¹	p - uː ə ¹¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
16	Pingyao	Píngyáo	平遥	巴	bā	1	pɑ¹³	pɑ¹³	p ɑ ¹³	p - ɑ - ¹³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
17	Guangzhou	Guǎngzhōu	广州	巴	bā	1	pa⁵³	pa⁵³	p a ⁵³	p - a - ⁵³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
18	Jianou	Jiànōu	建瓯	巴	bā	1	pa⁵⁴	pa⁵⁴	p a ⁵⁴	p - a - ⁵⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
19	Chengdu	Chéngdū	成都	巴	bā	1	pa⁵⁵	pa⁵⁵	p a ⁵⁵	p - a - ⁵⁵	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
20	Kunming	Kūnmíng	昆明	巴	bā	1	pA⁴⁴	pᴀ⁴⁴	p ᴀ ⁴⁴	p - ᴀ - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
21	Hangzhou	Hángzhōu	杭州	巴	bā	1	pa³³	pa³³	p a ³³	p - a - ³³	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
22	Taoyuan	Táoyuán	桃园	巴	bā	1	pɑ²⁴	pɑ²⁴	p ɑ ²⁴	p - ɑ - ²⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
23	Meixian	Méixiàn	梅县	巴	bā	1	pa⁴⁴	pa⁴⁴	p a ⁴⁴	p - a - ⁴⁴	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
24	Shexian	Shèxiàn	歙县	巴	bā	1	pa³¹	pa³¹	p a ³¹	p - a - ³¹	pæ¹	p - æ - ¹	pae	假开二平麻帮	1
