ID	SOUND	CLPA	POSITION	DOCULECT	SOUND_IN_SOURCE
1	ŋ	c795	c	Beijing	ŋ
2	ŋ	c795	c	Changsha	ŋ
3	ŋ	c795	c	Changsha	ŋ
4	ŋ	c795	c	Chengdu	ŋ
5	ŋ	c795	c	Fuzhou	i
6	ŋ	c795	c	Fuzhou	u
7	ŋ	c795	c	Fuzhou	y
8	ŋ	c795	c	Fuzhou	ŋ
9	ŋ	c795	c	Fuzhou	ŋ
10	ŋ	c795	c	Fuzhou	ŋ
11	ŋ	c795	c	Fuzhou	ŋ
12	ŋ	c795	c	Fuzhou	ŋ
13	ŋ	c795	c	Fuzhou	ŋ
14	ŋ	c795	c	Fuzhou	ŋ
15	ŋ	c795	c	Fuzhou	ŋ
16	ŋ	c795	c	Fuzhou	ŋ
17	ŋ	c795	c	Guangzhou	ŋ
18	ŋ	c795	c	Guangzhou	ŋ
19	ŋ	c795	c	Guilin	ŋ
20	ŋ	c795	c	Ha_erbin	ŋ
21	ŋ	c795	c	Jinan	ŋ
22	ŋ	c795	c	Loudi	ŋ
23	ŋ	c795	c	Meixian	ŋ
24	ŋ	c795	c	Meixian	ŋ
25	ŋ	c795	c	Meixian	ŋ
26	ŋ	c795	c	Meixian	ŋ
27	ŋ	c795	c	Nanchang	ŋ
28	ŋ	c795	c	Nanjing	ŋ
29	ŋ	c795	c	Rongcheng	ŋ
30	ŋ	c795	c	Suzhou	ŋ
31	ŋ	c795	c	Taiyuan	ŋ
32	ŋ	c795	c	Wenzhou	ŋ
33	ŋ	c795	c	Xi_an	ŋ
34	ŋ	c795	c	Xiamen	ŋ
35	ŋ	c795	i	Changsha	ŋ
36	ŋ	c795	i	Chengdu	ŋ
37	ŋ	c795	i	Fuzhou	ŋ
38	ŋ	c795	i	Guangzhou	ŋ
39	ŋ	c795	i	Guilin	ŋ
40	ŋ	c795	i	Jinan	ŋ
41	ŋ	c795	i	Jixi	ŋ
42	ŋ	c795	i	Loudi	ŋ
43	ŋ	c795	i	Meixian	ŋ
44	ŋ	c795	i	Nanchang	ŋ
45	ŋ	c795	i	Suzhou	ŋ
46	ŋ	c795	i	Wenzhou	ŋ
47	ŋ	c795	i	Xi_an	ŋ
48	ŋ	c795	i	Xiamen	ŋ
49	ʔ	c405	c	Fuzhou	i
50	ʔ	c405	c	Fuzhou	u
51	ʔ	c405	c	Fuzhou	y
52	ʔ	c405	c	Fuzhou	ʔ
53	ʔ	c405	c	Fuzhou	ʔ
54	ʔ	c405	c	Fuzhou	ʔ
55	ʔ	c405	c	Fuzhou	ʔ
56	ʔ	c405	c	Fuzhou	ʔ
57	ʔ	c405	c	Fuzhou	ʔ
58	ʔ	c405	c	Fuzhou	ʔ
59	ʔ	c405	c	Fuzhou	ʔ
60	ʔ	c405	c	Fuzhou	ʔ
61	ʔ	c405	c	Fuzhou	ʔ
62	ʔ	c405	c	Fuzhou	ʔ
63	ʔ	c405	c	Jixi	ʔ
64	ʔ	c405	c	Nanchang	ʔ
65	ʔ	c405	c	Nanchang	ʔ
66	ʔ	c405	c	Nanjing	ʔ
67	ʔ	c405	c	Nanjing	ʔ
68	ʔ	c405	c	Suzhou	ʔ
69	ʔ	c405	c	Taiyuan	ʔ
70	ʔ	c405	c	Taiyuan	ʔ
71	ʔ	c405	c	Taiyuan	ʔ
72	ʔ	c405	c	Xiamen	-
73	ʔ	c405	c	Xiamen	i
74	ʔ	c405	c	Xiamen	u
75	ʔ	c405	c	Xiamen	ʔ
76	∼	m002	c	Beijing	-
77	∼	m002	c	Changsha	-
78	∼	m002	c	Fuzhou	-
79	∼	m002	c	Guangzhou	-
80	∼	m002	c	Guilin	-
81	∼	m002	c	Guilin	-
82	∼	m002	c	Guilin	-
83	∼	m002	c	Jinan	-
84	∼	m002	c	Jixi	-
85	∼	m002	c	Loudi	-
86	∼	m002	c	Meixian	-
87	∼	m002	c	Nanchang	-
88	∼	m002	c	Nanchang	-
89	∼	m002	c	Nanjing	-
90	∼	m002	c	Suzhou	-
91	∼	m002	c	Taiyuan	-
92	∼	m002	c	Taiyuan	-
93	∼	m002	c	Taiyuan	-
94	∼	m002	c	Wenzhou	-
95	∼	m002	c	Xi_an	-
96	∼	m002	c	Xiamen	-
97	∼	m002	c	Xiamen	i
98	∼	m002	c	Xiamen	u
99	m	c239	c	Guangzhou	m
100	m	c239	c	Guangzhou	m
101	m	c239	c	Meixian	m
102	m	c239	c	Xiamen	m
103	m	c239	i	Beijing	m
104	m	c239	i	Changsha	m
105	m	c239	i	Changsha	m̩
106	m	c239	i	Chengdu	m
107	m	c239	i	Fuzhou	m
108	m	c239	i	Fuzhou	m̩
109	m	c239	i	Guangzhou	m
110	m	c239	i	Guangzhou	m̩
111	m	c239	i	Guilin	m
112	m	c239	i	Ha_erbin	m
113	m	c239	i	Jinan	m
114	m	c239	i	Jixi	m
115	m	c239	i	Jixi	m̩
116	m	c239	i	Loudi	m
117	m	c239	i	Loudi	m̩
118	m	c239	i	Meixian	m
119	m	c239	i	Meixian	m̩
120	m	c239	i	Nanchang	m
121	m	c239	i	Nanchang	m̩
122	m	c239	i	Nanjing	m
123	m	c239	i	Nanjing	m̩
124	m	c239	i	Rongcheng	m
125	m	c239	i	Suzhou	m
126	m	c239	i	Suzhou	m̩
127	m	c239	i	Taiyuan	m
128	m	c239	i	Wenzhou	m
129	m	c239	i	Wenzhou	m̩
130	m	c239	i	Xi_an	m
131	m	c239	i	Xiamen	m
132	m	c239	i	Xiamen	m̩
133	p	c288	c	Guangzhou	p
134	p	c288	c	Guangzhou	p
135	p	c288	c	Meixian	p
136	p	c288	c	Xiamen	p
137	p	c288	i	Beijing	p
138	p	c288	i	Changsha	p
139	p	c288	i	Chengdu	p
140	p	c288	i	Fuzhou	p
141	p	c288	i	Guangzhou	p
142	p	c288	i	Guilin	p
143	p	c288	i	Ha_erbin	p
144	p	c288	i	Jinan	p
145	p	c288	i	Jixi	p
146	p	c288	i	Loudi	p
147	p	c288	i	Meixian	p
148	p	c288	i	Nanchang	p
149	p	c288	i	Nanjing	p
150	p	c288	i	Rongcheng	p
151	p	c288	i	Suzhou	p
152	p	c288	i	Taiyuan	p
153	p	c288	i	Wenzhou	p
154	p	c288	i	Xi_an	p
155	p	c288	i	Xiamen	p
156	k	c831	c	Guangzhou	k
157	k	c831	c	Guangzhou	k
158	k	c831	c	Meixian	k
159	k	c831	c	Meixian	k
160	k	c831	c	Meixian	k
161	k	c831	c	Meixian	k
162	k	c831	c	Xiamen	k
163	k	c831	i	Beijing	k
164	k	c831	i	Changsha	k
165	k	c831	i	Chengdu	k
166	k	c831	i	Fuzhou	k
167	k	c831	i	Guangzhou	k
168	k	c831	i	Guilin	k
169	k	c831	i	Ha_erbin	k
170	k	c831	i	Jinan	k
171	k	c831	i	Jixi	k
172	k	c831	i	Loudi	k
173	k	c831	i	Meixian	k
174	k	c831	i	Nanchang	k
175	k	c831	i	Nanjing	k
176	k	c831	i	Rongcheng	k
177	k	c831	i	Suzhou	k
178	k	c831	i	Taiyuan	k
179	k	c831	i	Wenzhou	k
180	k	c831	i	Xi_an	k
181	k	c831	i	Xiamen	k
182	t	c118	c	Guangzhou	t
183	t	c118	c	Guangzhou	t
184	t	c118	c	Meixian	t
185	t	c118	c	Meixian	t
186	t	c118	c	Nanchang	t
187	t	c118	c	Nanchang	t
188	t	c118	c	Xiamen	t
189	t	c118	i	Beijing	t
190	t	c118	i	Changsha	t
191	t	c118	i	Chengdu	t
192	t	c118	i	Fuzhou	t
193	t	c118	i	Guangzhou	t
194	t	c118	i	Guilin	t
195	t	c118	i	Ha_erbin	t
196	t	c118	i	Jinan	t
197	t	c118	i	Jixi	t
198	t	c118	i	Loudi	t
199	t	c118	i	Meixian	t
200	t	c118	i	Nanchang	t
201	t	c118	i	Nanjing	t
202	t	c118	i	Rongcheng	t
203	t	c118	i	Suzhou	t
204	t	c118	i	Taiyuan	t
205	t	c118	i	Wenzhou	t
206	t	c118	i	Xi_an	t
207	t	c118	i	Xiamen	t
208	r	c151	c	Beijing	r
209	r	c151	c	Chengdu	r
210	r	c151	c	Ha_erbin	r
211	r	c151	c	Jinan	r
212	r	c151	c	Nanjing	r
213	r	c151	c	Rongcheng	r
214	r	c151	c	Taiyuan	r
215	r	c151	c	Xi_an	r
216	n	c105	c	Beijing	n
217	n	c105	c	Changsha	n
218	n	c105	c	Chengdu	n
219	n	c105	c	Guangzhou	n
220	n	c105	c	Guangzhou	n
221	n	c105	c	Guilin	n
222	n	c105	c	Ha_erbin	n
223	n	c105	c	Loudi	n
224	n	c105	c	Meixian	n
225	n	c105	c	Meixian	n
226	n	c105	c	Nanchang	n
227	n	c105	c	Nanjing	n
228	n	c105	c	Rongcheng	n
229	n	c105	c	Suzhou	n
230	n	c105	c	Xi_an	n
231	n	c105	c	Xiamen	n
232	n	c105	i	Beijing	n
233	n	c105	i	Changsha	n̩
234	n	c105	i	Chengdu	n
235	n	c105	i	Fuzhou	n
236	n	c105	i	Guangzhou	n
237	n	c105	i	Ha_erbin	n
238	n	c105	i	Jinan	n
239	n	c105	i	Jixi	n
240	n	c105	i	Jixi	n̩
241	n	c105	i	Loudi	n
242	n	c105	i	Loudi	n̩
243	n	c105	i	Meixian	n
244	n	c105	i	Meixian	n̩
245	n	c105	i	Nanchang	n̩
246	n	c105	i	Nanjing	n̩
247	n	c105	i	Rongcheng	n
248	n	c105	i	Suzhou	n
249	n	c105	i	Suzhou	n̩
250	n	c105	i	Taiyuan	n
251	n	c105	i	Wenzhou	n
252	n	c105	i	Wenzhou	n̩
253	n	c105	i	Xi_an	n
254	n	c105	i	Xiamen	n
