3f	tone	214	yinping
3f	tone	53	yangping
3f	tone	45	shang
3f	tone	31	qu
3f	final	i_z
3f	final	i
3f	final	u
3f	final	y
3f	final	i`
3f	final	@r
3f	final	a
3f	final	ia
3f	final	ua
3f	final	7
3f	final	i@
3f	final	u7
3f	final	y7
3f	final	E
3f	final	iE
3f	final	uE
3f	final	ei
3f	final	uei
3f	final	O
3f	final	iO
3f	final	ou
3f	final	iou
3f	final	{~
3f	final	i{~
3f	final	u{~
3f	final	y{~
3f	final	e~
3f	final	ie~
3f	final	ue~
3f	final	ye~
3f	final	AN
3f	final	iAN
3f	final	uAN
3f	final	@N
3f	final	iN
3f	final	uN
3f	final	yN
3f	final	N=
3f	initial	p
3f	initial	p_h
3f	initial	m
3f	initial	f
3f	initial	v
3f	initial	t
3f	initial	t_h
3f	initial	n
3f	initial	l
3f	initial	ts
3f	initial	ts_h
3f	initial	s
3f	initial	ts`
3f	initial	ts_h
3f	initial	s`
3f	initial	z`
3f	initial	tc\
3f	initial	tc\_h
3f	initial	n\
3f	initial	c\
3f	initial	k
3f	initial	k_h
3f	initial	N
3f	initial	x
3f	initial	Ø
