12f	tone	55	yinping
12f	tone	44	yangping
12f	tone	213	shang
12f	tone	35	yinqu
12f	tone	31	yangqu
12f	tone	32_	ru
12f	final	i_z
12f	final	i
12f	final	u
12f	final	y
12f	final	a
12f	final	ua
12f	final	O
12f	final	iO
12f	final	uO
12f	final	7
12f	final	ie
12f	final	o
12f	final	io
12f	final	8
12f	final	i8
12f	final	ui
12f	final	A~
12f	final	iA~
12f	final	uA~
12f	final	yA~
12f	final	e~
12f	final	ie~
12f	final	ye~
12f	final	o~
12f	final	io~
12f	final	a?
12f	final	ia?
12f	final	ua?
12f	final	ya?
12f	final	7?
12f	final	u7?
12f	final	ie?
12f	final	ye?
12f	final	o?
12f	final	yo?
12f	final	m=
12f	final	n=
12f	initial	p
12f	initial	p_h
12f	initial	m
12f	initial	f
12f	initial	v
12f	initial	t
12f	initial	t_h
12f	initial	n	l
12f	initial	ts
12f	initial	ts_h
12f	initial	s
12f	initial	tc\
12f	initial	tc\_h
12f	initial	n\
12f	initial	c\
12f	initial	k
12f	initial	k_h
12f	initial	N
12f	initial	x
12f	initial	Ø
