ID	DOCULECT	CONTEXT	VALUE	OCCURRENCES	CROSSREF
1	Beijing	final	n	6	255:0 13:0 35:0 211:0 2:0 46:0
1	Beijing	final	r	1	321:0
1	Beijing	final	ŋ	5	167:0 189:0 156:0 277:0 101:0
1	Beijing	initial	k	1	35:0
1	Beijing	initial	l	2	79:0 68:0
1	Beijing	initial	n	1	90:0
1	Beijing	initial	p	3	255:0 398:0 277:0
1	Beijing	initial	pʰ	2	57:0 233:0
1	Beijing	initial	s	2	244:0 13:0
1	Beijing	initial	t	1	156:0
1	Beijing	initial	ts	3	288:0 145:0 200:0
1	Beijing	initial	tɕ	4	376:0 299:0 24:0 211:0
1	Beijing	initial	tɕʰ	2	222:0 343:0
1	Beijing	initial	tʂ	2	189:0 354:0
1	Beijing	initial	tʂʰ	2	365:0 101:0
1	Beijing	initial	tʰ	1	2:0
1	Beijing	initial	x	1	123:0
1	Beijing	initial	ɕ	4	431:0 178:0 266:0 332:0
1	Beijing	initial	ʂ	7	167:0 409:0 420:0 310:0 134:0 112:0 46:0
1	Beijing	medial	i	8	376:0 79:0 299:0 178:0 266:0 332:0 90:0 2:0
1	Beijing	medial	u	4	123:0 200:0 233:0 112:0
1	Beijing	nucleus	a	7	376:0 167:0 255:0 13:0 178:0 35:0 101:0
1	Beijing	nucleus	ai	2	398:0 68:0
1	Beijing	nucleus	au	2	145:0 266:0
1	Beijing	nucleus	i	7	431:0 343:0 277:0 57:0 24:0 211:0 112:0
1	Beijing	nucleus	o	3	123:0 200:0 233:0
1	Beijing	nucleus	ou	1	134:0
1	Beijing	nucleus	u	7	79:0 189:0 299:0 365:0 310:0 90:0 354:0
1	Beijing	nucleus	y	1	222:0
1	Beijing	nucleus	yε	1	387:0
1	Beijing	nucleus	ə	3	156:0 46:0 321:0
1	Beijing	nucleus	ɿ	2	288:0 244:0
1	Beijing	nucleus	ʅ	2	409:0 420:0
1	Beijing	nucleus	ε	2	332:0 2:0
1	Beijing	tone	²	10	79:0 431:0 409:0 420:0 398:0 57:0 68:0 101:0 90:0 354:0
1	Beijing	tone	³	8	376:0 189:0 123:0 145:0 156:0 134:0 332:0 112:0
1	Beijing	tone	¹	6	365:0 13:0 35:0 24:0 2:0 46:0
1	Beijing	tone	⁴	2	167:0 178:0
1	Beijing	tone	⁵	14	288:0 255:0 222:0 299:0 244:0 343:0 310:0 277:0 387:0 211:0 266:0 200:0 233:0 321:0
1	Common_Chinese	final	k	4	430:0 419:0 397:0 353:0
1	Common_Chinese	final	m	2	12:0 45:0
1	Common_Chinese	final	n	4	254:0 34:0 210:0 1:0
1	Common_Chinese	final	nh	1	320:0
1	Common_Chinese	final	p	2	375:0 408:0
1	Common_Chinese	final	t	4	342:0 364:0 386:0 331:0
1	Common_Chinese	final	ŋ	5	166:0 188:0 155:0 276:0 100:0
1	Common_Chinese	initial	*	29	375:0 287:0 78:0 254:0 221:0 188:0 298:0 122:0 144:0 342:0 397:0 364:0 177:0 155:0 34:0 276:0 56:0 67:0 386:0 23:0 210:0 199:0 100:0 232:0 331:0 89:0 1:0 320:0 353:0
1	Common_Chinese	initial	*s	6	243:0 12:0 133:0 265:0 111:0 45:0
1	Common_Chinese	initial	*z	5	166:0 430:0 408:0 419:0 309:0
1	Common_Chinese	medial	b	2	397:0 56:0
1	Common_Chinese	medial	bi	1	276:0
1	Common_Chinese	medial	chi	1	364:0
1	Common_Chinese	medial	ci	1	353:0
1	Common_Chinese	medial	dz	1	287:0
1	Common_Chinese	medial	dzu	1	199:0
1	Common_Chinese	medial	g	1	210:0
1	Common_Chinese	medial	gi	1	298:0
1	Common_Chinese	medial	h	3	408:0 309:0 45:0
1	Common_Chinese	medial	hh	1	177:0
1	Common_Chinese	medial	hi	4	166:0 419:0 133:0 331:0
1	Common_Chinese	medial	hu	1	122:0
1	Common_Chinese	medial	hy	1	111:0
1	Common_Chinese	medial	i	2	430:0 265:0
1	Common_Chinese	medial	ji	2	188:0 100:0
1	Common_Chinese	medial	k	2	375:0 34:0
1	Common_Chinese	medial	khi	1	221:0
1	Common_Chinese	medial	ki	1	23:0
1	Common_Chinese	medial	l	1	67:0
1	Common_Chinese	medial	li	1	78:0
1	Common_Chinese	medial	p	1	254:0
1	Common_Chinese	medial	ph	1	232:0
1	Common_Chinese	medial	t	1	155:0
1	Common_Chinese	medial	thi	1	1:0
1	Common_Chinese	medial	ts	1	144:0
1	Common_Chinese	medial	tsh	1	342:0
1	Common_Chinese	medial	ŋi	2	386:0 89:0
1	Common_Chinese	nucleus	a	8	375:0 430:0 419:0 397:0 12:0 177:0 276:0 1:0
1	Common_Chinese	nucleus	ai	1	23:0
1	Common_Chinese	nucleus	au	1	265:0
1	Common_Chinese	nucleus	e	2	221:0 155:0
1	Common_Chinese	nucleus	i	9	287:0 243:0 408:0 342:0 56:0 210:0 111:0 45:0 320:0
1	Common_Chinese	nucleus	o	9	166:0 254:0 122:0 34:0 386:0 199:0 100:0 232:0 331:0
1	Common_Chinese	nucleus	oi	1	67:0
1	Common_Chinese	nucleus	ou	5	78:0 298:0 144:0 133:0 89:0
1	Common_Chinese	nucleus	u	3	188:0 364:0 353:0
1	Common_Chinese	nucleus	y	1	309:0
1	Common_Chinese	tone	²	5	78:0 56:0 67:0 100:0 89:0
1	Common_Chinese	tone	³	5	122:0 144:0 155:0 133:0 111:0
1	Common_Chinese	tone	¹	5	12:0 34:0 23:0 1:0 45:0
1	Common_Chinese	tone	⁴	5	166:0 188:0 177:0 210:0 199:0
1	Common_Chinese	tone	⁵	4	254:0 221:0 243:0 232:0
1	Common_Chinese	tone	⁶	5	287:0 298:0 309:0 276:0 320:0
1	Common_Chinese	tone	⁷	5	375:0 342:0 364:0 331:0 353:0
1	Common_Chinese	tone	⁸	6	430:0 408:0 419:0 397:0 386:0 265:0
1	Guangzhou	final	k	4	435:0 424:0 402:0 358:0
1	Guangzhou	final	m	2	17:0 50:0
1	Guangzhou	final	n	4	259:0 39:0 215:0 6:0
1	Guangzhou	final	p	2	380:0 413:0
1	Guangzhou	final	t	4	347:0 369:0 391:0 336:0
1	Guangzhou	final	ŋ	5	171:0 193:0 160:0 281:0 105:0
1	Guangzhou	initial	f	1	127:0
1	Guangzhou	initial	h	3	226:0 182:0 336:0
1	Guangzhou	initial	k	4	380:0 303:0 39:0 28:0
1	Guangzhou	initial	kʰ	1	215:0
1	Guangzhou	initial	l	2	83:0 72:0
1	Guangzhou	initial	p	3	259:0 402:0 281:0
1	Guangzhou	initial	pʰ	2	61:0 237:0
1	Guangzhou	initial	s	10	171:0 248:0 413:0 424:0 17:0 314:0 138:0 270:0 116:0 50:0
1	Guangzhou	initial	t	1	160:0
1	Guangzhou	initial	ts	4	292:0 435:0 149:0 358:0
1	Guangzhou	initial	tsʰ	5	193:0 347:0 369:0 204:0 105:0
1	Guangzhou	initial	tʰ	1	6:0
1	Guangzhou	initial	ŋ	1	94:0
1	Guangzhou	medial	i	1	270:0
1	Guangzhou	medial	j	2	391:0 325:0
1	Guangzhou	nucleus	a	4	380:0 402:0 17:0 182:0
1	Guangzhou	nucleus	ei	2	248:0 61:0
1	Guangzhou	nucleus	i	3	292:0 6:0 325:0
1	Guangzhou	nucleus	o	4	127:0 39:0 204:0 237:0
1	Guangzhou	nucleus	ou	1	149:0
1	Guangzhou	nucleus	u	4	259:0 193:0 270:0 358:0
1	Guangzhou	nucleus	y	3	314:0 391:0 336:0
1	Guangzhou	nucleus	œ	2	171:0 105:0
1	Guangzhou	nucleus	œy	2	226:0 116:0
1	Guangzhou	nucleus	ɐ	5	413:0 347:0 160:0 215:0 50:0
1	Guangzhou	nucleus	ɐi	2	72:0 28:0
1	Guangzhou	nucleus	ɐu	4	83:0 303:0 138:0 94:0
1	Guangzhou	nucleus	ɔ	1	369:0
1	Guangzhou	nucleus	ε	3	435:0 424:0 281:0
1	Guangzhou	tone	²	5	83:0 61:0 72:0 105:0 94:0
1	Guangzhou	tone	³	5	127:0 149:0 160:0 138:0 116:0
1	Guangzhou	tone	¹	5	17:0 39:0 28:0 6:0 50:0
1	Guangzhou	tone	⁴	5	171:0 193:0 182:0 215:0 204:0
1	Guangzhou	tone	⁵	5	259:0 226:0 248:0 270:0 237:0
1	Guangzhou	tone	⁶	5	292:0 303:0 314:0 281:0 325:0
1	Guangzhou	tone	⁷	5	380:0 347:0 369:0 336:0 358:0
1	Guangzhou	tone	⁸	5	435:0 413:0 424:0 402:0 391:0
1	Heping	final	m	3	382:0 19:0 52:0
1	Heping	final	mʔ	1	415:0
1	Heping	final	n	4	261:0 162:0 41:0 8:0
1	Heping	final	nʔ	1	217:0
1	Heping	final	ŋ	1	107:0
1	Heping	final	ŋʔ	1	173:0
1	Heping	final	ʔ	8	195:0 437:0 151:0 426:0 404:0 184:0 393:0 206:0
1	Heping	initial	f	1	338:0
1	Heping	initial	h	5	195:0 184:0 41:0 107:0 8:0
1	Heping	initial	k	2	382:0 30:0
1	Heping	initial	kʰ	5	228:0 305:0 129:0 283:0 217:0
1	Heping	initial	l	2	85:0 74:0
1	Heping	initial	n	2	96:0 327:0
1	Heping	initial	p	1	261:0
1	Heping	initial	pʰ	3	404:0 63:0 239:0
1	Heping	initial	s	4	250:0 19:0 272:0 118:0
1	Heping	initial	t	2	162:0 360:0
1	Heping	initial	tsʰ	1	371:0
1	Heping	initial	tɕʰ	2	316:0 52:0
1	Heping	initial	tʰ	5	294:0 437:0 151:0 349:0 206:0
1	Heping	initial	v	1	393:0
1	Heping	initial	ɕ	3	173:0 415:0 426:0
1	Heping	medial	i	5	173:0 85:0 437:0 426:0 272:0
1	Heping	medial	u	6	129:0 371:0 283:0 63:0 217:0 118:0
1	Heping	nucleus	a	6	382:0 437:0 404:0 19:0 184:0 217:0
1	Heping	nucleus	ai	1	239:0
1	Heping	nucleus	e	2	294:0 162:0
1	Heping	nucleus	ei	2	129:0 30:0
1	Heping	nucleus	eu	1	272:0
1	Heping	nucleus	i	9	250:0 415:0 349:0 371:0 63:0 74:0 118:0 52:0 327:0
1	Heping	nucleus	iɕu	1	140:0
1	Heping	nucleus	n̍	1	195:0
1	Heping	nucleus	o	7	173:0 261:0 228:0 151:0 426:0 41:0 107:0
1	Heping	nucleus	oi	1	206:0
1	Heping	nucleus	u	1	85:0
1	Heping	nucleus	y	4	305:0 316:0 96:0 360:0
1	Heping	nucleus	æ	4	283:0 393:0 338:0 8:0
1	Heping	tone	²	5	85:0 63:0 74:0 107:0 96:0
1	Heping	tone	³	4	129:0 162:0 140:0 118:0
1	Heping	tone	¹	5	19:0 41:0 30:0 8:0 52:0
