ID	NAME	CDDB	SOURCE	GROUP
CC	Common Chinese	Common_Chinese	Norman2003	
Bj	Běijīng	Beijing	Cihui	Mandarin
Ty	Tàiyuán	Taiyuan	Cihui	Mandarin
Yz	Yángzhōu	Yangzhou	Cihui	Mandarin
Sz	Sūzhōu	Suzhou	Cihui	Wú
Wc	Wēnzhōu	Wenzhou	Cihui	Wú
Cs	Chángshā	Changsha	Cihui	Xiāng
Sf	Shuāngfēng	Shuangfeng	Cihui	Xiāng
Nc	Nánchāng	Nanchang	Cihui	Gàn
Mx	Méixiàn	Meixian	Cihui	Hakka
Gz	Guǎngzhōu	Guangzhou	Cihui	Yuè
Hp	Hépíng	Heping	Norman2003	Mǐn
Zc	Zhènqián	Zhenqian	Norman2003	Mǐn
Js	Jiāngshān	Jiangshan	Norman2003	Wú
Jy	Jiāngyǒng	Jiangyong	Huang1993	Xiāng,Tǔ
Jc	Jiànchuān	Jianchuan	Xu1984	-
Fz	Fúzhōu	Fuzhou	Cihui	Mǐn
Xm	Xiàmén	Xiamen	Cihui	Mǐn
Jo	Jiàn'ōu	Jian_ou	Cihui	Mǐn, Northern Mǐn
