NUMBER	CONCEPT	CC	BJ	Sz	Nc	Mx	Gz	Jy	Hp	Zq	Jc	Js
1	sky	*thian¹	tʰiεn1	tʰiɪ¹	tʰiεn1	tʰiεn1	tʰin1	tʰəŋ¹	hæn¹	tʰiŋ¹	xɛ̃²	tʰiεn¹
2	three	*sam¹	san¹	se¹	san¹	sam¹	sam¹	soŋ¹	sam¹	saŋ¹	sã²	saŋ¹
3	chicken	*kiai¹	tɕi¹	tɕi¹	tɕi¹	kε¹	kɐi¹	t  i1	kei¹	kai¹	ke¹	iε¹
4	liver	*kon¹	kan¹	kø̃¹	kon¹	kon¹	kon¹	kaŋ¹	hon¹	huaiŋ¹	kã²	kɔŋ¹
5	deep	*shim¹	ʂən¹	sən¹	sən¹	tsʰəm¹	sɐm¹	ie1	tɕʰim¹	tsʰeŋ¹	sɛ̃¹	tsʰøn¹
6	skin	*bi²	pʰi²	bi²	pʰi²	pʰi²	pʰei²	pø²	pʰui²	pʰue²	pe⁸	pʰei²
7	come	*loi²	lai²	le²	lai²	loi²	lɐi²	lø²	li²	lœ²	ɣɯ⁴	li²
8	flow	*liou²	liu²	lʏ²	liu²	liu²	lɐu²	liou²	liu²	lo²	kɯ⁸	lu²
9	cow	*ŋiou²	niu²	nʏ²	niu ²	niu²	ŋɐu²	ŋou²	ny²	niu²	ŋɯ⁸	ŋɯə²
10	long	*jioŋ²	tʂʰaŋ²	zaŋ²	tsʰoŋ²	tsʰoŋ²	tsʰœŋ²	tɕiaŋ ²	hoŋ²	tauŋ⁹	tsõ⁸	tʰœ̃²
11	water	*shyi³	ui³	sɥ ³	sui³	sui³	s  y ³	ɕya³	sui³	sui³	ɕui¹	yi³
12	fire	*huo³	xuo³	həu³	fo ³	fo³	fo³	fu³	kʰuei³	hue³	xui1	xuei³
13	hand	*shiou³	ou³	s  ³	sə u ³	su³	sɐu³	ɕiou³	iɕu³	siu³	sɯ¹	tɕʰye³
14	early	*tsou³	tsau³	tsÆ³	tsau ³	tsau³	tsou ³	tsau³	tʰoʔ⁴	tso³	tsu¹	tsiau ³
15	wait	*teŋ³	təŋ ³	tən³	tεn ³	tεn³	tɐŋ ³	lai³	ten³	teuŋ³	tɯ¹	tœ̃³
16	rise	*zhioŋ⁴	ʂaŋ⁴	zɐŋ⁶	soŋ⁶	soŋ¹	sœŋ⁴	ɕiaŋ⁴	ɕioŋʔ ⁴	ioŋ5	tsõ1	dʑiaŋ ⁴
