ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CHARACTER	CONCEPTICON_ID	VALUE	SOURCE
353	Common_Chinese	CC	bamboo	竹	1927	*ciuk⁷	Norman2003
354	Beijing	Bj	bamboo	竹	1927	tʂu²	BeijingDaxue1964
355	Suzhou	Sz	bamboo	竹	1927	tsoʔ⁷	BeijingDaxue1964
356	Nanchang	Nc	bamboo	竹	1927	tsuk⁷	BeijingDaxue1964
357	Meixian	Mx	bamboo	竹	1927	tsuk⁷	BeijingDaxue1964
358	Guangzhou	Gz	bamboo	竹	1927	tsuk⁷	BeijingDaxue1964
359	Jiangyong	Jy	bamboo	竹	1927	liou⁷	Huang1993
360	Heping	Hp	bamboo	竹	1927	ty⁷	Norman2003
361	Zhenqian	Zq	bamboo	竹	1927	ty³	Norman2003
362	Jianchuan	Jc	bamboo	竹	1927	kε⁴	Xu1984
363	Jiangshan	Js	bamboo	竹	1927	taʔ⁷	Norman2003
331	Common_Chinese	CC	blood	血	946	*hiot⁷	Norman2003
332	Beijing	Bj	blood	血	946	ɕiε³	BeijingDaxue1964
333	Suzhou	Sz	blood	血	946	ɕyɤʔ⁷	BeijingDaxue1964
334	Nanchang	Nc	blood	血	946	ɕyot⁷	BeijingDaxue1964
335	Meixian	Mx	blood	血	946	hiat⁷	BeijingDaxue1964
336	Guangzhou	Gz	blood	血	946	hyt⁷	BeijingDaxue1964
337	Jiangyong	Jy	blood	血	946	ɕy⁷	Huang1993
338	Heping	Hp	blood	血	946	fæ⁷	Norman2003
339	Zhenqian	Zq	blood	血	946	huai³	Norman2003
340	Jianchuan	Jc	blood	血	946	sua⁵	Xu1984
341	Jiangshan	Js	blood	血	946	xyεʔ⁷	Norman2003
232	Common_Chinese	CC	broken	破	588	*pho⁵	Norman2003
233	Beijing	Bj	broken	破	588	pʰuo⁵	BeijingDaxue1964
234	Suzhou	Sz	broken	破	588	pʰu⁵	BeijingDaxue1964
235	Nanchang	Nc	broken	破	588	pʰo⁵	BeijingDaxue1964
236	Meixian	Mx	broken	破	588	pʰo⁵	BeijingDaxue1964
237	Guangzhou	Gz	broken	破	588	pʰo⁵	BeijingDaxue1964
238	Jiangyong	Jy	broken	破	588	pʰu⁵	Huang1993
239	Heping	Hp	broken	破	588	pʰai⁵	Norman2003
240	Zhenqian	Zq	broken	破	588	pʰua⁵	Norman2003
241	Jianchuan	Jc	broken	破	588	pʰo³	Xu1984
242	Jiangshan	Js	broken	破	588	pʰai⁵	Norman2003
23	Common_Chinese	CC	chicken	雞	1318	*kiai¹	Norman2003
24	Beijing	Bj	chicken	雞	1318	tɕi¹	BeijingDaxue1964
25	Suzhou	Sz	chicken	雞	1318	tɕi¹	BeijingDaxue1964
26	Nanchang	Nc	chicken	雞	1318	tɕi¹	BeijingDaxue1964
27	Meixian	Mx	chicken	雞	1318	kε¹	BeijingDaxue1964
28	Guangzhou	Gz	chicken	雞	1318	kɐi¹	BeijingDaxue1964
29	Jiangyong	Jy	chicken	雞	1318	t  i1	Huang1993
30	Heping	Hp	chicken	雞	1318	kei¹	Norman2003
31	Zhenqian	Zq	chicken	雞	1318	kai¹	Norman2003
32	Jianchuan	Jc	chicken	雞	1318	ke¹	Xu1984
33	Jiangshan	Js	chicken	雞	1318	iε¹	Norman2003
