ID	CHARACTER	PINYIN	DOCULECT	WORDFAMILY_CLASS	GLOSS	READING	VARIANT_CLASS	SOURCE
1	阿	ā	Middle_Chinese			ʔâ		Schuessler2007
2	於	yú	Middle_Chinese			ʔjwo		Schuessler2007
3	於	yú	Old_Chinese	~ ā 阿		ʔa		Schuessler2007
4	於	yú	Late_Han_Chinese			ʔɨɑ		Schuessler2007
5	阿奴	ā-nú	Middle_Chinese		"Younger brother" [Jìn Dyn.] (Norman 1988: 113).	ʔâ-nuo		Schuessler2007
6	哀	āi	Middle_Chinese		"To pity" [Shi] is prob. a sound-symbolic word.	ʔậi		Schuessler2007
7	哀	āi	Old_Chinese		"To pity" [Shi] is prob. a sound-symbolic word.	ʔəj		Baxter1992
8	哀	āi	Old_Chinese		"To pity" [Shi] is prob. a sound-symbolic word.	ʔə̂i		Schuessler2007
9	哀	āi	Late_Han_Chinese		"To pity" [Shi] is prob. a sound-symbolic word.	ʔəi		Schuessler2007
10	艾	ài₁	Middle_Chinese		"White-haired, old" [Shi], possibly related to TB items under {yuè₁ 月}/"moon", but the vowels do not agree.	ŋâiᶜ		Schuessler2007
11	艾	ài₁	Old_Chinese		"White-haired, old" [Shi], possibly related to TB items under {yuè₁ 月}/"moon", but the vowels do not agree.	ŋâ(t)s		Schuessler2007
12	艾	ài₁	Late_Han_Chinese		"White-haired, old" [Shi], possibly related to TB items under {yuè₁ 月}/"moon", but the vowels do not agree.	ŋɑs		Schuessler2007
13	愛	ài₂	Middle_Chinese		"To love, to grudge" [Shi] > Mand./"to like, be fond of".	ʔậiᶜ		Schuessler2007
14	愛	ài₂	Old_Chinese		"To love, to grudge" [Shi] > Mand./"to like, be fond of".	ʔəts		Baxter1992
15	愛	ài₂	Old_Chinese		"To love, to grudge" [Shi] > Mand./"to like, be fond of".	ʔə̂s		Schuessler2007
16	愛	ài₂	Late_Han_Chinese		"To love, to grudge" [Shi] > Mand./"to like, be fond of".	ʔəs		Schuessler2007
17	僾	ài₃	Middle_Chinese		"To lose one's breath" [Shi] is a sound-symbolic word ({§2.9})	ʔậiᶜ		Schuessler2007
18	僾	ài₃	Old_Chinese		"To lose one's breath" [Shi] is a sound-symbolic word ({§2.9})	ʔəts		Baxter1992
19	僾	ài₃	Old_Chinese		"To lose one's breath" [Shi] is a sound-symbolic word ({§2.9})	ʔə̂ts		Schuessler2007
20	僾	ài₃	Late_Han_Chinese		"To lose one's breath" [Shi] is a sound-symbolic word ({§2.9})	ʔəs		Schuessler2007
21	礙	ài₅	Middle_Chinese		"Obstruct, hinder" [Lie].	ŋậiᶜ		Schuessler2007
22	礙	ài₅	Old_Chinese		"Obstruct, hinder" [Lie].	ŋə̂kh		Schuessler2007
23	礙	ài₅	Late_Han_Chinese		"Obstruct, hinder" [Lie].	ŋəᶜ		Schuessler2007
24	安	ān₁	Middle_Chinese		"Be calm, peaceful, still, steady, take one's leisure" [BI, Shi].	ʔân		Schuessler2007
25	安	ān₁	Old_Chinese		"Be calm, peaceful, still, steady, take one's leisure" [BI, Shi].	ʔan		Baxter1992
26	安	ān₁	Old_Chinese		"Be calm, peaceful, still, steady, take one's leisure" [BI, Shi].	ʔân		Schuessler2007
27	安	ān₁	Late_Han_Chinese		"Be calm, peaceful, still, steady, take one's leisure" [BI, Shi].	ʔɑn		Schuessler2007
28	按	àn	Middle_Chinese		"To push down with the hand" [SW],/"to stop, repress" [Shi],/"lay hand on, seize" [Xun]; ``stool, tray'' 案 [Zhouli].	ʔânᶜ		Schuessler2007
29	按	àn	Old_Chinese	⪤ ān₁ 安	"To push down with the hand" [SW],/"to stop, repress" [Shi],/"lay hand on, seize" [Xun]; ``stool, tray'' 案 [Zhouli].	ʔâns		Schuessler2007
30	按	àn	Late_Han_Chinese		"To push down with the hand" [SW],/"to stop, repress" [Shi],/"lay hand on, seize" [Xun]; ``stool, tray'' 案 [Zhouli].	ʔɑnᶜ		Schuessler2007
31	鞍	ān₃	Middle_Chinese		"Saddle" [Guanzi] is cognate to {ān₁ 安} acc. to Boltz (1994: 95f), lit./"seat". Following the Shìmíng, Pulleyblank has suggested a connection with è 頞 (ʔat)/"bridge of the nose" [Meng] (Boltz 1994: 98).	ʔân		Schuessler2007
32	鞍	ān₃	Old_Chinese		"Saddle" [Guanzi] is cognate to {ān₁ 安} acc. to Boltz (1994: 95f), lit./"seat". Following the Shìmíng, Pulleyblank has suggested a connection with è 頞 (ʔat)/"bridge of the nose" [Meng] (Boltz 1994: 98).	ʔân		Schuessler2007
33	鞍	ān₃	Late_Han_Chinese		"Saddle" [Guanzi] is cognate to {ān₁ 安} acc. to Boltz (1994: 95f), lit./"seat". Following the Shìmíng, Pulleyblank has suggested a connection with è 頞 (ʔat)/"bridge of the nose" [Meng] (Boltz 1994: 98).	ʔɑn		Schuessler2007
34	喑	ān₄	Middle_Chinese		"Dumb, silent" [Mo].	ʔậm		Schuessler2007
35	喑	ān₄	Old_Chinese		"Dumb, silent" [Mo].	ʔə̂m		Schuessler2007
36	喑	ān₄	Late_Han_Chinese		"Dumb, silent" [Mo].	ʔəm		Schuessler2007
37	唵	ǎn	Middle_Chinese		"Hold in the mouth, put in the mouth" [GY].	ʔậmᴮ		Schuessler2007
38	唵	ǎn	Old_Chinese	⪤ ān₄ 喑	"Hold in the mouth, put in the mouth" [GY].	ʔə̂mʔ		Schuessler2007
39	唵	ǎn	Late_Han_Chinese		"Hold in the mouth, put in the mouth" [GY].	ʔəmᴮ		Schuessler2007
40	喑	yìn	Middle_Chinese		"Pent up" [Zhuang].	ʔjəmᶜ		Schuessler2007
41	喑	yìn	Old_Chinese	⪤ ān₄ 喑	"Pent up" [Zhuang].	ʔəms		Schuessler2007
42	喑	yìn	Late_Han_Chinese		"Pent up" [Zhuang].	ʔɨmᶜ		Schuessler2007
43	岸	àn₂	Middle_Chinese		"River bank" [Shi].	ŋânᶜ		Schuessler2007
44	岸	àn₂	Old_Chinese		"River bank" [Shi].	ngans		Baxter1992
45	岸	àn₂	Old_Chinese		"River bank" [Shi].	ŋâns		Schuessler2007
46	岸	àn₂	Late_Han_Chinese		"River bank" [Shi].	ŋɑnᶜ		Schuessler2007
47	厂	hàn	Middle_Chinese		"Cliff" [BI, SW],/"high river bank" [Liù shū běnyì 六書本義].	xânᶜ		Schuessler2007
48	厂	hàn	Old_Chinese	⪤ àn₂ 岸	"Cliff" [BI, SW],/"high river bank" [Liù shū běnyì 六書本義].	hŋâns		Schuessler2007
49	厂	hàn	Late_Han_Chinese		"Cliff" [BI, SW],/"high river bank" [Liù shū běnyì 六書本義].	hɑnᶜ		Schuessler2007
50	滸	hǔ	Middle_Chinese		"River bank" [Shi].	xuoᴮ		Schuessler2007
51	滸	hǔ	Old_Chinese	⪤ àn₂ 岸	"River bank" [Shi].	hŋâʔ		Schuessler2007
52	滸	hǔ	Late_Han_Chinese		"River bank" [Shi].	hɑᴮ		Schuessler2007
53	黯	àn₃	Middle_Chinese		"A deep black" [SW].	ʔậmᴮ		Schuessler2007
54	黯	àn₃	Old_Chinese		"A deep black" [SW].	ʔə̂mʔ		Schuessler2007
55	黯	àn₃	Late_Han_Chinese		"A deep black" [SW].	ʔəmᴮ		Schuessler2007
56	暗	àn	Middle_Chinese		"Be dark" 暗 [Guoyu]; 闇 (also read QY ʔậmᴮ) [Li] > Mand./"dim, gloomy".	ʔậmᶜ	暗	Schuessler2007
57	暗	àn	Old_Chinese	⪤ àn₃ 黯	"Be dark" 暗 [Guoyu]; 闇 (also read QY ʔậmᴮ) [Li] > Mand./"dim, gloomy".	ʔə̂ms	暗	Schuessler2007
58	暗	àn	Late_Han_Chinese		"Be dark" 暗 [Guoyu]; 闇 (also read QY ʔậmᴮ) [Li] > Mand./"dim, gloomy".	ʔəmᶜ	暗	Schuessler2007
59	闇	àn	Middle_Chinese		"Be dark" 暗 [Guoyu]; 闇 (also read QY ʔậmᴮ) [Li] > Mand./"dim, gloomy".	ʔậmᶜ	暗	Schuessler2007
60	闇	àn	Old_Chinese	⪤ àn₃ 黯	"Be dark" 暗 [Guoyu]; 闇 (also read QY ʔậmᴮ) [Li] > Mand./"dim, gloomy".	ʔə̂ms	暗	Schuessler2007
61	闇	àn	Late_Han_Chinese		"Be dark" 暗 [Guoyu]; 闇 (also read QY ʔậmᴮ) [Li] > Mand./"dim, gloomy".	ʔəmᶜ	暗	Schuessler2007
62	盎	àng	Middle_Chinese		"(A small-mouthed, large-bellied) earthen jar (for fetching water)" [Lunheng] >/"obese, swollen" [Zhuang]; later 盎/"basin, tureen" (which is large-mouthed).	ʔâŋᶜ		Schuessler2007
63	盎	àng	Old_Chinese		"(A small-mouthed, large-bellied) earthen jar (for fetching water)" [Lunheng] >/"obese, swollen" [Zhuang]; later 盎/"basin, tureen" (which is large-mouthed).	ʔâŋh		Schuessler2007
64	盎	àng	Late_Han_Chinese		"(A small-mouthed, large-bellied) earthen jar (for fetching water)" [Lunheng] >/"obese, swollen" [Zhuang]; later 盎/"basin, tureen" (which is large-mouthed).	ʔɑŋᶜ		Schuessler2007
