ID	CHARACTER	PINYIN	DOCULECT	SHIJING_NAME	SHJING_NUMBER	STANZA	VERSE	RHYMEID	POSITION	TEXT	ORDER	SOURCE
1	鳩	jiū	Old_Chinese	國風·周南·關睢	1	1.1	1	1.1.a	3	關關雎鳩、	1	Baxter1992
2	洲	zhōu	Old_Chinese	國風·周南·關睢	1	1.1	1	1.1.a	3	在河之洲。	2	Baxter1992
3	女	nǚ	Old_Chinese	國風·周南·關睢	1	1.1	2		3	窈宨淑女、	1	Baxter1992
4	逑	qiú	Old_Chinese	國風·周南·關睢	1	1.1	2	1.1.a	3	君子好逑。	2	Baxter1992
5	菜	cài	Old_Chinese	國風·周南·關睢	1	1.2	1		3	參差荇菜、	1	Baxter1992
6	流	liú	Old_Chinese	國風·周南·關睢	1	1.2	1	1.2.a	2	左右流之。	2	Baxter1992
7	女	nǚ	Old_Chinese	國風·周南·關睢	1	1.2	2		3	窈宨淑女、	1	Baxter1992
8	求	qiú	Old_Chinese	國風·周南·關睢	1	1.2	2	1.2.a	2	寤寐求之。	2	Baxter1992
9	得	dé	Old_Chinese	國風·周南·關睢	1	1.3	1	1.3.a	3	求之不得、	1	Baxter1992
10	服	fú	Old_Chinese	國風·周南·關睢	1	1.3	1	1.3.a	3	寤寐思服。	2	Baxter1992
11	哉	zāi	Old_Chinese	國風·周南·關睢	1	1.3	2		1	悠哉悠哉、	1	Baxter1992
12	側	cè	Old_Chinese	國風·周南·關睢	1	1.3	2	1.3.a	3	輾轉反側。	2	Baxter1992
13	菜	cài	Old_Chinese	國風·周南·關睢	1	1.4	1		3	參差荇菜、	1	Baxter1992
14	采	cǎi	Old_Chinese	國風·周南·關睢	1	1.4	1	1.4.a	2	左右采之。	2	Baxter1992
15	女	nǚ	Old_Chinese	國風·周南·關睢	1	1.4	2		3	窈宨淑女、	1	Baxter1992
16	友	yǒu	Old_Chinese	國風·周南·關睢	1	1.4	2	1.4.a	2	琴瑟友之。	2	Baxter1992
17	菜	cài	Old_Chinese	國風·周南·關睢	1	1.5	1		3	參差荇菜、	1	Baxter1992
18	芼	mào	Old_Chinese	國風·周南·關睢	1	1.5	1	1.5.a	2	左右芼之。	2	Baxter1992
19	女	nǚ	Old_Chinese	國風·周南·關睢	1	1.5	2		3	窈宨淑女、	1	Baxter1992
20	樂	lè	Old_Chinese	國風·周南·關睢	1	1.5	2	1.5.a	2	鍾鼓樂之。	2	Baxter1992
151	墳	fén	Old_Chinese	國風·周南·汝墳	10	10.1	1		3	遵彼汝墳、	1	Baxter1992
152	枚	méi	Old_Chinese	國風·周南·汝墳	10	10.1	1	10.1.a	3	伐其條枚。	2	Baxter1992
153	子	zi	Old_Chinese	國風·周南·汝墳	10	10.1	2		3	未見君子、	1	Baxter1992
154	飢	jī	Old_Chinese	國風·周南·汝墳	10	10.1	2	10.1.a	3	惄如調飢。	2	Baxter1992
155	墳	fén	Old_Chinese	國風·周南·汝墳	10	10.2	1		3	遵彼汝墳、	1	Baxter1992
156	肄	yì	Old_Chinese	國風·周南·汝墳	10	10.2	1	10.2.a	3	伐其條肄。	2	Baxter1992
