ID	CHARACTER_ID	GROUP	CHARACTER	PINYIN	DOCULECT	RADICAL	PHONETIC	FANQIE	RHYME	CHAPTER	IMAGE
1	w0010010	2	一	yī	Old_Chinese				二	v01	001a-01
2	w0010011	2	弌	yī	Old_Chinese					v01	001a-02
3	w0010020	3	元	yuán	Old_Chinese	一	兀		四	v01	001a-03
4	w0010030	4	天	tiān	Old_Chinese				二	v01	001a-04
5	w0010040	5	丕	pī	Old_Chinese	一	不	敷悲	一	v01	001b-01
6	w0010050	6	吏	lì	Old_Chinese				一	v01	001b-02
7	w0020010	7	𠄞	𠄞	Old_Chinese				十	v01	001b-03
8	w0020011	7	丄	shàng	Old_Chinese					v01	002a-01
9	w0020020	8	帝	dì	Old_Chinese			都計	六	v01	002a-02
10	w0020021	8	𢂇	𢂇	Old_Chinese					v01	002a-03
11	w0020030	9	旁	páng	Old_Chinese				十	v01	002a-04
12	w0020031	9	𣃟	𣃟	Old_Chinese					v01	002a-05
13	w0020032	9	𣃙	𣃙	Old_Chinese					v01	002a-06
14	w0020033	9	雱	pāng	Old_Chinese					v01	002a-07
15	w0020040	10	𠄟	𠄟	Old_Chinese				五	v01	002a-08
16	w0020041	10	丅	xià	Old_Chinese					v01	002a-09
17	w0030010	11	示	shì	Old_Chinese			神至	五	v01	002b-01
18	w0030011	11	𥘅	𥘅	Old_Chinese					v01	002b-02
19	w0030020	12	祜	hù	Old_Chinese				五	v01	002b-03
20	w0030030	13	禮	lǐ	Old_Chinese			靈啓	五	v01	002b-04
21	w0030031	13	𠃞	𠃞	Old_Chinese					v01	002b-05
22	w0030040	14	禧	xǐ	Old_Chinese	示	喜	許其	一	v01	002b-06
23	w0030050	15	禛	zhēn	Old_Chinese	示	眞		二	v01	002b-07
24	w0030060	16	祿	lù	Old_Chinese	示	彔	盧谷	三	v01	003a-01
25	w0030070	17	禠	sī	Old_Chinese	示	虒	息移	六	v01	003a-02
26	w0030080	18	禎	zhēn	Old_Chinese	示	貞	陟盈	一	v01	003a-03
27	w0030090	19	祥	xiáng	Old_Chinese	示	羊	似羊	十	v01	003a-04
28	w0030100	20	祉	zhǐ	Old_Chinese	示	止	敕里	一	v01	003a-05
29	w0030110	21	福	fú	Old_Chinese	示	畐	方六	一	v01	003a-06
30	w0030120	22	祐	yòu	Old_Chinese	示	右	于救	一	v01	003a-07
31	w0030130	23	祺	qí	Old_Chinese	示	其	渠之	一	v01	003a-08
32	w0030131	23	禥	qí	Old_Chinese					v01	003a-09
33	w0030140	24	祗	zhī	Old_Chinese	示	氐	旨夷	五	v01	003a-10
34	w0030150	25	禔	zhī	Old_Chinese	示	是		六	v01	003a-11
35	w0030160	26	神	shén	Old_Chinese	示	申	食鄰	二	v01	003a-12
36	w0030170	27	祇	qí	Old_Chinese	示	氏	巨支	六	v01	003a-13
37	w0030180	28	祕	mì	Old_Chinese	示	必	兵媚	二	v01	003b-01
38	w0030190	29	齋	zhāi	Old_Chinese				五	v01	003b-02
39	w0030191	29	𪗓	𪗓	Old_Chinese					v01	003b-03
40	w0030200	30	禋	yīn	Old_Chinese	示	垔	於眞	三	v01	003b-04
41	w0030201	30	𡫻	𡫻	Old_Chinese					v01	003b-05
42	w0030210	31	祭	jì	Old_Chinese				五	v01	003b-06
43	w0030220	32	祀	sì	Old_Chinese	示	巳	詳里	一	v01	003b-07
44	w0030221	32	禩	sì	Old_Chinese				一	v01	004a-01
45	w0030230	33	祡	chái	Old_Chinese	示	此	仕皆	禾	v01	004a-02
46	w0030231	33	𥚨	𥚨	Old_Chinese				七	v01	004a-03
47	w0030240	34	禷	lèi	Old_Chinese	示	類		五	v01	004a-04
48	w0030250	35	祪	guǐ	Old_Chinese	示	危	過委	六	v01	004a-05
49	w0030260	36	祔	fù	Old_Chinese	示	付	符遇	四	v01	004b-01
50	w0030270	37	祖	zǔ	Old_Chinese	示	且	則古	五	v01	004b-02
51	w0030280	38	𥛱	𥛱	Old_Chinese	示	彭		十	v01	004b-03
52	w0030281	38	祊	bēng	Old_Chinese				同	v01	004b-04
53	w0030290	39	祰	gào	Old_Chinese	示	告	苦浩	三	v01	004b-05
54	w0030300	40	祏	shí	Old_Chinese			常隻	五	v01	004b-06
55	w0030310	41	䃾	䃾	Old_Chinese	示	比		五	v01	005a-01
56	w0030320	42	祠	cí	Old_Chinese	示	司	似茲	一	v01	005b-01
57	w0030330	43	礿	yuè	Old_Chinese	示	勺	以灼	二	v01	005b-02
58	w0030340	44	禘	dì	Old_Chinese	示	帝	特計	六	v01	005b-03
59	w0030350	45	祫	xiá	Old_Chinese				七	v01	006a-01
60	w0030360	46	祼	guàn	Old_Chinese	示	果	古玩	七	v01	006a-02
61	w0030370	47	䄟	䄟	Old_Chinese	示	毳		五	v01	006b-01
62	w0030380	48	祝	zhù	Old_Chinese				三	v01	006b-02
63	w0030390	49	𥛽	𥛽	Old_Chinese	示	畱	力救	三	v01	006b-03
64	w0030400	50	祓	fú	Old_Chinese	示	犮		五	v01	006b-04
65	w0030410	51	祈	qí	Old_Chinese	示	斤	渠稀	三	v01	006b-05
66	w0030420	52	禱	dǎo	Old_Chinese	示	壽	都浩	三	v01	006b-06
67	w0030421	52	𥛇	𥛇	Old_Chinese					v01	006b-07
68	w0030422	52	𥜹	𥜹	Old_Chinese					v01	006b-08
69	w0030430	53	禜	yǒng	Old_Chinese				一	v01	006b-09
70	w0030440	54	禳	ráng	Old_Chinese	示	襄	汝羊	十	v01	007a-01
71	w0030450	55	禬	guì	Old_Chinese	示	㑹		五	v01	007a-02
72	w0030460	56	禪	chán	Old_Chinese	示	單		四	v01	007a-03
73	w0030470	57	禦	yù	Old_Chinese	示	御		五	v01	007a-04
