ID	ENGLISH
1	sky
2	sun
3	moon
4	star
5	thunder
6	cloud
7	wind
8	rain
9	snow
10	water
11	ice
12	fog
13	frost
14	dew
15	hail
16	rainbow
17	earth
18	river
19	sea
20	lake
21	pond
22	well
23	spring (water)
24	ditch
25	mountain
26	cliff
27	field
28	ground
29	plain
30	slope
31	earth
32	mud
33	cave
34	hole
35	gold
36	silver
37	copper
38	iron
39	rust
40	steel
41	tin
42	stone / rock
43	sand
44	coal
45	fire
46	smoke
47	east
48	west
49	south
50	north
51	front
52	back (direction)
53	left
54	right
55	side
56	middle
57	top
58	underneath
59	inside
60	outside
61	edge
62	time
63	year
64	year / age
65	year, this
66	year, last
67	year, next
68	year before last
69	year after next
70	spring
71	summer
72	autumn
73	winter
74	month
75	month (intercalary)
76	January
77	February
78	March
79	April
80	May
81	June
82	July
83	August
84	September
85	October
86	November
87	December
88	day (24 hours)
89	today
90	yesterday
91	day before yesterday
92	tomorrow
93	day after tomorrow
94	day, first of month
95	day, third of month
96	day, fifth of month
97	day, eleventh of month
98	day, fifteenth of month
99	day, sixteenth of month
100	day, twentieth of month
101	day, thirtieth of month
102	day(time)
103	morning
104	noon
105	night
106	now
107	past, in the
108	from now on
109	bovine
110	water buffalo
111	cattle (common)
112	mule
113	horse
114	donkey
115	pig
116	goat / sheep (generic)
117	goat
118	sheep
119	dog
120	cat
121	rabbit
122	dragon
123	elephant
124	tiger
125	bear
126	leopard
127	boar
128	monkey
129	deer
130	wolf
131	roebuck
132	fox
133	otter
134	rat / mouse
135	chicken
136	rooster
137	hen
138	duck
139	goose
140	pigeon
141	pheasant
142	bird
143	eagle
144	wild goose
145	crow
146	magpie
147	swallow
148	sparrow
149	bat
150	frog
151	fish
152	snake
153	honeybee
154	butterfly
155	dragonfly
156	grasshopper
157	ant
158	centipede
159	spider
160	bedbug
161	flea
162	louse
163	nit
164	fly
165	mosquito
166	earthworm
167	leech
168	maggot
169	insect / worm
170	egg
171	wing
172	hair / fur
173	feather
174	claw
175	hoof
176	horn
177	tail
178	tree
179	pine
180	oak
181	fir
182	willow
183	bamboo
