ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	sky	1732	SKY
2	sun	1343	SUN
3	moon	1313	MOON
4	star	1430	STAR
5	thunder	1150	THUNDER
6	cloud	1489	CLOUD
7	wind	960	WIND
8	rain	658	RAIN (PRECIPITATION)
9	snow	784	SNOW
10	water	948	WATER
11	ice	617	ICE
12	fog	249	FOG
13	frost	2034	FROST
14	dew	1977	DEW
15	hail	609	HAIL
16	rainbow	1733	RAINBOW
17	earth	1228	EARTH (SOIL)
18	river	666	RIVER
19	sea	1474	SEA
20	lake	624	LAKE
21	pond	2035	POND
22	well	954	WELL
23	spring (water)	849	SPRING (OF WATER)
24	ditch	2002	DITCH
25	mountain	639	MOUNTAIN
26	cliff	992	CLIFF
27	field	212	FIELD
28	ground	2159	GROUND
29	plain	652	PLAIN
30	slope		
31	earth	2158	EARTH (WET SUBSTANCE)
32	mud	640	MUD
33	cave	1155	CAVE
34	hole	1667	HOLE
35	gold	1369	GOLD
36	silver	759	SILVER
37	copper	1825	COPPER
38	iron	621	IRON
39	rust		
40	steel	2343	STEEL
41	tin	893	TIN (METAL)
42	stone / rock	857	STONE
43	sand	671	SAND
44	coal		
45	fire	221	FIRE
46	smoke	778	SMOKE (EXHAUST)
47	east	1877	EAST
48	west	1817	WEST
49	south	1595	SOUTH
50	north	1598	NORTH
51	front	2194	FRONT (PART)
52	back (direction)	1291	BACK
53	left	244	LEFT
54	right	1019	RIGHT
55	side	682	SIDE
56	middle	1093	MIDDLE
57	top	1753	TOP
58	underneath		
59	inside	1606	INSIDE
60	outside	762	OUTSIDE
61	edge	863	EDGE
62	time	892	TIME
63	year	1226	YEAR
64	year / age	1789	AGE
65	year, this	1214	THIS
66	year, last	1186	LAST (ENDURE)
67	year, next	1354	NEXT
68	year before last	1882	BEFORE
69	year after next	1685	AFTER
70	spring	2144	SPRING OR WELL
71	summer	1342	SUMMER
72	autumn	1276	AUTUMN
73	winter	1471	WINTER
74	month	1370	MONTH
75	month (intercalary)	2463	MOON OR MONTH
76	January	2036	JANUARY
77	February	2037	FEBRUARY
78	March		
79	April		
80	May		
81	June		
82	July		
83	August		
84	September		
85	October		
86	November		
87	December		
88	day (24 hours)	1225	DAY (NOT NIGHT)
89	today	1283	TODAY
90	yesterday	1174	YESTERDAY
91	day before yesterday	1180	DAY BEFORE YESTERDAY
92	tomorrow	1329	TOMORROW
