ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	STEDT_ID	VALUE	SEGMENTS	SOURCE
184006	Bijiang	Bai (Bijiang)	April		184006	si⁴⁴ŋuɑ⁴⁴	s i ⁴⁴ ŋ u ɑ ⁴⁴ 	Sun1991
184031	Jianchuan	Bai (Jianchuan)	April		184031	ɕi⁴⁴ŋuɑ⁴⁴	ɕ i ⁴⁴ ŋ u ɑ ⁴⁴ 	Sun1991
184005	Dali	Bai (Dali)	April		184005	ɕi⁴⁴uɑ⁴⁴	ɕ i ⁴⁴ u ɑ ⁴⁴ 	Sun1991
184209	Dali	Bai (Dali)	August		184209	piɑ⁴⁴uɑ⁴⁴	p i ɑ ⁴⁴ u ɑ ⁴⁴ 	Sun1991
184210	Bijiang	Bai (Bijiang)	August		184210	tɕuɑ⁴⁴ŋuɑ⁴⁴	tɕ u ɑ ⁴⁴ ŋ u ɑ ⁴⁴ 	Sun1991
184235	Jianchuan	Bai (Jianchuan)	August		184235	piɑ⁴⁴ŋuɑ⁴⁴	p i ɑ ⁴⁴ ŋ u ɑ ⁴⁴ 	Sun1991
196041	Dali	Bai (Dali)	Chinese		196041	xɑ⁴²xuo⁴⁴	x ɑ ⁴² x u o ⁴⁴ 	Sun1991
196042	Bijiang	Bai (Bijiang)	Chinese		196042	xɑ̃⁴²pu⁵⁵	x ɑ̃ ∼ ⁴² p u ⁵⁵ 	Sun1991
196067	Jianchuan	Bai (Jianchuan)	Chinese		196067	xɑ̃⁴²xo⁴⁴	x ɑ̃ ∼ ⁴² x o ⁴⁴ 	Sun1991
184413	Dali	Bai (Dali)	December		184413	jɑ⁴²uɑ⁴⁴	j ɑ ⁴² u ɑ ⁴⁴ 	Sun1991
184414	Bijiang	Bai (Bijiang)	December		184414	tʂeʴ⁴²ku³³ŋuɑ⁴⁴	tʂ eʴ ⁴² k u ³³ ŋ u ɑ ⁴⁴ 	Sun1991
184439	Jianchuan	Bai (Jianchuan)	December		184439	jɑ̃⁴²ŋuɑ⁴⁴	j ɑ̃ ∼ ⁴² ŋ u ɑ ⁴⁴ 	Sun1991
183929	Jianchuan	Bai (Jianchuan)	February		183929	si³¹ŋuɑ⁴⁴	s i ³¹ ŋ u ɑ ⁴⁴ 	Sun1991
183903	Dali	Bai (Dali)	February		183903	zi³¹uɑ⁴⁴	z i ³¹ u ɑ ⁴⁴ 	Sun1991
183904	Bijiang	Bai (Bijiang)	February		183904	ʐeʴ⁴²ŋuɑ⁴⁴	ʐ eʴ ⁴² ŋ u ɑ ⁴⁴ 	Sun1991
