	Suzhou	Wenzhou	Guangzhou	Xiamen	Fuzhou	Chaozhou	Meixian	Nanchang	Changsha	Taiyuan	Beijing	Jinan	Hankou	Chengdu	Xi_an
Suzhou	10.00	2.83	.38	1.25	1.21	.83	.46	1.25	.58	.50	1.63	1.92	.54	1.92	2.42
Wenzhou	1.25	9.38	.54	.88	1.38	.46	.71	1.54	2.33	.83	2.50	1.38	.54	1.46	1.00
Guangzhou	.04	.87	10.00	1.42	1.25	1.54	4.58	1.71	1.33	.21	.58	.71	.71	.79	1.54
Xiamen	.00	.71	.96	9.08	1.46	6.04	.54	1.13	.96	.50	1.17	.13	.17	.17	.58
Fuzhou	.13	.96	.67	.50	9.83	1.21	.33	.63	.67	.29	.58	.46	.21	.71	1.29
Chaozhou	.00	.83	.63	4.79	1.83	9.71	.42	.67	.29	.63	.17	.96	.08	.67	1.17
Meixian	.17	1.08	.38	1.50	2.00	1.88	9.00	2.08	.88	1.08	1.08	1.04	.25	.79	.71
Nanchang	5.08	2.71	.88	1.79	2.17	1.42	.88	9.92	4.04	5.04	1.96	4.58	1.46	3.13	2.71
Changsha	7.00	3.88	.50	2.96	1.71	1.79	.88	6.50	10.00	6.71	5.08	6.96	4.54	6.42	5.54
Taiyuan	6.21	2.75	.67	1.21	1.63	1.21	1.00	2.88	4.17	10.00	2.67	6.33	2.25	6.71	6.00
Beijing	8.58	8.91	.58	7.38	2.42	2.71	5.29	9.46	9.54	9.83	9.08	9.83	7.75	9.29	9.54
Jinan	7.58	5.38	.54	4.54	1.75	1.92	1.00	7.83	6.58	9.42	6.21	10.00	3.67	7.96	8.54
Hankou	7.00	4.00	.42	2.33	2.00	1.25	.92	6.88	6.96	7.75	4.96	8.33	10.00	7.67	7.79
Chengdu	6.54	5.25	.79	1.63	1.46	.83	1.13	6.33	7.04	7.38	4.88	8.00	4.58	10.00	6.33
Xi_an	6.21	3.63	.63	1.92	1.25	.96	.71	4.88	4.46	8.96	4.79	8.00	2.42	7.25	9.58
