	Suzhou	Wenzhou	Guangzhou	Xiamen	Fuzhou	Chaozhou	Meixian	Nanchang	Changsha	Taiyuan	Beijing	Jinan	Hankou	Chengdu	Xi’an	Mean
Suzhou	65	20	25	17	21	15	23	22	23	29	26	29	39	28	29	27
Wenzhou	23	41	17	19	17	17	18	21	15	24	25	25	28	18	19	22
Guangzhou	23	18	55	25	25	29	40	21	19	33	34	33	38	25	29	30
Xiamen	20	14	23	39	19	25	19	19	12	18	19	25	26	17	16	21
Fuzhou	17	18	17	18	47	14	17	16	15	22	20	23	24	20	16	20
Chaozhou	18	12	23	22	23	68	15	10	15	23	27	29	24	24	23	24
Meixian	31	24	35	24	23	25	67	31	27	43	43	43	41	37	31	35
Nanchang	27	26	30	25	29	22	41	37	29	47	51	48	57	41	42	37
Changsha	31	22	31	24	31	20	34	31	48	47	49	47	60	38	43	37
Taiyuan	33	30	30	29	31	21	36	36	30	57	59	64	55	50	48	41
Beijing	64	41	63	45	53	38	61	51	54	76	83	74	72	65	70	61
Jinan	40	22	31	22	36	19	39	39	31	59	61	80	58	51	55	43
Hankou	37	29	33	28	41	22	42	33	35	63	59	67	81	53	47	45
Chengdu	28	24	30	32	35	19	49	36	38	62	59	61	70	72	56	45
Xi’an	47	36	43	27	35	23	48	43	47	63	64	67	65	55	59	48
Mean	34	25	32	26	31	25	37	30	29	44	45	48	49	40	39	
