ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	VALUE	COGID
463	Guangzhou	G	I	1209	我	96
464	Suzhou	S	I	1209	我	96
465	Meixian	M	I	1209	我	96
466	Nanchang	N	I	1209	我	96
467	Yingshan	Y	I	1209	我	96
468	Beijing	B	I	1209	我	96
469	Changsha	C	I	1209	我	96
470	Shuangfeng	F	I	1209	我	96
471	Shuangfeng	F	I	1209	卬	97
472	Shanghai	H	I	1209	我	96
473	Xiamen	X	I	1209	我	96
1	Guangzhou	G	all	98	鹹	1
2	Suzhou	S	all	98	通	2
3	Meixian	M	all	98	完	3
4	Nanchang	N	all	98	都	4
5	Yingshan	Y	all	98	下	5
6	Beijing	B	all	98	整	6
7	Changsha	C	all	98	下	5
8	Shuangfeng	F	all	98	下	5
9	Shanghai	H	all	98	全	7
10	Xiamen	X	all	98	全	7
11	Guangzhou	G	ash	646	灰	8
12	Suzhou	S	ash	646	灰	8
13	Meixian	M	ash	646	灰	8
14	Nanchang	N	ash	646	灰	8
15	Yingshan	Y	ash	646	灰	8
16	Beijing	B	ash	646	灰	8
17	Changsha	C	ash	646	灰	8
18	Shuangfeng	F	ash	646	灰	8
19	Shanghai	H	ash	646	灰	8
20	Xiamen	X	ash	646	灰	8
21	Guangzhou	G	bark	1204	樹皮	9
22	Suzhou	S	bark	1204	樹皮	9
23	Meixian	M	bark	1204	樹皮	9
24	Nanchang	N	bark	1204	樹皮	9
25	Yingshan	Y	bark	1204	樹皮	9
26	Beijing	B	bark	1204	樹皮	9
27	Changsha	C	bark	1204	樹皮	9
28	Shuangfeng	F	bark	1204	樹皮	9
29	Shanghai	H	bark	1204	樹皮	9
30	Xiamen	X	bark	1204	樹皮	9
31	Guangzhou	G	belly	1251	肚	10
32	Suzhou	S	belly	1251	肚	10
33	Meixian	M	belly	1251	肚	10
34	Nanchang	N	belly	1251	肚	10
35	Yingshan	Y	belly	1251	肚	10
36	Beijing	B	belly	1251	肚	10
37	Changsha	C	belly	1251	肚	10
38	Shuangfeng	F	belly	1251	肚	10
39	Shanghai	H	belly	1251	肚	10
40	Xiamen	X	belly	1251	腹肚	11
41	Guangzhou	G	big	1202	大	12
42	Suzhou	S	big	1202	大	12
43	Meixian	M	big	1202	大	12
44	Nanchang	N	big	1202	大	12
45	Yingshan	Y	big	1202	大	12
46	Beijing	B	big	1202	大	12
47	Changsha	C	big	1202	大	12
48	Shuangfeng	F	big	1202	大	12
49	Shanghai	H	big	1202	A	13
50	Xiamen	X	big	1202	大	12
51	Guangzhou	G	bird	937	雀	14
52	Guangzhou	G	bird	937	鳥	15
53	Suzhou	S	bird	937	鳥	15
54	Meixian	M	bird	937	鳥	15
55	Nanchang	N	bird	937	鳥	15
56	Yingshan	Y	bird	937	雀	14
57	Beijing	B	bird	937	鳥	15
58	Changsha	C	bird	937	鳥	15
59	Shuangfeng	F	bird	937	鳥	15
60	Shanghai	H	bird	937	鳥	15
61	Xiamen	X	bird	937	A	13
62	Guangzhou	G	bite	1403	咬	16
63	Suzhou	S	bite	1403	咬	16
64	Meixian	M	bite	1403	咬	16
