ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	VALUE	COGID	COGIDS
463	Guangzhou	G	I	1209	我	96	102
464	Suzhou	S	I	1209	我	96	102
465	Meixian	M	I	1209	我	96	102
466	Nanchang	N	I	1209	我	96	102
467	Yingshan	Y	I	1209	我	96	102
468	Beijing	B	I	1209	我	96	102
469	Changsha	C	I	1209	我	96	102
470	Shuangfeng	F	I	1209	我	96	102
471	Shuangfeng	F	I	1209	卬	97	103
472	Shanghai	H	I	1209	我	96	102
473	Xiamen	X	I	1209	我	96	102
1	Guangzhou	G	all	98	鹹	1	1
2	Suzhou	S	all	98	通	2	2
3	Meixian	M	all	98	完	3	3
4	Nanchang	N	all	98	都	4	4
5	Yingshan	Y	all	98	下	5	5
6	Beijing	B	all	98	整	6	6
7	Changsha	C	all	98	下	5	5
8	Shuangfeng	F	all	98	下	5	5
9	Shanghai	H	all	98	全	7	7
10	Xiamen	X	all	98	全	7	7
11	Guangzhou	G	ash	646	灰	8	8
12	Suzhou	S	ash	646	灰	8	8
13	Meixian	M	ash	646	灰	8	8
14	Nanchang	N	ash	646	灰	8	8
15	Yingshan	Y	ash	646	灰	8	8
16	Beijing	B	ash	646	灰	8	8
17	Changsha	C	ash	646	灰	8	8
18	Shuangfeng	F	ash	646	灰	8	8
19	Shanghai	H	ash	646	灰	8	8
20	Xiamen	X	ash	646	灰	8	8
21	Guangzhou	G	bark	1204	樹皮	9	9 10
22	Suzhou	S	bark	1204	樹皮	9	9 10
23	Meixian	M	bark	1204	樹皮	9	9 10
24	Nanchang	N	bark	1204	樹皮	9	9 10
25	Yingshan	Y	bark	1204	樹皮	9	9 10
26	Beijing	B	bark	1204	樹皮	9	9 10
27	Changsha	C	bark	1204	樹皮	9	9 10
28	Shuangfeng	F	bark	1204	樹皮	9	9 10
29	Shanghai	H	bark	1204	樹皮	9	9 10
30	Xiamen	X	bark	1204	樹皮	9	9 10
