ID	CHARACTER	PINYIN	WORDS_COGIDS	WORDS_ID	CONCEPT	DOCULECT	POSITION
1	鹹	xián	1	1	all	Guangzhou	0
2	巴	bā	2	1	all	Guangzhou	1
3	郎	láng	3	1	all	Guangzhou	2
4	通	tōng	4	2	all	Suzhou	0
5	通	tōng	4	2	all	Suzhou	1
6	完	wán	5	3	all	Meixian	0
7	兜	dōu	6	3	all	Meixian	1
8	都	dōu	7	4	all	Nanchang	0
9	全	quán	8	5	all	Fuzhou	0
10	部	bù	9	5	all	Fuzhou	1
11	全	quán	8	6	all	Ningxia	0
12	一	yī	10	7	all	Lianchang	0
13	下	xià	11	7	all	Lianchang	1
14	全	quán	8	8	all	Lianchang	0
15	部	bù	9	8	all	Lianchang	1
16	全	quán	8	9	all	Ningbo	0
17	部	bù	9	9	all	Ningbo	1
18	合	hé	12	10	all	Ningbo	0
19	共	gòng	13	10	all	Ningbo	1
20	下	xià	11	11	all	Yingshan	0
21	全	quán	8	12	all	Chengdu	0
22	部	bù	9	12	all	Chengdu	1
23	全	quán	8	13	all	Zhanping	0
24	部	bù	9	13	all	Zhanping	1
25	全	quán	8	14	all	Shanghai	0
26	部	bù	9	14	all	Shanghai	1
27	全	quán	8	16	all	Shanghai_B	0
28	部	bù	9	16	all	Shanghai_B	1
29	全	quán	8	18	all	Xiamen	0
30	部	bù	9	18	all	Xiamen	1
31	一	yī	10	19	all	Anyi	0
32	下	xià	11	19	all	Anyi	1
33	全	quán	8	20	all	Anyi	0
34	部	bù	9	20	all	Anyi	1
35	整	zhěng	15	21	all	Beijing	0
36	個	gè	16	21	all	Beijing	1
37	兒	ér	17	21	all	Beijing	2
38	統	tǒng	18	22	all	Wenzhou	0
39	統	tǒng	18	22	all	Wenzhou	1
40	全	quán	8	24	all	Wuhan	0
41	全	quán	8	25	all	Taiyuan	0
42	部	bù	9	25	all	Taiyuan	1
43	都	dōu	7	26	all	Yuci	0
44	是	shì	19	26	all	Yuci	1
45	下	xià	11	27	all	Changsha	0
46	下	xià	11	28	all	Shuangfeng	0
47	灰	huī	20	29	ash	Guangzhou	0
48	灰	huī	20	30	ash	Suzhou	0
49	灰	huī	20	31	ash	Meixian	0
50	灰	huī	20	32	ash	Nanchang	0
51	塕	wěng	21	33	ash	Fuzhou	0
52	塵	chén	22	33	ash	Fuzhou	1
53	灰	huī	20	34	ash	Ningxia	0
54	灰	huī	20	35	ash	Lianchang	0
55	灰	huī	20	36	ash	Ningbo	0
56	灰	huī	20	37	ash	Yingshan	0
57	灰	huī	20	38	ash	Chengdu	0
58	燼	jìn	23	38	ash	Chengdu	1
59	灰	huī	20	39	ash	Zhanping	0
60	灰	huī	20	40	ash	Shanghai	0
61	灰	huī	20	41	ash	Shanghai_B	0
62	灰	huī	20	42	ash	Xiamen	0
63	灰	huī	20	43	ash	Anyi	0
64	灰	huī	20	44	ash	Beijing	0
65	灰	huī	20	45	ash	Wenzhou	0
66	柴	chái	24	46	ash	Wenzhou	0
67	灰	huī	20	48	ash	Wuhan	0
68	土	tǔ	25	49	ash	Taiyuan	0
69	灰	huī	20	50	ash	Yuci	0
70	灰	huī	20	51	ash	Changsha	0
71	灰	huī	20	52	ash	Shuangfeng	0
72	樹	shù	26	53	bark	Guangzhou	0
73	皮	pí	27	53	bark	Guangzhou	1
74	樹	shù	26	54	bark	Suzhou	0
75	皮	pí	27	54	bark	Suzhou	1
76	樹	shù	26	55	bark	Meixian	0
77	皮	pí	27	55	bark	Meixian	1
78	樹	shù	26	56	bark	Nanchang	0
79	皮	pí	27	56	bark	Nanchang	1
80	樹	shù	26	57	bark	Fuzhou	0
81	皮	pí	27	57	bark	Fuzhou	1
82	樹	shù	26	58	bark	Ningxia	0
83	皮	pí	27	58	bark	Ningxia	1
84	樹	shù	26	59	bark	Lianchang	0
85	皮	pí	27	59	bark	Lianchang	1
86	樹	shù	26	60	bark	Ningbo	0
87	皮	pí	27	60	bark	Ningbo	1
88	樹	shù	26	61	bark	Yingshan	0
89	皮	pí	27	61	bark	Yingshan	1
90	樹	shù	26	62	bark	Chengdu	0
91	皮	pí	27	62	bark	Chengdu	1
92	樹	shù	26	63	bark	Zhanping	0
93	皮	pí	27	63	bark	Zhanping	1
94	樹	shù	26	64	bark	Shanghai	0
95	皮	pí	27	64	bark	Shanghai	1
96	樹	shù	26	65	bark	Shanghai_B	0
97	皮	pí	27	65	bark	Shanghai_B	1
98	樹	shù	26	66	bark	Xiamen	0
99	皮	pí	27	66	bark	Xiamen	1
100	樹	shù	26	67	bark	Anyi	0
101	皮	pí	27	67	bark	Anyi	1
102	樹	shù	26	68	bark	Beijing	0
103	皮	pí	27	68	bark	Beijing	1
104	樹	shù	26	69	bark	Wenzhou	0
105	皮	pí	27	69	bark	Wenzhou	1
106	樹	shù	26	71	bark	Wuhan	0
107	皮	pí	27	71	bark	Wuhan	1
108	樹	shù	26	72	bark	Taiyuan	0
109	皮	pí	27	72	bark	Taiyuan	1
110	樹	shù	26	73	bark	Yuci	0
111	皮	pí	27	73	bark	Yuci	1
112	樹	shù	26	74	bark	Changsha	0
113	皮	pí	27	74	bark	Changsha	1
114	樹	shù	26	75	bark	Shuangfeng	0
115	皮	pí	27	75	bark	Shuangfeng	1
116	肚	dù	28	76	belly	Guangzhou	0
117	肚	dù	28	77	belly	Suzhou	0
118	皮	pí	27	77	belly	Suzhou	1
119	肚	dù	28	78	belly	Meixian	0
120	屎	shǐ	29	78	belly	Meixian	1
121	肚	dù	28	79	belly	Nanchang	0
122	子	zi	30	79	belly	Nanchang	1
123	腹	fù	31	80	belly	Fuzhou	0
124	老	lǎo	32	80	belly	Fuzhou	1
125	肚	dù	28	81	belly	Ningxia	0
126	子	zi	30	81	belly	Ningxia	1
127	腹	fù	31	82	belly	Lianchang	0
128	屎	shǐ	27	82	belly	Lianchang	1
129	肚	dù	28	83	belly	Ningbo	0
130	皮	pí	27	83	belly	Ningbo	1
131	肚	dù	28	84	belly	Yingshan	0
132	子	zi	30	84	belly	Yingshan	1
133	肚	dù	28	85	belly	Chengdu	0
134	子	zi	30	85	belly	Chengdu	1
135	腹	fù	31	86	belly	Zhanping	0
136	肚	dù	28	86	belly	Zhanping	1
137	肚	dù	28	87	belly	Shanghai	0
138	皮	pí	27	87	belly	Shanghai	1
139	肚	dù	28	88	belly	Shanghai_B	0
140	皮	pí	27	88	belly	Shanghai_B	1
141	腹	fù	31	89	belly	Xiamen	0
142	肚	dù	28	89	belly	Xiamen	1
143	肚	dù	28	90	belly	Anyi	0
144	哩	lǐ	33	90	belly	Anyi	1
145	肚	dù	28	91	belly	Anyi	0
146	子	zi	30	91	belly	Anyi	1
147	肚	dù	28	92	belly	Beijing	0
148	子	zi	30	92	belly	Beijing	1
149	肚	dù	28	93	belly	Wenzhou	0
150	肚	dù	28	95	belly	Wuhan	0
151	子	zi	30	95	belly	Wuhan	1
152	肚	dù	28	96	belly	Taiyuan	0
153	子	zi	30	96	belly	Taiyuan	1
154	肚	dù	28	97	belly	Yuci	0
155	肚	dù	28	98	belly	Changsha	0
156	子	zi	30	98	belly	Changsha	1
157	肚	dù	28	99	belly	Shuangfeng	0
158	子	zi	30	99	belly	Shuangfeng	1
159	大	dà	34	100	big	Guangzhou	0
160	大	dà	34	101	big	Suzhou	0
161	大	dà	34	102	big	Meixian	0
162	大	dà	34	103	big	Nanchang	0
163	大	dà	34	104	big	Fuzhou	0
164	大	dà	34	105	big	Ningxia	0
165	大	dà	34	106	big	Lianchang	0
166	簍	lǒu	35	107	big	Lianchang	0
167	大	dà	34	108	big	Ningbo	0
168	大	dà	34	109	big	Yingshan	0
169	大	dà	34	110	big	Chengdu	0
170	大	dà	34	111	big	Zhanping	0
171	大	dà	34	114	big	Xiamen	0
172	大	dà	34	115	big	Anyi	0
173	大	dà	34	116	big	Beijing	0
174	大	dà	34	117	big	Wenzhou	0
175	大	dà	34	119	big	Wuhan	0
176	大	dà	34	120	big	Taiyuan	0
177	大	dà	34	121	big	Yuci	0
178	大	dà	34	122	big	Changsha	0
179	大	dà	34	123	big	Shuangfeng	0
180	雀	què	37	124	bird	Guangzhou	0
181	雀	què	37	125	bird	Guangzhou	0
182	鳥	niǎo}	38	126	bird	Guangzhou	0
183	鳥	niǎo}	38	127	bird	Suzhou	0
184	鳥	niǎo}	38	128	bird	Meixian	0
185	子	zi	30	128	bird	Meixian	1
186	鳥	niǎo}	38	129	bird	Nanchang	0
187	鳥	niǎo}	38	130	bird	Fuzhou	0
188	鳥	niǎo}	38	131	bird	Ningxia	0
189	鳥	niǎo}	38	132	bird	Lianchang	0
190	鳥	niǎo}	38	133	bird	Ningbo	0
191	雀	què	37	134	bird	Yingshan	0
192	雀	què	37	135	bird	Chengdu	0
193	隻	zhī	39	136	bird	Zhanping	0
194	仔	zǐ	30	136	bird	Zhanping	1
195	鳥	niǎo}	38	137	bird	Shanghai	0
196	鳥	niǎo}	38	138	bird	Shanghai_B	0
197	雀	què	37	140	bird	Anyi	0
198	哩	lǐ	33	140	bird	Anyi	1
199	鳥	niǎo}	38	141	bird	Beijing	0
