all	皆, 咸, 悉
ash	灰
bark	-
belly	腹
big	大
bird	鸟, 禽
bite	啮
black	黑
blood	血
bone	骨
breasts	乳
burn	燃
claw	爪
cloud	云
cold	寒
come	来
die	死
dog	犬
drink	饮
dry	燥
ear	耳
earth	地
eat	食
egg	卵
eye	目
feather	羽
fire	火
fish	鱼
flesh	肉
fly	飞
foot	足
full	盈
give	与
good	良, 善
grease	膏, 脂
green	绿
hair	发
hand	手
head	首
hear	听, 闻
heart	心
horn	角
hot	热
i	我, 吾, 余
kill	杀
knee	膝
know	知
leaf	叶
lie	卧
liver	肝
long	长
louse	虱
man	男
many	多
moon	月
mountain	山
mouth	口
name	名
neck	颈
new	新
night	夜, 夕
nose	鼻
not	不, 弗
one	一
path	道, 路
person	人
rain	雨
red	赤
root	本
round	圆
sand	沙
say	言
see	见
seed	种
sit	坐
skin	肤, 皮
sleep	寐
small	小
smoke	烟
stand	立
star	星
stone	石
sun	日
swim	游, 泳
tail	尾
that	彼, 夫
this	此, 是
tongue	舌
tooth	牙, 齿
tree	木
two	二
walk	行
water	水
we	-
what	何
white	白
who	谁, 孰
woman	女
yellow	黄
you	尔, 汝
and	与
animal	-
back	背
bad	恶
because	以, 为
blow	吹
breathe	息
child	儿
count	数
cut	斫
day	天
dig	掘
dirty	污
dull	愚
dust	尘
fall	坠, 落
far	远, 遥
father	父
fear	畏, 惧, 恐
few	少
fight	鬬
five	五
float	漂, 浮
flow	流
flower	花
fog	雾
four	四
freeze	冻, 凝
fruit	果
grass	草
guts	肠
he	彼, 之
here	此
hit	击
hold-take	取
how	何
hunt	田
husband	夫
ice	冰
if	若
in 	在
lake	湖
laugh	笑
leftside	左
leg	脚
live(alive)	生
mother	母
narrow	狭
near	近
old	老
play	弄
pull	曳
push	推
rightside	右
correct	是
river	江
rope	索, 绳
rotten	朽
rub	拭
salt	盐
scratch	攫
sea	海
sew	缝
sharp	锐
short	短
sing	歌
sky	天
smell	嗅
smooth	平
snake	蛇
snow	雪
spit	吐
split	裂
squeeze	压
stab	刺
stick	杖
straight	直
suck	吸
swell	肿
there	彼
they	彼, 之
thick	厚
thin	薄
think	思
three	三
throw	弃
tie	束
turn	转
vomit	吐
wash	洒, 涤
wet	湿
where	安, 恶, 焉
wide	广
wife	妻
wind	风
wing	翼
heavy	重
woods	林
worm	虫
year	岁, 年, 载
