# EDICTOR
@modified: 2015-11-25 16:1
@source: Hamed and Wang (2006)
#
ID	DOCULECT	CONCEPT	IPA	WANGID	PARTIAL
#
1	Guangzhou	all	咸巴郎	1	咸巴郎
2	Suzhou	all	通通	2	通通
3	Meixian	all	完兜	3	完兜
4	Nanchang	all	都	4	都
5	Fuzhou	all	全部	5	全部
6	Ningxia	all	全 、都	6	全
7	Lianchang	all	一下	7	一下
8	Lianchang	all	全部[都是副词用法]	5	全部
9	Ningbo	all	全部	5	全部
10	Ningbo	all	合共	9	合共
11	Yingshan	all	下	8	下
12	Chengdu	all	全部	5	全部
13	Zhanping	all	全部	5	全部
14	Shanghai	all	全部	5	全部
15	Shanghai	all	ze+13	10	A
16	Shanghai_B	all	全部	5	全部
17	Shanghai_B	all	ze+13	10	A
18	Xiamen	all	全部	5	全部
19	Anyi	all	一下	7	一下
20	Anyi	all	全部	5	全部
21	Beijing	all	整个儿	11	整个儿
22	Wenzhou	all	统统	2	统统
23	Taibei	all	tsuan13poo33全部；long53攏	5	全部
24	Wuhan	all	全	6	全
25	Taiyuan	all	全部	5	全部
26	Yuci	all	都是	13	都是
27	Changsha	all	下	8	下
28	Shuangfeng	all	下	8	下
#
2595	Guangzhou	and	同[埋]	1	同
2596	Guangzhou	and	同[埋]	1a	同埋
2597	Suzhou	and	搭	2	搭
2598	Meixian	and	同	1	同
2599	Meixian	and	搭	2	搭
2600	Nanchang	and	跟	3	跟
2601	Nanchang	and	同	1	同
2602	Fuzhou	and	共	5	共
2603	Ningxia	and	连	6	连
2604	Lianchang	and	合	7	合
2605	Ningbo	and	搭	2	搭
2606	Yingshan	and	跟	3	跟
2607	Chengdu	and	和	4	和
2608	Zhanping	and	甲*	8	甲
2609	Zhanping	and	thin1	9	B
2610	Shanghai	and	跟	3	跟
2611	Shanghai	and	go?[交]	10	A
2612	Shanghai	and	帮	11	帮
2613	Shanghai_B	and	得之	12b	得之
2614	Shanghai_B	and	得	12	得
2615	Xiamen	and	甲*	8	甲
2616	Anyi	and	同到	1a	同到
2617	Beijing	and	跟	3	跟
2618	Beijing	and	和	4	和
2619	Wenzhou	and	伉	13	伉
2620	Taibei	and	kah32	8	甲
2621	Taibei	and	kap32合	7	合
2622	Wuhan	and	跟	3	跟
2623	Wuhan	and	和	4	和
2624	Taiyuan	and	和	3	和
2625	Taiyuan	and	跟	4	和
2626	Yuci	and	和	3	和
2627	Yuci	and	跟	3	跟
2628	Changsha	and	跟	3	跟
2629	Shuangfeng	and	跟	3	跟
2630	Shuangfeng	and	同	1	同
#
2631	Suzhou	animal	众牲	5	众牲
2632	Fuzhou	animal	头牲	3	头牲
2633	Ningxia	animal	牲畜、畜生	3	畜生
2634	Lianchang	animal	动物[大概是从官话借过来的，当地无此概念]	1?	动物
2635	Ningbo	animal	 ̆畜牲͡	3	畜牲
2636	Chengdu	animal	动物	1	动物
2637	Zhanping	animal	动物	1	动物
2638	Shanghai_B	animal	动物	1	动物
2639	Xiamen	animal	牲牲	4	牲牲
2640	Xiamen	animal	动物	1	动物
2641	Anyi	animal	畜牲	3	畜牲
2642	Beijing	animal	动物	1	动物
2643	Wenzhou	animal	动物（文）	1	动物
2644	Wenzhou	animal	健个物事	2	健个物事
2645	Taibei	animal	tong33 but33	1	动物
2646	Wuhan	animal	动物	1	动物
2647	Taiyuan	animal	动物	1	动物
2648	Yuci	animal	动物	1	动物
2649	Changsha	animal	动物	1	动物
2650	Shuangfeng	animal	动物	1	动物
#
29	Guangzhou	ash	灰	0	灰
30	Suzhou	ash	灰	0	灰
31	Meixian	ash	灰	0	灰
32	Nanchang	ash	灰	0	灰
33	Fuzhou	ash	塕尘	2	塕尘
34	Ningxia	ash	灰	0	灰
35	Lianchang	ash	灰[指灰烬]	0	灰
36	Ningbo	ash	灰	0	灰
37	Yingshan	ash	灰	0	灰
38	Chengdu	ash	灰烬	0a	灰烬
39	Zhanping	ash	灰	0	灰
40	Shanghai	ash	灰	0	灰
41	Shanghai_B	ash	灰	0	灰
42	Xiamen	ash	灰	0	灰
43	Anyi	ash	灰	0	灰
44	Beijing	ash	灰	0	灰
45	Wenzhou	ash	灰	0	灰
46	Wenzhou	ash	柴土-弗[z«2 vai8]	3	A
47	Taibei	ash	hu44灰	0	灰
48	Wuhan	ash	灰	0	灰
49	Taiyuan	ash	土	4	土
50	Yuci	ash	灰	0	灰
51	Changsha	ash	灰	0	灰
52	Shuangfeng	ash	灰	0	灰
#
2651	Guangzhou	back	背脊	3	背脊
2652	Guangzhou	back	背脢	0b	背脢
2653	Suzhou	back	背心	0a	背心
2654	Suzhou	back	背	0	背
2655	Meixian	back	背梁[注]	0c	背梁
2656	Meixian	back	脊背	3	脊背
2657	Nanchang	back	背脊	3	背脊
2658	Fuzhou	back	月-聘	5	月聘
2659	Ningxia	back	脊梁	3	脊梁
