ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	VALUE	CHARACTERS	COGIDS
1	Guangzhou	Guangzhou	all	98	咸巴郎	咸巴郎	1 2 3
2	Suzhou	Suzhou	all	98	通通	通通	4 4
3	Meixian	Meixian	all	98	完兜	完兜	5 6
4	Nanchang	Nanchang	all	98	都	都	7
5	Fuzhou	Fuzhou	all	98	全部	全部	8 9
6	Ningxia	Ningxia	all	98	全 、都	全	8
7	Lianchang	Lianchang	all	98	一下	一下	10 11
8	Lianchang	Lianchang	all	98	全部[都是副词用法]	全部	8 9
9	Ningbo	Ningbo	all	98	全部	全部	8 9
10	Ningbo	Ningbo	all	98	合共	合共	12 13
11	Yingshan	Yingshan	all	98	下	下	11
12	Chengdu	Chengdu	all	98	全部	全部	8 9
13	Zhanping	Zhanping	all	98	全部	全部	8 9
14	Shanghai	Shanghai	all	98	全部	全部	8 9
15	Shanghai	Shanghai	all	98	ze+13	A	14
16	Shanghai_B	Shanghai_B	all	98	全部	全部	8 9
17	Shanghai_B	Shanghai_B	all	98	ze+13	A	14
18	Xiamen	Xiamen	all	98	全部	全部	8 9
19	Anyi	Anyi	all	98	一下	一下	10 11
20	Anyi	Anyi	all	98	全部	全部	8 9
21	Beijing	Beijing	all	98	整个儿	整个儿	15 16 17
22	Wenzhou	Wenzhou	all	98	统统	统统	18 18
23	Taibei	Taibei	all	98	tsuan13poo33全部；long53攏	全部	8 9
24	Wuhan	Wuhan	all	98	全	全	8
25	Taiyuan	Taiyuan	all	98	全部	全部	8 9
26	Yuci	Yuci	all	98	都是	都是	7 19
27	Changsha	Changsha	all	98	下	下	11
28	Shuangfeng	Shuangfeng	all	98	下	下	11
5358	Old_Chinese	Old_Chinese	all	98	皆	皆	1008
5359	Old_Chinese	Old_Chinese	all	98	 咸	 咸	1009 1
5360	Old_Chinese	Old_Chinese	all	98	 悉	 悉	1009 1010
2595	Guangzhou	Guangzhou	and	1577	同[埋]	同	450
2596	Guangzhou	Guangzhou	and	1577	同[埋]	同埋	450 451
2597	Suzhou	Suzhou	and	1577	搭	搭	452
2598	Meixian	Meixian	and	1577	同	同	450
2599	Meixian	Meixian	and	1577	搭	搭	452
2600	Nanchang	Nanchang	and	1577	跟	跟	453
2601	Nanchang	Nanchang	and	1577	同	同	450
2602	Fuzhou	Fuzhou	and	1577	共	共	13
2603	Ningxia	Ningxia	and	1577	连	连	454
2604	Lianchang	Lianchang	and	1577	合	合	12
2605	Ningbo	Ningbo	and	1577	搭	搭	452
2606	Yingshan	Yingshan	and	1577	跟	跟	453
2607	Chengdu	Chengdu	and	1577	和	和	455
2608	Zhanping	Zhanping	and	1577	甲*	甲	456
2609	Zhanping	Zhanping	and	1577	thin1	B	457
2610	Shanghai	Shanghai	and	1577	跟	跟	453
2611	Shanghai	Shanghai	and	1577	go?[交]	A	458
2612	Shanghai	Shanghai	and	1577	帮	帮	459
2613	Shanghai_B	Shanghai_B	and	1577	得之	得之	138 460
2614	Shanghai_B	Shanghai_B	and	1577	得	得	138
2615	Xiamen	Xiamen	and	1577	甲*	甲	456
2616	Anyi	Anyi	and	1577	同到	同到	450 102
2617	Beijing	Beijing	and	1577	跟	跟	453
2618	Beijing	Beijing	and	1577	和	和	455
2619	Wenzhou	Wenzhou	and	1577	伉	伉	461
2620	Taibei	Taibei	and	1577	kah32	甲	456
2621	Taibei	Taibei	and	1577	kap32合	合	12
2622	Wuhan	Wuhan	and	1577	跟	跟	453
2623	Wuhan	Wuhan	and	1577	和	和	455
2624	Taiyuan	Taiyuan	and	1577	和	和	455
2625	Taiyuan	Taiyuan	and	1577	跟	和	455
2626	Yuci	Yuci	and	1577	和	和	455
2627	Yuci	Yuci	and	1577	跟	跟	453
2628	Changsha	Changsha	and	1577	跟	跟	453
2629	Shuangfeng	Shuangfeng	and	1577	跟	跟	453
2630	Shuangfeng	Shuangfeng	and	1577	同	同	450
5474	Old_Chinese	Old_Chinese	and	1577	与	与	135
2631	Suzhou	Suzhou	animal	619	众牲	众牲	462 463
2632	Fuzhou	Fuzhou	animal	619	头牲	头牲	51 463
2633	Ningxia	Ningxia	animal	619	牲畜、畜生	畜生	464 465
2634	Lianchang	Lianchang	animal	619	动物[大概是从官话借过来的，当地无此概念]	动物	466 416
2635	Ningbo	Ningbo	animal	619	̆畜牲͡	畜牲	464 463
2636	Chengdu	Chengdu	animal	619	动物	动物	466 416
2637	Zhanping	Zhanping	animal	619	动物	动物	466 416
2638	Shanghai_B	Shanghai_B	animal	619	动物	动物	466 416
2639	Xiamen	Xiamen	animal	619	牲牲	牲牲	463 463
2640	Xiamen	Xiamen	animal	619	动物	动物	466 416
2641	Anyi	Anyi	animal	619	畜牲	畜牲	464 463
2642	Beijing	Beijing	animal	619	动物	动物	466 416
2643	Wenzhou	Wenzhou	animal	619	动物（文）	动物	466 416
2644	Wenzhou	Wenzhou	animal	619	健个物事	健个物事	467 16 416 417
2645	Taibei	Taibei	animal	619	tong33 but33	动物	466 416
2646	Wuhan	Wuhan	animal	619	动物	动物	466 416
2647	Taiyuan	Taiyuan	animal	619	动物	动物	466 416
2648	Yuci	Yuci	animal	619	动物	动物	466 416
2649	Changsha	Changsha	animal	619	动物	动物	466 416
2650	Shuangfeng	Shuangfeng	animal	619	动物	动物	466 416
29	Guangzhou	Guangzhou	ash	646	灰	灰	20
30	Suzhou	Suzhou	ash	646	灰	灰	20
31	Meixian	Meixian	ash	646	灰	灰	20
32	Nanchang	Nanchang	ash	646	灰	灰	20
33	Fuzhou	Fuzhou	ash	646	塕尘	塕尘	21 22
34	Ningxia	Ningxia	ash	646	灰	灰	20
35	Lianchang	Lianchang	ash	646	灰[指灰烬]	灰	20
36	Ningbo	Ningbo	ash	646	灰	灰	20
37	Yingshan	Yingshan	ash	646	灰	灰	20
38	Chengdu	Chengdu	ash	646	灰烬	灰烬	20 23
39	Zhanping	Zhanping	ash	646	灰	灰	20
40	Shanghai	Shanghai	ash	646	灰	灰	20
41	Shanghai_B	Shanghai_B	ash	646	灰	灰	20
42	Xiamen	Xiamen	ash	646	灰	灰	20
43	Anyi	Anyi	ash	646	灰	灰	20
44	Beijing	Beijing	ash	646	灰	灰	20
45	Wenzhou	Wenzhou	ash	646	灰	灰	20
46	Wenzhou	Wenzhou	ash	646	柴土-弗[z«2 vai8]	A	24
47	Taibei	Taibei	ash	646	hu44灰	灰	20
48	Wuhan	Wuhan	ash	646	灰	灰	20
49	Taiyuan	Taiyuan	ash	646	土	土	25
50	Yuci	Yuci	ash	646	灰	灰	20
51	Changsha	Changsha	ash	646	灰	灰	20
52	Shuangfeng	Shuangfeng	ash	646	灰	灰	20
5361	Old_Chinese	Old_Chinese	ash	646	灰	灰	20
2651	Guangzhou	Guangzhou	back	1291	背脊	背脊	468 469
2652	Guangzhou	Guangzhou	back	1291	背脢	背脢	468 470
2653	Suzhou	Suzhou	back	1291	背心	背心	468 165
2654	Suzhou	Suzhou	back	1291	背	背	468
2655	Meixian	Meixian	back	1291	背梁[注]	背梁	468 471
2656	Meixian	Meixian	back	1291	脊背	脊背	469 468
2657	Nanchang	Nanchang	back	1291	背脊	背脊	468 469
2658	Fuzhou	Fuzhou	back	1291	月-聘	月聘	192 472
2659	Ningxia	Ningxia	back	1291	脊梁	脊梁	469 471
2660	Lianchang	Lianchang	back	1291	背脊	背脊	468 469
2661	Ningbo	Ningbo	back	1291	背脊	背脊	468 469
2662	Yingshan	Yingshan	back	1291	背瑯*骨	背瑯	468 259
2663	Chengdu	Chengdu	back	1291	背	背	468
2664	Zhanping	Zhanping	back	1291	目*脊	目脊	114 469
2665	Zhanping	Zhanping	back	1291	胶*脊	胶脊	473 469
2666	Shanghai	Shanghai	back	1291	背脊	背脊	468 469
2667	Shanghai_B	Shanghai_B	back	1291	背脊	背脊	468 469
2668	Xiamen	Xiamen	back	1291	胛脊	胛脊	474 469
2669	Anyi	Anyi	back	1291	背	背	468
2670	Beijing	Beijing	back	1291	[后]脊梁	脊梁	469 471
2671	Wenzhou	Wenzhou	back	1291	背脊身	背脊身	468 469 475
2672	Wuhan	Wuhan	back	1291	背[心]	背	468
2673	Wuhan	Wuhan	back	1291	背[心]	背心	468 165
2674	Taiyuan	Taiyuan	back	1291	脊背	脊背	469 468
2675	Yuci	Yuci	back	1291	脊背	脊背	469 468
2676	Changsha	Changsha	back	1291	背[心]	背	468
2677	Changsha	Changsha	back	1291	背[心]	背心	468 165
2678	Shuangfeng	Shuangfeng	back	1291	背[心]	背	468
2679	Shuangfeng	Shuangfeng	back	1291	背[心]	背心	468 165
5475	Old_Chinese	Old_Chinese	back	1291	背	背	468
2680	Guangzhou	Guangzhou	bad	1292	衰	衰	476
2681	Guangzhou	Guangzhou	bad	1292	坏	坏	477
2682	Guangzhou	Guangzhou	bad	1292	弊	弊	478
2683	Suzhou	Suzhou	bad	1292	坏	坏	477
2684	Suzhou	Suzhou	bad	1292	愀	愀	479
2685	Meixian	Meixian	bad	1292	坏	坏	477
2686	Meixian	Meixian	bad	1292	歪	歪	480
2687	Nanchang	Nanchang	bad	1292	坏	坏	477
2688	Fuzhou	Fuzhou	bad	1292	呆*	呆	481
2689	Fuzhou	Fuzhou	bad	1292	否（指人品）	弊	478
2690	Ningxia	Ningxia	bad	1292	坏	坏	477
2691	Lianchang	Lianchang	bad	1292	坏	坏	477
2692	Ningbo	Ningbo	bad	1292	坏	坏	477
2693	Yingshan	Yingshan	bad	1292	拐*	拐	482
2694	Chengdu	Chengdu	bad	1292	坏	坏	477
2695	Zhanping	Zhanping	bad	1292	歹：读be3	A	483
2696	Shanghai	Shanghai	bad	1292	坏	坏	477
2697	Shanghai_B	Shanghai_B	bad	1292	坏	坏	477
2698	Xiamen	Xiamen	bad	1292	否phai~51坏	B	484
2699	Anyi	Anyi	bad	1292	坏	坏	477
2700	Anyi	Anyi	bad	1292	so2	C	485
2701	Beijing	Beijing	bad	1292	坏	坏	477
2702	Beijing	Beijing	bad	1292	赖	坏坏	477 477
2703	Wenzhou	Wenzhou	bad	1292	毛*	坏拐	477 482
2704	Taibei	Taibei	bad	1292	phai53[禾黑]?鄙?	坏衰	477 476
2705	Wuhan	Wuhan	bad	1292	坏	坏	477
2706	Wuhan	Wuhan	bad	1292	拐*	拐	482
2707	Taiyuan	Taiyuan	bad	1292	赖	坏坏	477 477
2708	Taiyuan	Taiyuan	bad	1292	怀	坏	477
2709	Yuci	Yuci	bad	1292	赖	坏坏	477 477
2710	Yuci	Yuci	bad	1292	怀	坏	477
2711	Changsha	Changsha	bad	1292	坏	坏	477
2712	Changsha	Changsha	bad	1292	拐*	拐	482
2713	Shuangfeng	Shuangfeng	bad	1292	坏	坏	477
2714	Shuangfeng	Shuangfeng	bad	1292	拐*	拐	482
5476	Old_Chinese	Old_Chinese	bad	1292	恶	恶	1044
53	Guangzhou	Guangzhou	bark	1204	树皮	树皮	26 27
54	Suzhou	Suzhou	bark	1204	树皮	树皮	26 27
55	Meixian	Meixian	bark	1204	树皮	树皮	26 27
56	Nanchang	Nanchang	bark	1204	树皮	树皮	26 27
57	Fuzhou	Fuzhou	bark	1204	树皮	树皮	26 27
58	Ningxia	Ningxia	bark	1204	树皮	树皮	26 27
59	Lianchang	Lianchang	bark	1204	树皮	树皮	26 27
60	Ningbo	Ningbo	bark	1204	树皮	树皮	26 27
61	Yingshan	Yingshan	bark	1204	树皮	树皮	26 27
62	Chengdu	Chengdu	bark	1204	树皮	树皮	26 27
63	Zhanping	Zhanping	bark	1204	树皮	树皮	26 27
64	Shanghai	Shanghai	bark	1204	树皮	树皮	26 27
65	Shanghai_B	Shanghai_B	bark	1204	树皮	树皮	26 27
66	Xiamen	Xiamen	bark	1204	树皮	树皮	26 27
67	Anyi	Anyi	bark	1204	树皮	树皮	26 27
68	Beijing	Beijing	bark	1204	树皮	树皮	26 27
69	Wenzhou	Wenzhou	bark	1204	树皮	树皮	26 27
70	Taibei	Taibei	bark	1204	tshiu33 phue13樹皮	树皮	26 27
71	Wuhan	Wuhan	bark	1204	树皮	树皮	26 27
72	Taiyuan	Taiyuan	bark	1204	树皮	树皮	26 27
73	Yuci	Yuci	bark	1204	树皮	树皮	26 27
74	Changsha	Changsha	bark	1204	树皮	树皮	26 27
75	Shuangfeng	Shuangfeng	bark	1204	树皮	树皮	26 27
2715	Guangzhou	Guangzhou	because	1157	因为	因为	486 487
2716	Guangzhou	Guangzhou	because	1157	为因	为因	487 486
2717	Suzhou	Suzhou	because	1157	因为	因为	486 487
2718	Fuzhou	Fuzhou	because	1157	因为	因为	486 487
2719	Ningbo	Ningbo	because	1157	因为	因为	486 487
2720	Yingshan	Yingshan	because	1157	为	为	487
2721	Chengdu	Chengdu	because	1157	因为	因为	486 487
2722	Zhanping	Zhanping	because	1157	因为	因为	486 487
2723	Shanghai	Shanghai	because	1157	因为	因为	486 487
2724	Shanghai_B	Shanghai_B	because	1157	因为	因为	486 487
2725	Xiamen	Xiamen	because	1157	因为	因为	486 487
2726	Anyi	Anyi	because	1157	因为	因为	486 487
2727	Beijing	Beijing	because	1157	因（yong1)为（wei）	因为	486 487
2728	Wenzhou	Wenzhou	because	1157	为	为	487
2729	Wenzhou	Wenzhou	because	1157	因	因	486
2730	Taibei	Taibei	because	1157	in44 ui31因為	因为	486 487
2731	Wuhan	Wuhan	because	1157	因为	因为	486 487
2732	Taiyuan	Taiyuan	because	1157	因为	因为	486 487
2733	Yuci	Yuci	because	1157	因为	因为	486 487
2734	Changsha	Changsha	because	1157	因为	因为	486 487
2735	Shuangfeng	Shuangfeng	because	1157	因为	因为	486 487
5477	Old_Chinese	Old_Chinese	because	1157	以	以	1045
5478	Old_Chinese	Old_Chinese	because	1157	 为	 为	1046 487
76	Guangzhou	Guangzhou	belly	1251	肚	肚	28
77	Suzhou	Suzhou	belly	1251	肚皮	肚皮	28 27
78	Meixian	Meixian	belly	1251	肚屎	肚屎	28 29
79	Nanchang	Nanchang	belly	1251	肚子	肚子	28 30
80	Fuzhou	Fuzhou	belly	1251	腹老	腹老	31 32
81	Ningxia	Ningxia	belly	1251	肚子	肚子	28 30
82	Lianchang	Lianchang	belly	1251	腹屎	腹皮	31 27
83	Ningbo	Ningbo	belly	1251	肚皮	肚皮	28 27
84	Yingshan	Yingshan	belly	1251	肚子	肚子	28 30
85	Chengdu	Chengdu	belly	1251	肚子	肚子	28 30
86	Zhanping	Zhanping	belly	1251	腹肚	腹肚	31 28
87	Shanghai	Shanghai	belly	1251	肚皮	肚皮	28 27
88	Shanghai_B	Shanghai_B	belly	1251	肚皮	肚皮	28 27
89	Xiamen	Xiamen	belly	1251	腹肚	腹肚	31 28
90	Anyi	Anyi	belly	1251	肚哩	肚哩	28 33
91	Anyi	Anyi	belly	1251	肚子	肚子	28 30
92	Beijing	Beijing	belly	1251	肚子	肚子	28 30
93	Wenzhou	Wenzhou	belly	1251	肚	肚	28
94	Taibei	Taibei	belly	1251	pak32腹	腹	31
95	Wuhan	Wuhan	belly	1251	肚子	肚子	28 30
96	Taiyuan	Taiyuan	belly	1251	肚子	肚子	28 30
97	Yuci	Yuci	belly	1251	肚	肚	28
98	Changsha	Changsha	belly	1251	肚子	肚子	28 30
99	Shuangfeng	Shuangfeng	belly	1251	肚子	肚子	28 30
5362	Old_Chinese	Old_Chinese	belly	1251	腹	腹	31
100	Guangzhou	Guangzhou	big	1202	大	大	34
101	Suzhou	Suzhou	big	1202	大	大	34
102	Meixian	Meixian	big	1202	大	大	34
103	Nanchang	Nanchang	big	1202	大	大	34
104	Fuzhou	Fuzhou	big	1202	大	大	34
105	Ningxia	Ningxia	big	1202	大	大	34
106	Lianchang	Lianchang	big	1202	大	大	34
107	Lianchang	Lianchang	big	1202	篓[同音字]	A	35
108	Ningbo	Ningbo	big	1202	大	大	34
109	Yingshan	Yingshan	big	1202	大	大	34
110	Chengdu	Chengdu	big	1202	大	大	34
111	Zhanping	Zhanping	big	1202	大	大	34
112	Shanghai	Shanghai	big	1202	du	B	36
113	Shanghai_B	Shanghai_B	big	1202	du	B	36
114	Xiamen	Xiamen	big	1202	大	大	34
115	Anyi	Anyi	big	1202	大	大	34
116	Beijing	Beijing	big	1202	大	大	34
117	Wenzhou	Wenzhou	big	1202	大	大	34
118	Taibei	Taibei	big	1202	tua33大	大	34
119	Wuhan	Wuhan	big	1202	大	大	34
120	Taiyuan	Taiyuan	big	1202	大	大	34
121	Yuci	Yuci	big	1202	大	大	34
122	Changsha	Changsha	big	1202	大	大	34
123	Shuangfeng	Shuangfeng	big	1202	大	大	34
5363	Old_Chinese	Old_Chinese	big	1202	大	大	34
124	Guangzhou	Guangzhou	bird	937	雀（仔）[小鸟]	雀	37
125	Guangzhou	Guangzhou	bird	937	雀（仔）[小鸟]	雀子	37 30
126	Guangzhou	Guangzhou	bird	937	鸟[大鸟]	鸟	38
127	Suzhou	Suzhou	bird	937	鸟	鸟	38
128	Meixian	Meixian	bird	937	鸟子	鸟子	38 30
129	Nanchang	Nanchang	bird	937	鸟	鸟	38
130	Fuzhou	Fuzhou	bird	937	鸟	鸟	38
131	Ningxia	Ningxia	bird	937	鸟、雀	鸟	38
132	Lianchang	Lianchang	bird	937	鸟	鸟	38
133	Ningbo	Ningbo	bird	937	鸟	鸟	38
134	Yingshan	Yingshan	bird	937	雀（娃儿）	雀儿	37 17
135	Chengdu	Chengdu	bird	937	雀	雀	37
