NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
1	xen1  	0	sky  	xen55  	hen55  	xE24  	xɛ̃55  	xɛ̃55  	xen55  	xen55  	xe55  	xen55  	  	  	  	  	  	  	  	  	   
2	nji4  	0	sun  	jien42  	ɲi24  	ɲi55  	ɲi44  	ɲi55  	jien44  	jien44  	mi44  	ɲiɛ44  	  	  	  	  	  	  	  	  	   
4	mji1a-ŋua4  	0	moon  	jien55uo42  	ɲi24uaŋ55  	miE24ua55  	ɲia55ŋua44  	ɲio55ŋõ55  	mi5̄̄5uɑ̃55  	mi55uã55  	mi35ua44  	mien55ŋua44  	  	  	  	  	  	  	  	  	   
5	sjæn1  	0	star  	ɕiaŋ55  	san55  	ɕiæ24  	ɕia55  	ɕiã55  	ɕian55  	ɕiɚ̃55  	ɕiɛ55  	ɕɚ̃55  	  	  	  	  	  	  	  	  	   
7	ŋɔ1b		cloud	ŋɔ35	ŋE12	Ræ21	(mM~121)	(mM21)	v~21	vo~21	v21	yen21									
8	sky+cry  	0	thunder  	xen55ma35  	hen55mæ12   	xE24mæ21  	xẽ55ma21  	xẽ55ma21  	xen55man21  	xen55mɚ21  	xe55mɛ21  	xen55mɚ21  	  	  	  	  	  	  	  	  	   
9	pren1  	0	wind  	tɕyen55  	tɕyen55  	tsuE24  	tɕyi55  	tɕyi55  	pi55  	piɛ̃35  	pi35  	pien55  	  	  	  	  	  	  	  	  	   
12	sʰuɛ4  	0	snow  	sue42  	suɛ42  	suE55  	suɛ44  	sue55  	sui44  	sʰue44  	sue44  	ɕyɛ44  	  	  	  	  	  	  	  	  	   
14	soŋ1  	0	frost  	ɕioŋ55  	soŋ55  	ɕio24  	ɕuoŋ55  	ɕiõ55  	sõ55  	ʂou44  	sou55  	soŋ55  	  	  	  	  	  	  	  	  	   
17	sʰroŋ1  	0	ice  	ɕioŋ55qa42  	soŋ55ŋɛ24  	ɕio24pæ22  	ɕioŋ55  	ɕiõ55  	sou55lou44pʰiɛ55  	ʂou55lou44pʰiɚ55  	(tv21jɯ21)  	ɕyɛ44pʰien33  	  	  	  	  	  	  	  	  	   
18	xui2  	0	fire  	xue33  	xuɛ22  	xui22  	fi22  	fi22  	xui33  	xui33  	xui33  	fi33  	  	  	  	  	  	  	  	  	   
19	fire+sjen1  	0	smoke  	xue33ɕien55  	xui22ɕi55  	xui22si24  	fi22sɛ55  	fi22se55  	xui33ɕien55  	xui33ɕien35  	xui33ɕe55  	fi33ɕen55  	  	  	  	  	  	  	  	  	   
20	tɕʰi4  	0	air; breath  	tɕʰi42  	tɕʰi55  	tɕʰi55  	  	  	tɕʰi44  	tɕʰi44  	tɕʰi55  	tɕʰi44  	  	  	  	  	  	  	  	  	   
22	di3  	0	earth  	ʑi21  	dʑi42  	dʑi42 3  	tɕi42  	dʑi42  	tɕi31  	tɕi31  	tɕi31  	ti21  	  	  	  	  	  	  	  	  	   
23	sro4 (general); sren1 (snow mountain)  	0	mountain  	ɕien55  	sao42  	ɕio43 (general); ɕiE24 (snow mountain)  	sɛ55  	ʂɚ̃55  	sṽ42  	ʂo42  	sv53  	sen55  	  	  	  	  	  	  	  	  	   
24	boŋ2  	0	hillside; mountain slope  	boŋ33  	bõ22  	bo22  	bo22  	bo22  	pao31  	bau33  	bo33  	pio44  	  	  	  	  	  	  	  	  	   
