ID	LINE_IN_SOURCE	DOCULECT	CHINESE	CONCEPT	VALUE	SEGMENTS	CHARACTERS
456	478	Dancun	魚		SKuN22 Nui22	ʃ ɬ u ŋ ²² + ŋ u i ²²	
610	645	Dancun	胭脂花		jiEn33 tSi33 fa33	j i ɛ n ³³ + ʧ i ³³ + f a ³³	
2295	2226	Dancun	打鈸		?a55 pOt35	ʔ a ⁵⁵ + p ɔ t ³⁵	
2384	2305	Dancun	第一神仙鐵拐李		?ai32 jit55 Sin22 {eiN33 heik33 kai55 li55	ʔ a i ³² + j i t ⁵⁵ + ʃ i n ²² + æ e i ŋ ³³ + h e i k ³³ + k a i ⁵⁵ + l i ⁵⁵	
2385	2306	Dancun	第二神仙呂洞賓		?ai32 Ni32 Sin22 {eiN33 lui21 ?KuN32 pin33	ʔ a i ³² + ŋ i ³² + ʃ i n ²² + æ e i ŋ ³³ + l u i ²¹ + ʔ ɬ u ŋ ³² + p i n ³³	
2386	2307	Dancun	第三神仙韓湘子		?ai32 {am33 Sin22 {eiN33 hON22 {iEN33 tu55	ʔ a i ³² + æ a m ³³ + ʃ i n ²² + æ e i ŋ ³³ + h ɔ ŋ ²² + æ i ɛ ŋ ³³ + t u ⁵⁵	
2387	2308	Dancun	第四神仙籃仔和		?ai32 {i33 Sin22 {eiN33 lam21 tOi55 vO22	ʔ a i ³² + æ i ³³ + ʃ i n ²² + æ e i ŋ ³³ + l a m ²¹ + t ɔ i ⁵⁵ + v ɔ ²²	
2388	2309	Dancun	第五神仙曹國舅		?ai32 N55 Sin22 {eiN33 t'O22 kOk55 kiu32	ʔ a i ³² + ŋ ⁵⁵ + ʃ i n ²² + æ e i ŋ ³³ + tʰ ɔ ²² + k ɔ k ⁵⁵ + k i u ³²	
2389	2310	Dancun	第六神仙張果老		?ai32 lKuk32 Sin22 {eiN33 tSiEN55 kO55 lO55	ʔ a i ³² + l ɬ u k ³² + ʃ i n ²² + æ e i ŋ ³³ + ʧ i ɛ ŋ ⁵⁵ + k ɔ ⁵⁵ + l ɔ ⁵⁵	
2390	2311	Dancun	第七神仙漢仲梨		?ai32 t'it55 Sin22 {eiN33 hOn33 tSKuN32 li22	ʔ a i ³² + tʰ i t ⁵⁵ + ʃ i n ²² + æ e i ŋ ³³ + h ɔ n ³³ + ʧ ɬ u ŋ ³² + l i ²²	
2391	2312	Dancun	第八神仙何仙姑		?ai32 pat33 Sin22 {eiN33 hO22 {eiN33 ku33	ʔ a i ³² + p a t ³³ + ʃ i n ²² + æ e i ŋ ³³ + h ɔ ²² + æ e i ŋ ³³ + k u ³³	
2769	2659	Dancun			jiEm55 kut55	j i ɛ m ⁵⁵ + k u t ⁵⁵	
5124	4493	Dancun	以為，就是		?u55 hau35 va32 ni33 tu35 m22 Nam55 tSi55 la55, k'ui33 m22 tSKuN33 ji33	ʔ u ⁵⁵ + h a u ³⁵ + v a ³² + n i ³³ + t u ³⁵ + m ²² + ŋ a m ⁵⁵ + ʧ i ⁵⁵ + l a ⁵⁵̣ + kʰ u i ³³ + m ²² + ʧ ɬ u ŋ ³³ + j i ³³	肚頭話你做唔吱啦；佢唔中意
5339	4697	Dancun	你來聞聞這朵花香不香	"""Compressed"" sentence (eg. You come and smell this flower to see if it is fragrant)"	ni33 lOi22 mun22 jit55 ha21 k'Oi21 ?u55 fa33 hai55 hiEN33 m22 la33	n i ³³ + l ɔ i ²² + m u n ²² + j i t ⁵⁵ + h a ²¹ + kʰ ɔ i ²¹ + ʔ u ⁵⁵ + f a ³³ + h a i ⁵⁵ + h i ɛ ŋ ³³ + m ²² + l a ³³	你來聞一下 ? 花睇香唔啦
5338	4696	Dancun	張三站著看書	"""Compressed"" sentence (eg. Zhang San is standing reading)"	k'ui33 k'i35 ?O33 tS'ui55 hai55 Si33	kʰ u i ³³ + kʰ i ³⁵ + ʔ ɔ ³³ + ʧʰ u i ⁵⁵ + h a i ⁵⁵ + ʃ i ³³	佢徛到處睇書
