ID	CHARACTER	DOCULECT	SOURCE	READING	CROSS_REF
1	髬	pī	Middle_Chinese	pʰi˥˩	Guangyun	1
2	胹	ér	Middle_Chinese	nʑĭə˩	Guangyun	2
3	洨	xiáo	Middle_Chinese	ɣau˩	Guangyun	3
4	𨒇		Middle_Chinese	kap	Guangyun	4
5	趄	jū	Middle_Chinese	tsʰĭo˥˩	Guangyun	5
6	菥	xī	Middle_Chinese	sĭe˥˩	Guangyun	6
7	菥	xī	Middle_Chinese	siek	Guangyun	7
8	聳	sǒng	Middle_Chinese	sĭwoŋ˥	Guangyun	8
9	聳	sǒng	Middle_Chinese	sjwoŋᴮ	Schuessler2007	9
10	聳	sǒng	Old_Chinese	soŋʔ	Schuessler2007	10
11	聳	sǒng	Late_Han_Chinese	sioŋᴮ	Schuessler2007	11
12	霾	mái	Middle_Chinese	mɐi˩	Guangyun	12
13	䖡	nǜ	Middle_Chinese	ɳĭuk	Guangyun	13
14	詯	huì	Middle_Chinese	xuɒi˩˥	Guangyun	14
15	詯	huì	Middle_Chinese	ɣuɒi˩˥	Guangyun	15
16	𢰂		Middle_Chinese	tiei˩˥	Guangyun	16
17	𢰂		Middle_Chinese	dʰiei˩˥	Guangyun	17
18	㨤	huì	Middle_Chinese	kʰwɐi˥˩	Guangyun	18
19	䞷	jué	Middle_Chinese	gʰĭwɐt	Guangyun	19
20	頿	zī	Middle_Chinese	tsĭe˥˩	Guangyun	20
21	𦠌		Middle_Chinese	nʑĭə˩	Guangyun	21
22	𤫉		Middle_Chinese	siep	Guangyun	22
23	蛉	líng	Middle_Chinese	lieŋ˩	Guangyun	23
24	𩜴		Middle_Chinese	dzʰi˩	Guangyun	24
25	正	zhèng	Middle_Chinese	tśjäng-	Coblin2015	25
26	正	zhèng	Common_Chinese	*ciang5	Coblin2015	26
27	正	zhèng	Middle_Chinese	tɕĭɛŋ˥˩	Guangyun	27
28	正	zhèng	Middle_Chinese	tɕĭɛŋ˩˥	Guangyun	28
29	婍	qǐ	Middle_Chinese	kʰĭe˥	Guangyun	29
30	䯜	tì	Middle_Chinese	sĭɛk	Guangyun	30
31	䯜	tì	Middle_Chinese	tʰiek	Guangyun	31
32	𤄷		Middle_Chinese	lɑ˩	Guangyun	32
33	㙱	hào	Middle_Chinese	ɣɑu˩˥	Guangyun	33
34	馭	yù	Middle_Chinese	ŋĭo˩˥	Guangyun	34
35	圼	niè	Middle_Chinese	niet	Guangyun	35
36	䞽	suǒ	Middle_Chinese	ʃĭɐk	Guangyun	36
37	奴	nú	Middle_Chinese	nuo	Coblin2015	37
38	奴	nú	Common_Chinese	*nu2	Coblin2015	38
39	奴	nú	Middle_Chinese	nu˩	Guangyun	39
40	奴	nú	Middle_Chinese	nuo	Schuessler2007	40
41	奴	nú	Old_Chinese	nâ	Schuessler2007	41
42	奴	nú	Late_Han_Chinese	nɑ	Schuessler2007	42
43	眾	zhòng	Middle_Chinese	tśjung-	Coblin2015	43
44	眾	zhòng	Common_Chinese	*ciung5	Coblin2015	44
45	眾	zhòng	Middle_Chinese	tśjuŋᶜ	Schuessler2007	45
46	眾	zhòng	Old_Chinese	tuŋh (*tiuŋh ?)	Schuessler2007	46
47	眾	zhòng	Late_Han_Chinese	tśuŋ	Schuessler2007	47
48	踳	chuǎn	Middle_Chinese	tɕʰĭuĕn˥	Guangyun	48
49	鋪	pù	Middle_Chinese	pʰĭu˥˩	Guangyun	49
50	鋪	pù	Middle_Chinese	pʰu˥˩	Guangyun	50
51	鋪	pù	Middle_Chinese	pʰu˩˥	Guangyun	51
52	銘	míng	Middle_Chinese	mieŋ˩	Guangyun	52
53	銘	míng	Middle_Chinese	mieŋ	Schuessler2007	53
54	銘	míng	Old_Chinese	mêŋ	Schuessler2007	54
55	銘	míng	Late_Han_Chinese	meŋ	Schuessler2007	55
56	綨	qí	Middle_Chinese	gʰĭə˩	Guangyun	56
57	䙃	duò	Middle_Chinese	dʰuɑ˩˥	Guangyun	57
58	堞	dié	Middle_Chinese	dʰiep	Guangyun	58
59	翕	xī	Middle_Chinese	xĭĕp	Guangyun	59
60	傺	chì	Middle_Chinese	ţʰĭɛi˩˥	Guangyun	60
61	掫	zhōu	Middle_Chinese	tsĭu˥˩	Guangyun	61
62	掫	zhōu	Middle_Chinese	tsəu˥˩	Guangyun	62
63	掫	zhōu	Middle_Chinese	ʧĭəu˥	Guangyun	63
64	攎	lú	Middle_Chinese	lu˩	Guangyun	64
65	䧰	hùn	Middle_Chinese	ɣuən˥	Guangyun	65
66	𩿂		Middle_Chinese	mɑu˩˥	Guangyun	66
67	䌥	yǐn	Middle_Chinese	ʔĭən˥	Guangyun	67
68	樲	èr	Middle_Chinese	nʑi˩˥	Guangyun	68
69	但	dàn	Middle_Chinese	dʰɑn˩	Guangyun	69
70	但	dàn	Middle_Chinese	dʰɑn˥	Guangyun	70
71	但	dàn	Middle_Chinese	dʰɑn˩˥	Guangyun	71
72	但	dàn	Middle_Chinese	dânᴮ	Schuessler2007	72
73	但	dàn	Late_Han_Chinese	dɑnᴮ	Schuessler2007	73
74	灰	huī	Middle_Chinese	xuɒi˥˩	Guangyun	74
75	灰	huī	Middle_Chinese	xwậi	Schuessler2007	75
76	灰	huī	Old_Chinese	hmə̂	Schuessler2007	76
77	灰	huī	Late_Han_Chinese	huəi	Schuessler2007	77
78	嬬	rú	Middle_Chinese	nʑĭu˩	Guangyun	78
79	憋	biē	Middle_Chinese	pĭɛt	Guangyun	79
80	憋	biē	Middle_Chinese	pʰĭɛt	Guangyun	80
81	歐	ōu	Middle_Chinese	ʔəu	Coblin2015	81
82	歐	ōu	Common_Chinese	*eu1	Coblin2015	82
83	歐	ōu	Middle_Chinese	ʔəu˥˩	Guangyun	83
84	歐	ōu	Middle_Chinese	ʔəu˥	Guangyun	84
85	𪐴		Middle_Chinese	ţĭu˥	Guangyun	85
86	芘	pí	Middle_Chinese	bʰi˩	Guangyun	86
87	芘	pí	Middle_Chinese	bʰi˩˥	Guangyun	87
88	湠	tàn	Middle_Chinese	tʰɑn˩˥	Guangyun	88
89	䋖	yù	Middle_Chinese	jĭuĕt	Guangyun	89
90	尨龍	máng lóng	Middle_Chinese	måŋ	Schuessler2007	90
91	尨龍	máng lóng	Late_Han_Chinese	mɔŋ	Schuessler2007	91
92	卬	áng	Middle_Chinese	ŋɑŋ˩	Guangyun	92
93	卬	áng	Middle_Chinese	ŋĭaŋ˥	Guangyun	93
94	卬	áng	Middle_Chinese	ŋâŋ	Schuessler2007	94
95	卬	áng	Old_Chinese	ŋâŋ	Schuessler2007	95
96	卬	áng	Late_Han_Chinese	ŋɑŋ	Schuessler2007	96
97	㞥	cén	Middle_Chinese	dʒʰĭĕm˩	Guangyun	97
98	爻	yáo	Middle_Chinese	ɣau˩	Guangyun	98
99	洣	mǐ	Middle_Chinese	miei˥	Guangyun	99
100	傷	shāng	Middle_Chinese	ɕĭaŋ˥˩	Guangyun	100
101	傷	shāng	Middle_Chinese	ɕĭaŋ˩˥	Guangyun	101
102	傷	shāng	Middle_Chinese	śjaŋ	Schuessler2007	102
103	傷	shāng	Old_Chinese	lhaŋ	Schuessler2007	103
104	傷	shāng	Late_Han_Chinese	śɑŋ	Schuessler2007	104
105	瓽	dàng	Middle_Chinese	tɑŋ˩˥	Guangyun	105
106	稟	bǐng	Middle_Chinese	pjəm:	Coblin2015	106
107	稟	bǐng	Common_Chinese	*pim3	Coblin2015	107
108	稟	bǐng	Middle_Chinese	pĭĕm˥	Guangyun	108
