NAME	ALT_NAME	PINYIN	HANZI	LATITUDE	LONGITUDE	BAIDU	GLOTTOLOG	ISO	FAMILY	SUBGROUP	SUBGROUP_CHINESE	SUBGROUP_PINYIN	CLASSIFICATION_KURPASKA	NOTE
Beijing	Peking	Běijīng	北京	39.9385466	116.1172766		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Beijng 	
Jinan		Jǐnán	济南	36.690777	116.997299		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jilu 	
Xi_an	Xi'an, Xi’an	Xī’ān	西安	34.228154	108.960571		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Central Plain	
Taiyuan		Tàiyuán	太原	37.8632119	112.4024883		jiny1235	cjy	Sinitic	Jin	晋	Jìn	Jin	
Wuhan		Wǔhàn	武汉	30.624086	114.305649		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Chengdu		Chéngdū	成都	30.605768	103.970947		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Hefei		Héféi	合肥	31.873593	117.223663		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jianghuai	
Yangzhou	Yangchow	Yángzhōu	揚州	32.4171449	119.209227		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà		
Suzhou		Sūzhōu	苏州	31.3280439	120.364116		taih1244	wuu	Sinitic	Wu	吴	Wú	Wu, Taihu	
Wenzhou		Wēnzhōu	温州	28.005496	120.701179		ouji1238	(wuu)	Sinitic	Wu	吴	Wú	Wu, Oujiang	
Changsha		Chángshā	长沙	28.85032	112.943344		xian1251	hsn	Sinitic	Xiang	湘	Xiāng	Xiang	
Shuangfeng		Shuāngfēng	双峰	27.4569781	111.916486		xian1251	hsn	Sinitic	Xiang	湘	Xiāng		Shuangfeng is a part of the city Loudi (a xian) in Hunan. 
Nanchang		Nánchāng	南昌	28.706609	115.857468		ganc1239	gan	Sinitic	Gan	赣	Gàn	Gan	
Meixian		Méixiàn	梅县	24.3522958	115.8903375		hak1236	hak	Sinitic	Hakka	客家	Kèjiā	Hakka	
Guangzhou		Guǎngzhōu	广州	23.1253503	112.9476548		yuec1235	yue	Sinitic	Yue	粤	Yuè	Yue, Guangfu	
Yangjiang		Yángjiāng	阳江	21.7895612	111.966667		yuec1235	yue	Sinitic	Yue	粤	Yuè		
Xiamen		Xiàmén	厦门	24.49421	118.08918		minn1241	nan	Sinitic	Min	闽	Mǐn	Min, Southern	
Chaozhou		Cháozhōu	潮州	23.666667	116.633333		min1241	nan	Sinitic	Min	闽	Mǐn		
Fuzhou	Foochow	Fúzhōu	福州	26.08904	119.294243		mind1253	cdo	Sinitic	Min	闽	Mǐn	闽	
Jian_ou	Jian'ou, Jian’ou	Jiàn’ōu	建瓯	27.04237	118.307419		minb1244	mnp	Sinitic	Min	闽	Mǐn	Min, Northern	
Shenyang		Shěnyáng	沈阳	41.8049906	123.1563167		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà		
Kunming		Kūnmíng	昆明	25.049711	102.72274		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Shanghai		Shànghǎi	上海	31.222902	121.475372		taih1244	wuu	Sinitic	Wu	吴	Wú	Wu, Taihu	
Hangzhou		Hángzhōu	杭州	30.261316	120.0318057		taih1244	(wuu)	Sinitic	Wu	吴	Wú	Wu, Taihu	
Nanning		Nánníng	南宁	22.848716	108.366165		ping1244	(wuu)	Sinitic	Pinghua	平话	Pínghuà	Pinghua	
Xianggang	Hong Kong	Xiānggǎng	香港	22.422645	114.098396		yuec1235	yue	Sinitic	Yue	粤	Yuè	Yue	
Shantou		Shàntóu	汕头	23.3372419	116.6068173		minn1241	nan	Sinitic	Min	闽	Mǐn	Min, Southern	
Haikou		Hǎikǒu	海口	20.043869	110.329399		minn1241	nan	Sinitic	Min	闽	Mǐn	Min, Qiongwen	
Taibei		Táiběi	台北	25.0853403	121.4231642		minn1241	nan	Sinitic	Min	闽	Mǐn	Min, Southern	
Taoyuan		Táoyuán	桃园	24.854549	120.9520006		hak1236	hak	Sinitic	Hakka	客家	Kèjiā	Hakka	
Xiangtan		Xiāngtán	湘潭	27.8482649	112.7688127		xian1251	hsn	Sinitic	Xiang	湘	Xiāng	Xiang	
Shexian		Shèxiàn	歙县	30.589829	118.428268		huiz1242	czh	Sinitic	Hui	徽	Huī	Hui	
Tunxi		Tūnxī	屯溪	29.7201616	118.2294365		huiz1242	czh	Sinitic	Hui	徽	Huī	Hui	
Pingyao		Píngyáo	平遥	37.1390706	111.9656111		jiny1235	cjy	Sinitic	Jin	晋	Jìn	Jin	
Huhehaote		Hūhèhàotè	呼和浩特	40.855526	111.743889		jiny1235	cjy	Sinitic	Jin	晋	Jìn	Jin	
Tianjin		Tiānjīn	天津	39.186072	117.215424		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jilu	
Qingdao	Tsingtao	Qīngdǎo	青岛	36.089393	120.379715		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jiaoliao	
Nanjing		Nánjīng	南京	32.0989607	118.4575646		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jianghuai	
Zhengzhou		Zhèngzhōu	郑州	34.807715	113.639374		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Central Plain	
Guiyang		Guìyáng	贵阳	26.71691	106.638336		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Ha_erbin	Harbin, Ha'erbin, Ha’erbin	Hāěrbīn	哈尔滨	45.846595	126.551056		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Northeastern	
